LineNo,UTC_Approx,TimeUS,I,Alt,Press,Temp,CRt,SMS,Offset,GndTemp,Health
8127,2023-01-20 10:50:14.637229,134665327,0,5.781018,92847.75,26.65,0.8058141,134665,0,20.07363,1
8159,2023-01-20 10:50:14.737280,134765378,0,6.00957,92845.28,26.65,0.5327278,134765,0,20.07363,1
8193,2023-01-20 10:50:14.837210,134865339,0,5.786396,92847.71,26.64,0.5226445,134865,0,20.07363,1
8223,2023-01-20 10:50:14.937125,134965338,0,5.641198,92849.27,26.64,0.3596331,134965,0,20.07363,1
8256,2023-01-20 10:50:15.037115,135065357,0,5.915461,92846.31,26.65,-0.1554492,135065,0,20.07363,1
8286,2023-01-20 10:50:15.137154,135165331,0,5.767574,92847.91,26.66,-0.4243335,135165,0,20.07363,1
8321,2023-01-20 10:50:15.237195,135265324,0,5.856306,92846.94,26.67,-0.07730393,135265,0,20.07363,1
8351,2023-01-20 10:50:15.337244,135365352,0,5.958482,92845.84,26.68,0.2688845,135365,0,20.07363,1
8384,2023-01-20 10:50:15.437233,135465330,0,6.00957,92845.27,26.67,0.3739169,135465,0,20.07363,1
8416,2023-01-20 10:50:15.537219,135565319,0,6.023014,92845.14,26.68,0.5352481,135565,0,20.07363,1
8450,2023-01-20 10:50:15.637243,135665344,0,5.920838,92846.25,26.69,0.5604565,135665,0,20.07363,1
8482,2023-01-20 10:50:15.737273,135765372,0,5.867061,92846.81,26.7,0.2125868,135765,0,20.07363,1
8516,2023-01-20 10:50:15.837241,135865350,0,5.955793,92845.85,26.7,-0.2218302,135865,0,20.07363,1
8546,2023-01-20 10:50:15.937189,135965329,0,5.998815,92845.41,26.7,-0.298294,135965,0,20.07363,1
8579,2023-01-20 10:50:16.037195,136065343,0,5.902016,92846.45,26.71,-0.009242743,136065,0,20.07363,1
8609,2023-01-20 10:50:16.137264,136165380,0,5.805218,92847.49,26.72,0.1142763,136165,0,20.07363,1
8644,2023-01-20 10:50:16.237205,136265322,0,5.810596,92847.44,26.72,-0.1957811,136265,0,20.07363,1
8674,2023-01-20 10:50:16.337174,136365346,0,5.724552,92848.37,26.72,-0.5285258,136365,0,20.07363,1
8707,2023-01-20 10:50:16.437144,136465328,0,5.872439,92846.77,26.73,-0.511721,136465,0,20.07363,1
8739,2023-01-20 10:50:16.537209,136565335,0,5.826728,92847.27,26.73,-0.2167885,136565,0,20.07363,1
