LineNo,UTC_Approx,TimeUS,C,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos
161765,2023-01-20 10:58:01.271662,602268988,0,0,0,0,0,55.84,0.16,0,0,0.5,0.0006990328,0.01700446,0.03564618
161795,2023-01-20 10:58:01.371679,602368992,0,0,0,0,0,55.85,0.16,0,0,0.5,0.0004120838,0.00662346,0.01675015
161829,2023-01-20 10:58:01.471670,602468981,0,0,0,0,0,55.84,0.16,0,0,0.5,0.0008887918,0.03073628,0.06164807
161862,2023-01-20 10:58:01.571678,602568991,0,0,0,0,0,55.85,0.16,0,0,0.5,0.0005888423,0.01621183,0.03104902
161895,2023-01-20 10:58:01.671675,602669001,0,0,0,0,0,55.85,0.16,0,0,0.5,0.0006159086,0.01870087,0.03470552
161929,2023-01-20 10:58:01.771642,602768984,0,0,0,0,0,55.86,0.16,0,0,0.5,0.0003487589,0.006480494,0.009226665
161962,2023-01-20 10:58:01.865071,602868987,0,0,0,0,0,55.87,0.16,0,0,0.5,0.0006173647,0.01807624,0.03481985
161992,2023-01-20 10:58:01.955901,602968985,0,0,0,0,0,55.88,0.16,0,0,0.5,0.0003891606,0.00623355,0.01311474
162026,2023-01-20 10:58:02.051458,603068982,0,0,0,0,0,55.9,0.16,0,0,0.5,0.0004084948,0.02020004,0.05358332
162057,2023-01-20 10:58:02.151492,603168993,0,0,0,0,0,55.91,0.16,0,0,0.5,0.0004067483,0.01859606,0.05081403
162092,2023-01-20 10:58:02.251491,603268992,0,0,0,0,0,55.92,0.16,0,0,0.5,0.0006139943,0.02789565,0.07530973
162122,2023-01-20 10:58:02.351464,603368988,0,0,0,0,0,55.94,0.16,0,0,0.5,0.0002997057,0.02417685,0.06625991
162156,2023-01-20 10:58:02.451434,603468981,0,0,0,0,0,55.95,0.16,0,0,0.5,0.0003438184,0.02149779,0.0613923
162188,2023-01-20 10:58:02.551419,603568990,0,0,0,0,0,55.97,0.16,0,0,0.5,0.000195355,0.01921015,0.05642282
162221,2023-01-20 10:58:02.651422,603669001,0,0,0,0,0,55.99,0.16,0,0,0.5,0.0002921051,0.01711117,0.05289137
162255,2023-01-20 10:58:02.751412,603768985,0,0,0,0,0,56,0.16,0,0,0.5,0.0002789252,0.01686233,0.05049533
162288,2023-01-20 10:58:02.851424,603868988,0,0,0,0,0,56.02,0.16,0,0,0.5,0.0002002872,0.02243574,0.06114967
162318,2023-01-20 10:58:02.951435,603968988,0,0,0,0,0,56.03,0.16,0,0,0.5,0.0002871127,0.02009404,0.05656785
162352,2023-01-20 10:58:03.051440,604068982,0,0,0,0,0,56.03,0.16,0,0,0.5,0.0004331243,0.01228873,0.03937893
162383,2023-01-20 10:58:03.151456,604168989,0,0,0,0,0,56.03,0.16,0,0,0.5,0.0002732839,0.01416336,0.04073679
162418,2023-01-20 10:58:03.251460,604268988,0,0,0,0,0,56.03,0.16,0,0,0.5,0.0004364759,0.02361414,0.06341942
162448,2023-01-20 10:58:03.351460,604368987,0,0,0,0,0,56.03,0.16,0,0,0.5,0.0004303353,0.02024683,0.05346144
162482,2023-01-20 10:58:03.457250,604468985,0,0,0,0,0,56.04,0.16,0,0,0.5,0.0002376986,0.01362384,0.04073833
162515,2023-01-20 10:58:03.568511,604568991,0,0,0,0,0,56.03,0.16,0,0,0.5,0.0001257811,0.01364538,0.03773531
162549,2023-01-20 10:58:03.665087,604668981,0,0,0,0,0,56.02,0.16,0,0,0.5,0.0003895187,0.02373834,0.06616364
162583,2023-01-20 10:58:03.755899,604769000,0,0,0,0,0,56.01,0.16,0,0,0.5,0.0003643976,0.02068694,0.05614014
162616,2023-01-20 10:58:03.851394,604868989,0,0,0,0,0,56,0.16,0,0,0.5,0.0004814761,0.02635269,0.07154308
162648,2023-01-20 10:58:03.951343,604968983,0,0,0,0,0,55.99,0.16,0,0,0.5,0.0002533915,0.01929505,0.0542131
162682,2023-01-20 10:58:04.051339,605068987,0,0,0,0,0,55.97,0.16,0,0,0.5,0.0001327405,0.009252903,0.03474138
162713,2023-01-20 10:58:04.151365,605168986,0,0,0,0,0,55.97,0.16,0,0,0.5,0.0001002646,0.009097014,0.02931559
162748,2023-01-20 10:58:04.251378,605268988,0,0,0,0,0,55.96,0.16,0,0,0.5,0.0003859531,0.01960387,0.05770204
162779,2023-01-20 10:58:04.351380,605368993,0,0,0,0,0,55.95,0.16,0,0,0.5,0.0003360736,0.01348687,0.04102251
162813,2023-01-20 10:58:04.451365,605468986,0,0,0,0,0,55.93,0.16,0,0,0.5,0.0005006331,0.02483618,0.07085755
162845,2023-01-20 10:58:04.551356,605568989,0,0,0,0,0,55.92,0.16,0,0,0.5,0.0003122728,0.01680477,0.04903811
162878,2023-01-20 10:58:04.651322,605668982,0,0,0,0,0,55.92,0.16,0,0,0.5,0.0006856945,0.0358693,0.09558573
162912,2023-01-20 10:58:04.751286,605768986,0,0,0,0,0,55.92,0.16,0,0,0.5,0.0005826491,0.02485005,0.06689712
162945,2023-01-20 10:58:04.851263,605868989,0,0,0,0,0,55.92,0.16,0,0,0.5,0.0004228579,0.02265928,0.06602726
162975,2023-01-20 10:58:04.951244,605968982,0,0,0,0,0,55.92,0.16,0,0,0.5,0.0001937971,0.01451173,0.04308268
