LineNo,UTC_Approx,TimeUS,LiftMax,BatVolt,ThLimit,ThrAvMx,FailFlags
8238,2023-01-20 10:50:14.939736,134967951,0.9336959,0.9591586,1,0.3407981,2
8271,2023-01-20 10:50:15.039727,135067967,0.9337555,0.9591959,1,0.3383914,2
8303,2023-01-20 10:50:15.139848,135168023,0.9337814,0.9592122,1,0.3282153,2
8336,2023-01-20 10:50:15.239826,135267954,0.9338896,0.9592799,1,0.3420452,2
8366,2023-01-20 10:50:15.339866,135367974,0.9339392,0.9593109,1,0.3391477,2
8399,2023-01-20 10:50:15.439891,135467988,0.9338652,0.9592646,1,0.327216,2
8431,2023-01-20 10:50:15.539854,135567954,0.9338873,0.9592785,1,0.3339501,2
8467,2023-01-20 10:50:15.639882,135667983,0.9339131,0.9592946,1,0.3121867,2
8497,2023-01-20 10:50:15.739859,135767958,0.9339688,0.9593295,1,0.3123732,2
8531,2023-01-20 10:50:15.839854,135867963,0.9341562,0.9594468,1,0.3296559,2
8561,2023-01-20 10:50:15.939822,135967962,0.9342236,0.959489,1,0.3185056,2
8594,2023-01-20 10:50:16.039819,136067966,0.9341404,0.9594369,1,0.3206012,2
8626,2023-01-20 10:50:16.139879,136167995,0.934154,0.9594454,1,0.3246236,2
8659,2023-01-20 10:50:16.239827,136267946,0.9341953,0.9594713,1,0.3265828,2
8689,2023-01-20 10:50:16.339783,136367956,0.9341217,0.9594252,1,0.3332976,2
8722,2023-01-20 10:50:16.439765,136467948,0.9340774,0.9593975,1,0.3385906,2
8754,2023-01-20 10:50:16.539863,136567988,0.9339091,0.9592921,1,0.3354608,2
8790,2023-01-20 10:50:16.639881,136667972,0.9338273,0.9592409,1,0.3364433,2
8820,2023-01-20 10:50:16.739857,136767951,0.9336723,0.9591438,1,0.3376136,2
8854,2023-01-20 10:50:16.839854,136867959,0.933562,0.9590747,1,0.3326403,2
8884,2023-01-20 10:50:16.939825,136967953,0.933481,0.959024,1,0.3385746,2
8917,2023-01-20 10:50:17.039823,137067954,0.933423,0.9589877,1,0.3348139,2
8949,2023-01-20 10:50:17.139887,137167989,0.9333134,0.958919,1,0.3169828,2
8982,2023-01-20 10:50:17.239913,137268001,0.9334057,0.9589769,1,0.3420546,2
9012,2023-01-20 10:50:17.339874,137367971,0.9334214,0.9589867,1,0.3407575,2
9045,2023-01-20 10:50:17.439847,137467944,0.9332219,0.9588618,1,0.3302033,2
9077,2023-01-20 10:50:17.539863,137567950,0.9331291,0.9588036,1,0.329143,2
9113,2023-01-20 10:50:17.639941,137668022,0.933153,0.9588186,1,0.3320552,2
9143,2023-01-20 10:50:17.739877,137767959,0.9330665,0.9587644,1,0.3230287,2
9177,2023-01-20 10:50:17.836339,137867975,0.9330773,0.9587712,1,0.3197919,2
9207,2023-01-20 10:50:17.927414,137967955,0.9331349,0.9588072,1,0.3192332,2
9241,2023-01-20 10:50:18.022562,138068002,0.9331905,0.9588421,1,0.3307017,2
9273,2023-01-20 10:50:18.133330,138167974,0.9332328,0.9588686,1,0.3164913,2
9306,2023-01-20 10:50:18.239825,138267955,0.9332044,0.9588508,1,0.3108481,2
9336,2023-01-20 10:50:18.339933,138368022,0.9332768,0.9588962,1,0.3357748,2
9369,2023-01-20 10:50:18.436330,138467943,0.9332974,0.958909,1,0.3372002,2
9401,2023-01-20 10:50:18.527438,138567949,0.9331207,0.9587983,1,0.3339196,2
9437,2023-01-20 10:50:18.620369,138667973,0.9329239,0.9586751,1,0.3256946,2
9467,2023-01-20 10:50:18.720307,138767945,0.9327633,0.9585745,1,0.3273929,2
9501,2023-01-20 10:50:18.820286,138867958,0.9328083,0.9586027,1,0.3269753,2
9533,2023-01-20 10:50:18.920246,138967954,0.9328216,0.958611,1,0.325299,2
9566,2023-01-20 10:50:19.020272,139068002,0.9327593,0.958572,1,0.3202618,2
9598,2023-01-20 10:50:19.120280,139167974,0.9327046,0.9585377,1,0.3201683,2
9631,2023-01-20 10:50:19.220278,139267949,0.932829,0.9586156,1,0.3300455,2
9661,2023-01-20 10:50:19.320267,139367964,0.9328817,0.9586486,1,0.333055,2
9694,2023-01-20 10:50:19.420228,139467956,0.9328068,0.9586017,1,0.329662,2
9726,2023-01-20 10:50:19.520172,139567953,0.9326978,0.9585334,1,0.3260455,2
9762,2023-01-20 10:50:19.620148,139667972,0.9326766,0.9585201,1,0.3316368,2
9792,2023-01-20 10:50:19.720122,139767948,0.9326357,0.9584945,1,0.3405237,2
9826,2023-01-20 10:50:19.820127,139867958,0.9325338,0.9584306,1,0.3452753,2
9856,2023-01-20 10:50:19.920110,139967959,0.9322358,0.9582439,1,0.3436249,2
9889,2023-01-20 10:50:20.020146,140068006,0.9320726,0.9581417,1,0.3334359,2
9921,2023-01-20 10:50:20.120140,140167990,0.9319687,0.9580765,1,0.3331201,2
9954,2023-01-20 10:50:20.220118,140267947,0.9319583,0.95807,1,0.3373302,2
9987,2023-01-20 10:50:20.320184,140367949,0.9319123,0.9580412,1,0.3418136,2
10020,2023-01-20 10:50:20.420216,140467931,0.9318997,0.9580333,1,0.3420347,2
10052,2023-01-20 10:50:20.520215,140567934,0.9318041,0.9579734,1,0.3430569,2
10088,2023-01-20 10:50:20.620275,140667991,0.9316815,0.9578965,1,0.3412444,2
10118,2023-01-20 10:50:20.720258,140767935,0.9316549,0.9578798,1,0.341759,2
10152,2023-01-20 10:50:20.820270,140867941,0.9315765,0.9578307,1,0.3414114,2
10182,2023-01-20 10:50:20.920133,140967923,0.9315653,0.9578237,1,0.3359182,2
10215,2023-01-20 10:50:21.020081,141067955,0.9315143,0.9577917,1,0.3303199,2
10247,2023-01-20 10:50:21.120133,141167951,0.9315498,0.957814,1,0.3337912,2
10280,2023-01-20 10:50:21.220190,141267969,0.9315702,0.9578267,1,0.3356893,2
10310,2023-01-20 10:50:21.320197,141368000,0.9315717,0.9578277,1,0.3348226,2
10343,2023-01-20 10:50:21.420112,141467928,0.9314797,0.95777,1,0.326413,2
