LineNo,UTC_Approx,TimeUS,C15,C16,C17,C18
9244,2023-01-20 10:50:18.022629,138068062,0,0,0,0
9276,2023-01-20 10:50:18.133390,138168028,0,0,0,0
9309,2023-01-20 10:50:18.239878,138268008,0,0,0,0
9339,2023-01-20 10:50:18.339989,138368078,0,0,0,0
9372,2023-01-20 10:50:18.436379,138467997,0,0,0,0
9404,2023-01-20 10:50:18.527488,138568003,0,0,0,0
9440,2023-01-20 10:50:18.620427,138668031,0,0,0,0
9470,2023-01-20 10:50:18.720381,138768019,0,0,0,0
9504,2023-01-20 10:50:18.820342,138868014,0,0,0,0
9536,2023-01-20 10:50:18.920303,138968011,0,0,0,0
9569,2023-01-20 10:50:19.020333,139068063,0,0,0,0
9601,2023-01-20 10:50:19.120333,139168027,0,0,0,0
9634,2023-01-20 10:50:19.220331,139268002,0,0,0,0
9664,2023-01-20 10:50:19.320324,139368021,0,0,0,0
9697,2023-01-20 10:50:19.420281,139468009,0,0,0,0
9729,2023-01-20 10:50:19.520241,139568022,0,0,0,0
9765,2023-01-20 10:50:19.620211,139668035,0,0,0,0
9795,2023-01-20 10:50:19.720176,139768002,0,0,0,0
9829,2023-01-20 10:50:19.820179,139868011,0,0,0,0
9859,2023-01-20 10:50:19.920169,139968017,0,0,0,0
9892,2023-01-20 10:50:20.020210,140068070,0,0,0,0
9924,2023-01-20 10:50:20.120194,140168044,0,0,0,0
9957,2023-01-20 10:50:20.220176,140268005,0,0,0,0
9990,2023-01-20 10:50:20.320241,140368006,0,0,0,0
10023,2023-01-20 10:50:20.420270,140467985,0,0,0,0
10055,2023-01-20 10:50:20.520272,140567992,0,0,0,0
10091,2023-01-20 10:50:20.620342,140668057,0,0,0,0
10121,2023-01-20 10:50:20.720312,140767989,0,0,0,0
10155,2023-01-20 10:50:20.820326,140867997,0,0,0,0
10185,2023-01-20 10:50:20.920186,140967976,0,0,0,0
10218,2023-01-20 10:50:21.020135,141068009,0,0,0,0
10250,2023-01-20 10:50:21.120186,141168004,0,0,0,0
10283,2023-01-20 10:50:21.220256,141268035,0,0,0,0
10313,2023-01-20 10:50:21.320256,141368059,0,0,0,0
