LineNo,UTC_Approx,TimeUS,Dp,Blk,Bytes,FMn,FMx,FAv
88011,2023-01-20 10:54:17.907431,378455054,32,325,13214,11833,16137,13957
88340,2023-01-20 10:54:18.909878,379457549,32,328,13295,11111,16296,13805
88665,2023-01-20 10:54:19.912340,380460066,32,324,13181,11248,15595,13274
88994,2023-01-20 10:54:20.914819,381462642,32,328,13328,11640,16041,13891
89324,2023-01-20 10:54:21.917629,382465492,32,329,13399,12002,16254,14083
89672,2023-01-20 10:54:22.920332,383468147,32,347,14076,11232,16324,13736
90001,2023-01-20 10:54:23.922185,384470041,32,328,13295,11407,15775,13719
90328,2023-01-20 10:54:24.924741,385472554,32,326,13267,11708,16055,13867
90704,2023-01-20 10:54:25.927221,386475069,32,375,14678,11837,16344,14048
91031,2023-01-20 10:54:26.930033,387477900,32,326,13262,11317,16326,13718
91358,2023-01-20 10:54:27.920339,388480074,32,326,13257,11415,15719,13556
91686,2023-01-20 10:54:28.914793,389482550,32,327,13252,11744,16048,13786
92013,2023-01-20 10:54:29.917224,390485081,32,326,13257,10984,16338,13970
92339,2023-01-20 10:54:30.919797,391487637,32,325,13214,11159,15506,13456
92668,2023-01-20 10:54:31.922597,392490407,32,328,13359,11551,15850,13674
92994,2023-01-20 10:54:32.924685,393492549,32,325,13214,11832,16165,13886
93322,2023-01-20 10:54:33.927238,394495048,32,327,13252,11143,16329,13769
93650,2023-01-20 10:54:34.929720,395497565,32,327,13310,11227,15595,13531
93975,2023-01-20 10:54:35.932217,396500062,32,324,13181,11619,15966,13771
94303,2023-01-20 10:54:36.917399,397505071,32,327,13305,11991,16268,14009
94629,2023-01-20 10:54:37.919882,398507648,32,325,13214,11264,16310,13807
94958,2023-01-20 10:54:38.922206,399510046,32,328,13295,11482,15789,13727
95284,2023-01-20 10:54:39.924732,400512542,32,325,13214,11707,16054,13888
95611,2023-01-20 10:54:40.927624,401515505,32,326,13257,12165,16340,14132
95989,2023-01-20 10:54:41.929670,402517516,32,377,14753,11128,16336,13584
96316,2023-01-20 10:54:42.932471,403520317,32,326,13257,11344,15648,13510
96644,2023-01-20 10:54:43.934744,404522565,32,327,13252,11759,16185,13775
96972,2023-01-20 10:54:44.937238,405525071,32,327,13310,12123,16319,14328
97298,2023-01-20 10:54:45.933542,406527946,32,325,13214,11362,16334,13767
97627,2023-01-20 10:54:46.922350,407530042,32,328,13359,11460,15780,13617
97953,2023-01-20 10:54:47.925325,408533041,32,325,13214,11827,16291,13870
98281,2023-01-20 10:54:48.927195,409535078,32,327,13252,11105,16345,13705
98609,2023-01-20 10:54:49.929795,410537609,32,327,13286,11242,15610,13504
98935,2023-01-20 10:54:50.932528,411540379,32,325,13214,11548,15949,13732
99263,2023-01-20 10:54:51.934763,412542579,32,327,13305,12006,16346,13992
99589,2023-01-20 10:54:52.937218,413545070,32,325,13214,11193,16293,13764
99918,2023-01-20 10:54:53.939798,414547643,32,328,13295,11411,15718,13645
100245,2023-01-20 10:54:54.942213,415550062,32,326,13267,11583,15984,13768
100572,2023-01-20 10:54:55.931801,416552835,32,326,13257,12041,16346,14035
100899,2023-01-20 10:54:56.927048,417555064,32,326,13262,11228,16282,13798
101225,2023-01-20 10:54:57.929481,418557562,32,325,13224,11446,15750,13683
101602,2023-01-20 10:54:58.931948,419560043,32,376,14673,11709,16201,13712
101934,2023-01-20 10:54:59.934728,420562824,32,331,13425,12122,16318,14319
102262,2023-01-20 10:55:00.937420,421565517,32,327,13308,11361,16333,13744
102612,2023-01-20 10:55:01.939997,422568096,32,349,14167,11459,15802,13521
102939,2023-01-20 10:55:02.941952,423570051,32,326,13268,11826,16290,14164
103268,2023-01-20 10:55:03.944433,424572561,32,328,13305,11104,16344,13634
103595,2023-01-20 10:55:04.941217,425575075,32,326,13257,11188,15535,13355
103921,2023-01-20 10:55:05.936481,426577894,32,325,13214,11494,15864,13592
104249,2023-01-20 10:55:06.932299,427580051,32,327,13305,11997,16325,14247
104575,2023-01-20 10:55:07.934682,428582540,32,325,13214,11139,16325,13650
104904,2023-01-20 10:55:08.937192,429585057,32,328,13295,11357,15661,13496
105230,2023-01-20 10:55:09.939758,430587618,32,325,13214,11582,15952,13679
105557,2023-01-20 10:55:10.942535,431590376,32,326,13257,12128,16345,14322
105886,2023-01-20 10:55:11.944735,432592568,32,328,13332,11275,16321,13736
106213,2023-01-20 10:55:12.947234,433595069,32,326,13257,11375,15733,13546
106541,2023-01-20 10:55:13.949796,434597606,32,327,13272,11671,16041,13759
106917,2023-01-20 10:55:14.952241,435600060,32,375,14678,12126,16343,14388
107243,2023-01-20 10:55:15.937285,436605087,32,325,13214,11237,16303,13573
107571,2023-01-20 10:55:16.939829,437607626,32,327,13305,11335,15705,13421
107898,2023-01-20 10:55:17.942259,438610074,32,326,13268,11790,16166,14049
108226,2023-01-20 10:55:18.944753,439612572,32,327,13252,11165,16320,13895
108553,2023-01-20 10:55:19.947699,440615530,32,326,13257,11325,16337,13645
108879,2023-01-20 10:55:20.949692,441617523,32,325,13214,11423,16010,13563
109207,2023-01-20 10:55:21.952526,442620354,32,327,13305,12002,16248,14205
109533,2023-01-20 10:55:22.954748,443622569,32,325,13214,11101,16341,13619
109863,2023-01-20 10:55:23.957243,444625087,32,329,13348,11319,15644,13461
110189,2023-01-20 10:55:24.955728,445627970,32,325,13214,11491,16024,13609
110516,2023-01-20 10:55:25.942238,446630046,32,326,13257,12123,16337,14291
110842,2023-01-20 10:55:26.945192,447633007,32,325,13214,11184,16316,13704
111168,2023-01-20 10:55:27.947205,448635062,32,325,13243,11354,15730,13552
111494,2023-01-20 10:55:28.949761,449637587,32,325,13194,11732,16199,13826
111821,2023-01-20 10:55:29.952528,450640377,32,326,13352,12187,16334,14347
112145,2023-01-20 10:55:30.954749,451642586,32,323,13156,11230,15609,13443
112469,2023-01-20 10:55:31.957267,452645094,32,323,13156,11540,15916,13747
112794,2023-01-20 10:55:32.959797,453647644,32,324,13204,11990,16221,14009
113126,2023-01-20 10:55:33.947662,454650094,32,331,13540,11207,16320,13725
113450,2023-01-20 10:55:34.945067,455652895,32,323,13156,11377,15774,13586
113775,2023-01-20 10:55:35.947298,456655050,32,324,13185,11687,16117,13893
114100,2023-01-20 10:55:36.949685,457657563,32,324,13199,12108,16300,14108
114473,2023-01-20 10:55:37.952211,458660073,32,372,14596,11164,15515,13291
114802,2023-01-20 10:55:38.954728,459662624,32,328,13308,11568,15998,13777
115131,2023-01-20 10:55:39.957717,460665564,32,328,13446,11980,16328,14084
115480,2023-01-20 10:55:40.960242,461668145,32,348,14167,11240,16311,13776
115805,2023-01-20 10:55:41.962194,462670051,32,324,13199,11487,15849,13598
116132,2023-01-20 10:55:42.964699,463672585,32,326,13274,11754,16165,13855
116464,2023-01-20 10:55:43.947708,464675742,32,331,13561,12158,16311,14308
116788,2023-01-20 10:55:44.949758,465677912,32,323,13156,11276,16305,13960
117112,2023-01-20 10:55:45.950437,466680472,32,323,13152,11417,15843,13556
117439,2023-01-20 10:55:46.951958,467682932,32,326,13257,11727,16084,13823
117766,2023-01-20 10:55:47.952214,468683234,32,326,13262,11102,16314,13985
118095,2023-01-20 10:55:48.954415,469685717,32,328,13295,11277,15505,13456
118421,2023-01-20 10:55:49.954733,470686127,32,325,13214,11534,15910,13666
