LineNo,UTC_Approx,TimeUS,TPD,PD,DVD,TVD,VD,DAD,TAD,AD
160925,2023-01-20 10:57:58.672679,599669978,-55.56,-55.67273,0,0.1127344,0.053436,0,0.1836998,0.2803459
160957,2023-01-20 10:57:58.772706,599769993,-55.56,-55.68032,0,0.1203223,0.0633943,0,0.149638,0.1055365
160992,2023-01-20 10:57:58.872671,599869976,-55.56,-55.68826,0,0.1282617,0.02200077,0,0.1815039,0.08915329
161022,2023-01-20 10:57:58.972613,599969947,-55.56,-55.69563,0,0.135625,0.04643338,0,0.2288645,0.3709068
161056,2023-01-20 10:57:59.072608,600069944,-55.56,-55.70031,0,0.1403125,0.1180536,0,0.2373259,0.1741924
161090,2023-01-20 10:57:59.172682,600170008,-55.56,-55.70519,0,0.1451904,0.05625695,0,0.2781298,0.1931801
161123,2023-01-20 10:57:59.272645,600269961,-55.56,-55.71065,0,0.1506543,0.1196856,0,0.2499569,0.1789236
161153,2023-01-20 10:57:59.372669,600369974,-55.56,-55.71537,0,0.1553662,0.1187016,0,0.1770301,0.1280317
161188,2023-01-20 10:57:59.472694,600470000,-55.56,-55.71749,0,0.1574902,0.1204275,0,0.1491971,0.1397476
161220,2023-01-20 10:57:59.572658,600569969,-55.56,-55.72081,0,0.1608154,0.08603612,0,0.256134,-0.4595499
161255,2023-01-20 10:57:59.672671,600669974,-55.56,-55.72306,0,0.1630615,0.143354,0,0.2845046,0.5475674
161287,2023-01-20 10:57:59.772656,600769946,-55.56,-55.71654,0,0.1565381,0.1595061,0,-0.01877372,0.5121031
161320,2023-01-20 10:57:59.872657,600869968,-55.56,-55.70065,0,0.1406543,0.2067107,0,-0.2907359,0.4221973
161350,2023-01-20 10:57:59.972615,600969961,-55.56,-55.68188,0,0.1218848,0.2271908,0,-0.5054136,-0.03589535
161384,2023-01-20 10:58:00.072690,601070021,-55.56,-55.66309,0,0.1030957,0.1864028,0,-0.4756553,-0.4925346
161417,2023-01-20 10:58:00.172681,601169980,-55.56,-55.64899,0,0.08898926,0.1351521,0,-0.3259662,-0.7667894
161450,2023-01-20 10:58:00.272666,601269960,-55.56,-55.63757,0,0.07756836,0.09319488,0,-0.1479746,-0.2211418
