LineNo,UTC_Approx,TimeUS,TPE,PE,DVE,TVE,VE,DAE,TAE,AE
223157,2023-01-20 11:01:06.972909,788371257,-44.47051,-44.69599,-1.588213,-1.36273,-1.5964,0.6286002,1.311019,1.418915
223191,2023-01-20 11:01:07.072673,788470984,-44.62646,-44.86401,-1.530246,-1.292702,-1.534489,0.5285312,1.211226,1.326161
223225,2023-01-20 11:01:07.172721,788570978,-44.77709,-45.02381,-1.48229,-1.235566,-1.460348,0.4284622,1.106118,1.222792
223260,2023-01-20 11:01:07.272747,788671009,-44.92348,-45.17927,-1.444345,-1.188559,-1.408184,0.3283933,1.014541,1.119392
223290,2023-01-20 11:01:07.372687,788770976,-45.06648,-45.33052,-1.416384,-1.152346,-1.355528,0.2299359,0.9050231,1.023046
223323,2023-01-20 11:01:07.472728,788871011,-45.20722,-45.47964,-1.397608,-1.125191,-1.319369,0.1478076,0.8454999,0.924759
223353,2023-01-20 11:01:07.572756,788971018,-45.34646,-45.62331,-1.385838,-1.108992,-1.296931,0.08896988,0.7829406,0.8499631
223389,2023-01-20 11:01:07.672739,789070997,-45.48477,-45.76347,-1.379342,-1.100641,-1.273147,0.0404245,0.7023534,0.7764279
223421,2023-01-20 11:01:07.772739,789170999,-45.62261,-45.89934,-1.377031,-1.100302,-1.255016,0.008314514,0.6405499,0.7059113
223455,2023-01-20 11:01:07.872694,789271012,-45.76035,-46.02821,-1.376721,-1.108864,-1.248204,-0.0005065155,0.598289,0.6424133
223485,2023-01-20 11:01:07.972895,789371292,-45.89799,-46.15531,-1.376712,-1.119398,-1.237223,-0.0006455231,0.5807658,0.5905553
223519,2023-01-20 11:01:08.072636,789470981,-46.03574,-46.28154,-1.376713,-1.130912,-1.260077,-0.0006767655,0.6054261,0.5604168
223552,2023-01-20 11:01:08.172716,789570960,-46.17345,-46.4062,-1.376723,-1.143969,-1.242079,-0.000708046,0.5739667,0.5532115
223587,2023-01-20 11:01:08.272790,789671045,-46.31113,-46.53426,-1.37674,-1.153615,-1.245267,-0.0007392883,0.6041936,0.547871
223617,2023-01-20 11:01:08.372655,789770964,-46.44882,-46.66283,-1.376766,-1.162762,-1.249932,-0.0007705688,0.5988873,0.5559515
223650,2023-01-20 11:01:08.472667,789870987,-46.58646,-46.7871,-1.3768,-1.176156,-1.255908,-0.0008018494,0.558553,0.5515029
223680,2023-01-20 11:01:08.572655,789970970,-46.72421,-46.91147,-1.376843,-1.189578,-1.277071,-0.0008330917,0.5559357,0.5305237
223714,2023-01-20 11:01:08.672674,790070992,-46.86187,-47.04477,-1.376894,-1.193994,-1.252132,-0.0008643722,0.5761384,0.5246405
