LineNo,UTC_Approx,TimeUS,C,YC,YCS,Y0,Y1,Y2,Y3,Y4,W0,W1,W2,W3,W4
7125,2023-01-20 10:50:11.538900,131567001,0,213.6853,1.499531,214.1407,225.8052,295.0024,162.4666,204.1888,0.8588141,0.04384953,5.107976E-05,5.107976E-05,0.09723417
7159,2023-01-20 10:50:11.638903,131667000,0,213.2876,1.468945,213.7239,225.0218,292.71,163.6579,204.1022,0.860451,0.04324298,4.821947E-05,4.821947E-05,0.09620954
7191,2023-01-20 10:50:11.738897,131766995,0,212.9753,1.469189,213.4117,224.7093,292.3977,163.3458,203.79,0.860451,0.04324298,4.821947E-05,4.821947E-05,0.09620954
7225,2023-01-20 10:50:11.838873,131867000,0,212.8588,1.435279,213.2804,224.1515,290.1011,165.1116,204.0372,0.8623989,0.04219022,4.55031E-05,4.55031E-05,0.0953199
7255,2023-01-20 10:50:11.938798,131967000,0,213.06,1.435527,213.4816,224.3528,290.3024,165.3128,204.2384,0.8623989,0.04219022,4.55031E-05,4.55031E-05,0.0953199
7288,2023-01-20 10:50:12.038782,132066999,0,213.4408,1.408777,213.8611,224.4374,289.3114,166.9548,204.8777,0.8631712,0.04126375,4.919878E-05,4.919878E-05,0.09546659
7318,2023-01-20 10:50:12.138860,132166996,0,214.2291,1.409037,214.6494,225.2263,290.0999,167.743,205.6661,0.8631712,0.04126375,4.919878E-05,4.919878E-05,0.09546659
7353,2023-01-20 10:50:12.238930,132267017,0,215.2255,1.379447,215.6423,225.8817,289.4727,170.2003,206.956,0.864268,0.04017957,4.717436E-05,4.717436E-05,0.09545812
7383,2023-01-20 10:50:12.338937,132367028,0,216.2592,1.379712,216.676,226.9162,290.5066,171.2338,207.9897,0.864268,0.04017957,4.717436E-05,4.717436E-05,0.09545812
7416,2023-01-20 10:50:12.438899,132466995,0,216.5296,1.349239,216.9483,226.8038,288.9161,173.2183,208.5958,0.8654959,0.03861353,4.37023E-05,4.37023E-05,0.09580319
7448,2023-01-20 10:50:12.538897,132567000,0,216.5318,1.349506,216.9505,226.806,288.9182,173.2204,208.5979,0.8654959,0.03861353,4.37023E-05,4.37023E-05,0.09580319
7482,2023-01-20 10:50:12.638896,132667000,0,216.8313,1.325779,217.2003,226.7527,287.363,174.6526,209.1237,0.8680862,0.03940239,5.139979E-05,5.139979E-05,0.09240868
7514,2023-01-20 10:50:12.738907,132767000,0,216.889,1.326052,217.258,226.8104,287.4206,174.7103,209.1813,0.8680862,0.03940239,5.139979E-05,5.139979E-05,0.09240868
7548,2023-01-20 10:50:12.838894,132867010,0,216.4666,1.300347,216.8645,226.0719,285.4751,175.9318,209.078,0.8682551,0.03684422,4.897624E-05,4.897624E-05,0.09480261
7578,2023-01-20 10:50:12.938811,132967000,0,216.0331,1.300618,216.431,225.6382,285.0414,175.4982,208.6444,0.8682551,0.03684422,4.897624E-05,4.897624E-05,0.09480261
7612,2023-01-20 10:50:13.038794,133066999,0,215.2251,1.275665,215.5915,224.4753,282.3657,175.9617,208.089,0.870404,0.03688235,4.406561E-05,4.406561E-05,0.09262549
7642,2023-01-20 10:50:13.138870,133167001,0,214.1794,1.275944,214.5458,223.4288,281.3201,174.9164,207.0434,0.870404,0.03688235,4.406561E-05,4.406561E-05,0.09262549
