LineNo,UTC_Approx,TimeUS,Status,Lat,Lng,Spacing,TerrH,CHeight,Pending,Loaded,ROfs
44223,2023-01-20 10:52:05.294964,245562674,2,39.8047231,32.3831446,100,726.8142,62.54562,0,504,-8.45717
44550,2023-01-20 10:52:06.294898,246562659,2,39.8046704,32.3831041,100,726.9918,62.34448,0,504,-8.45717
44878,2023-01-20 10:52:07.294909,247562653,2,39.8046174,32.3830625,100,727.163,62.19776,0,504,-8.45717
45205,2023-01-20 10:52:08.294916,248562657,2,39.8045633,32.3830214,100,727.3278,62.02813,0,504,-8.45717
45533,2023-01-20 10:52:09.294908,249562658,2,39.8045095,32.3829813,100,727.4823,61.86302,0,504,-8.45717
45861,2023-01-20 10:52:10.294922,250562667,2,39.8044544,32.3829401,100,727.6323,61.68245,0,504,-8.45717
46187,2023-01-20 10:52:11.294858,251562674,2,39.8044007,32.3828998,100,727.7701,61.52488,0,504,-8.45717
46514,2023-01-20 10:52:12.294973,252562714,2,39.8043459,32.3828587,100,727.9024,61.3634,0,504,-8.45717
46840,2023-01-20 10:52:13.294873,253562671,2,39.8042908,32.3828172,100,728.0267,61.20613,0,504,-8.45717
47169,2023-01-20 10:52:14.283419,254562703,2,39.8042354,32.3827762,100,728.1428,61.03379,0,504,-8.45717
47497,2023-01-20 10:52:15.286322,255562650,2,39.8041802,32.3827356,100,728.2495,60.83788,0,504,-8.45717
47824,2023-01-20 10:52:16.274930,256562655,2,39.8041263,32.3826945,100,728.3459,60.69447,0,504,-8.45717
48199,2023-01-20 10:52:17.274844,257562662,2,39.8040718,32.3826535,100,728.4347,60.57463,0,504,-8.45717
48524,2023-01-20 10:52:18.274893,258562653,2,39.8040167,32.3826125,100,728.5157,60.47791,0,504,-8.45717
48853,2023-01-20 10:52:19.274907,259562656,2,39.8039628,32.3825721,100,728.5458,60.44103,0,504,-8.45717
49180,2023-01-20 10:52:20.274883,260562684,2,39.8039086,32.3825318,100,728.5471,60.42626,0,504,-8.45717
49507,2023-01-20 10:52:21.274916,261562660,2,39.803854,32.3824905,100,728.5443,60.43136,0,504,-8.45717
49833,2023-01-20 10:52:22.274899,262562668,2,39.8037989,32.3824494,100,728.5578,60.42354,0,504,-8.45717
50160,2023-01-20 10:52:23.268173,263562672,2,39.8037435,32.3824075,100,728.5702,60.40994,0,504,-8.45717
50488,2023-01-20 10:52:24.254992,264562680,2,39.8036891,32.3823661,100,728.5737,60.40085,0,504,-8.45717
50817,2023-01-20 10:52:25.254975,265562681,2,39.8036358,32.3823253,100,728.569,60.41176,0,504,-8.45717
51143,2023-01-20 10:52:26.254881,266562676,2,39.8035808,32.382284,100,728.5553,60.44088,0,504,-8.45717
51470,2023-01-20 10:52:27.254987,267562735,2,39.803527,32.3822428,100,728.5334,60.48555,0,504,-8.45717
51796,2023-01-20 10:52:28.254886,268562683,2,39.8034718,32.3822024,100,728.5025,60.52688,0,504,-8.45717
52125,2023-01-20 10:52:29.254986,269562735,2,39.8034172,32.3821616,100,728.4634,60.59628,0,504,-8.45717
52451,2023-01-20 10:52:30.254878,270562697,2,39.8033626,32.3821213,100,728.416,60.60283,0,504,-8.45717
52778,2023-01-20 10:52:31.254930,271562666,2,39.8033075,32.3820808,100,728.3597,60.64289,0,504,-8.45717
53104,2023-01-20 10:52:32.254847,272562666,2,39.8032521,32.3820398,100,728.2943,60.69952,0,504,-8.45717
53430,2023-01-20 10:52:33.254916,273562686,2,39.8031975,32.3819991,100,728.2211,60.771,0,504,-8.45717
53808,2023-01-20 10:52:34.234682,274562693,2,39.803145,32.3819585,100,728.1417,60.86496,0,504,-8.45717
54136,2023-01-20 10:52:35.234609,275562692,2,39.8030914,32.3819175,100,728.072,60.95546,0,504,-8.45717
54463,2023-01-20 10:52:36.234602,276562692,2,39.8030384,32.3818762,100,728.1265,60.97076,0,504,-8.45717
54789,2023-01-20 10:52:37.234596,277562673,2,39.8029828,32.3818348,100,728.1895,60.93362,0,504,-8.45717
55118,2023-01-20 10:52:38.234588,278562685,2,39.8029281,32.3817938,100,728.2556,60.89191,0,504,-8.45717
55446,2023-01-20 10:52:39.234587,279562674,2,39.8028728,32.3817529,100,728.3271,60.79772,0,504,-8.45717
55774,2023-01-20 10:52:40.234573,280562692,2,39.8028176,32.3817116,100,728.4026,60.70445,0,504,-8.45717
56100,2023-01-20 10:52:41.234585,281562678,2,39.8027625,32.3816709,100,728.4825,60.59879,0,504,-8.45717
56426,2023-01-20 10:52:42.215190,282562736,2,39.8027074,32.38163,100,728.5667,60.50447,0,504,-8.45717
56752,2023-01-20 10:52:43.215044,283562683,2,39.8026538,32.3815897,100,728.6524,60.40483,0,504,-8.45717
57081,2023-01-20 10:52:44.214961,284562715,2,39.8025999,32.3815491,100,728.7427,60.33027,0,504,-8.45717
57408,2023-01-20 10:52:45.214838,285562662,2,39.8025451,32.3815075,100,728.8387,60.22816,0,504,-8.45717
57735,2023-01-20 10:52:46.214825,286562695,2,39.8024906,32.3814666,100,728.9386,60.1716,0,504,-8.45717
58062,2023-01-20 10:52:47.214894,287562692,2,39.8024365,32.3814253,100,729.0419,60.08291,0,504,-8.45717
58388,2023-01-20 10:52:48.214814,288562682,2,39.8023834,32.381384,100,729.1473,60.02267,0,504,-8.45717
58717,2023-01-20 10:52:49.214836,289562660,2,39.8023282,32.3813435,100,729.2615,59.89716,0,504,-8.45717
59043,2023-01-20 10:52:50.214835,290562663,2,39.8022734,32.3813033,100,729.3558,59.79961,0,504,-8.45717
59420,2023-01-20 10:52:51.214924,291562672,2,39.8022201,32.3812624,100,729.3703,59.79689,0,504,-8.45717
59744,2023-01-20 10:52:52.195048,292562689,2,39.8021662,32.3812221,100,729.3391,59.85077,0,504,-8.45717
60071,2023-01-20 10:52:53.195024,293562684,2,39.8021119,32.381181,100,729.2774,59.94618,0,504,-8.45717
60398,2023-01-20 10:52:54.194824,294562684,2,39.8020581,32.3811398,100,729.2065,60.01754,0,504,-8.45717
60726,2023-01-20 10:52:55.194849,295562682,2,39.8020025,32.3810984,100,729.1278,60.07055,0,504,-8.45717
61053,2023-01-20 10:52:56.194872,296562694,2,39.8019476,32.3810574,100,729.0414,60.14305,0,504,-8.45717
61380,2023-01-20 10:52:57.194953,297562735,2,39.8018931,32.3810174,100,728.9491,60.21936,0,504,-8.45717
61706,2023-01-20 10:52:58.194857,298562682,2,39.8018394,32.3809766,100,728.8456,60.34695,0,504,-8.45717
62035,2023-01-20 10:52:59.194909,299562734,2,39.801786,32.3809355,100,728.7324,60.55282,0,504,-8.45717
62361,2023-01-20 10:53:00.194906,300562745,2,39.8017305,32.380894,100,728.6102,60.72975,0,504,-8.45717
62688,2023-01-20 10:53:01.195045,301562828,2,39.8016745,32.3808533,100,728.4822,60.84768,0,504,-8.45717
63015,2023-01-20 10:53:02.177331,302562688,2,39.8016207,32.3808122,100,728.3438,60.98204,0,504,-8.45717
63341,2023-01-20 10:53:03.175021,303562675,2,39.8015677,32.3807712,100,728.1971,61.16843,0,504,-8.45717
63670,2023-01-20 10:53:04.174919,304562681,2,39.8015128,32.3807308,100,728.0444,61.30696,0,504,-8.45717
63997,2023-01-20 10:53:05.174845,305562669,2,39.8014581,32.3806906,100,727.8843,61.44629,0,504,-8.45717
64325,2023-01-20 10:53:06.174921,306562686,2,39.8014035,32.3806502,100,727.7148,61.59197,0,504,-8.45717
64650,2023-01-20 10:53:07.174923,307562692,2,39.8013488,32.3806087,100,727.5323,61.77186,0,504,-8.45717
65026,2023-01-20 10:53:08.174878,308562702,2,39.8012936,32.3805675,100,727.3567,61.92218,0,504,-8.45717
65356,2023-01-20 10:53:09.174840,309562694,2,39.8012387,32.3805267,100,727.2649,62.06673,0,504,-8.45717
65683,2023-01-20 10:53:10.174981,310562743,2,39.8011847,32.3804849,100,727.1763,62.12726,0,504,-8.45717
66010,2023-01-20 10:53:11.159124,311562704,2,39.8011287,32.3804428,100,727.0984,62.23726,0,504,-8.45717
66337,2023-01-20 10:53:12.155002,312562726,2,39.8010757,32.3804026,100,727.0314,62.35863,0,504,-8.45717
66663,2023-01-20 10:53:13.154911,313562680,2,39.8010233,32.3803625,100,726.9721,62.4284,0,504,-8.45717
66991,2023-01-20 10:53:14.154919,314562696,2,39.8009683,32.3803218,100,726.9235,62.46677,0,504,-8.45717
67319,2023-01-20 10:53:15.154822,315562686,2,39.8009124,32.3802799,100,726.8809,62.47752,0,504,-8.45717
67646,2023-01-20 10:53:16.154925,316562697,2,39.800858,32.3802388,100,726.8469,62.46778,0,504,-8.45717
67973,2023-01-20 10:53:17.154827,317562690,2,39.8008034,32.3801977,100,726.8217,62.5033,0,504,-8.45717
68299,2023-01-20 10:53:18.154876,318562672,2,39.8007481,32.3801569,100,726.8079,62.45759,0,504,-8.45717
68628,2023-01-20 10:53:19.154910,319562692,2,39.8006928,32.3801166,100,726.9417,62.29198,0,504,-8.45717
68953,2023-01-20 10:53:20.149824,320562690,2,39.800639,32.3800751,100,727.1125,62.08963,0,504,-8.45717
69281,2023-01-20 10:53:21.140702,321562688,2,39.8005842,32.3800339,100,727.2766,61.92183,0,504,-8.45717
69607,2023-01-20 10:53:22.134627,322562693,2,39.8005292,32.3799932,100,727.4318,61.75846,0,504,-8.45717
69934,2023-01-20 10:53:23.134569,323562693,2,39.8004744,32.3799527,100,727.5779,61.60775,0,504,-8.45717
70311,2023-01-20 10:53:24.134572,324562677,2,39.8004209,32.379912,100,727.7134,61.49571,0,504,-8.45717
70639,2023-01-20 10:53:25.134630,325562733,2,39.8003657,32.3798704,100,727.7899,61.45107,0,504,-8.45717
70966,2023-01-20 10:53:26.134585,326562693,2,39.8003114,32.3798298,100,727.8426,61.38636,0,504,-8.45717
71293,2023-01-20 10:53:27.134615,327562725,2,39.8002581,32.3797888,100,727.8995,61.31601,0,504,-8.45717
71619,2023-01-20 10:53:28.134567,328562684,2,39.8002047,32.3797476,100,727.9609,61.30269,0,504,-8.45717
71947,2023-01-20 10:53:29.134535,329562676,2,39.8001506,32.3797067,100,728.0265,61.27979,0,504,-8.45717
72273,2023-01-20 10:53:30.122590,330562676,2,39.800095,32.3796657,100,728.097,61.19127,0,504,-8.45717
72600,2023-01-20 10:53:31.115005,331562686,2,39.8000408,32.3796239,100,728.1722,61.13354,0,504,-8.45717
72927,2023-01-20 10:53:32.114870,332562688,2,39.7999868,32.3795831,100,728.2504,61.05733,0,504,-8.45717
73253,2023-01-20 10:53:33.114830,333562666,2,39.7999321,32.3795435,100,728.3315,60.96635,0,504,-8.45717
73581,2023-01-20 10:53:34.114870,334562669,2,39.799887,32.3795097,100,728.4031,60.82758,0,504,-8.45717
73906,2023-01-20 10:53:35.114854,335562672,2,39.7998567,32.3794855,100,728.455,60.71827,0,504,-8.45717
74234,2023-01-20 10:53:36.114852,336562664,2,39.7998344,32.3794675,100,728.4943,60.78809,0,504,-8.45717
74558,2023-01-20 10:53:37.114866,337562661,2,39.7998143,32.3794521,100,728.5291,60.89579,0,504,-8.45717
74883,2023-01-20 10:53:38.114859,338562671,2,39.7997941,32.3794366,100,728.5647,60.98391,0,504,-8.45717
75209,2023-01-20 10:53:39.114834,339562663,2,39.7997783,32.3794185,100,728.6018,61.05376,0,504,-8.45717
75538,2023-01-20 10:53:40.095109,340562712,2,39.7997759,32.3793958,100,728.6367,61.06864,0,504,-8.45717
75864,2023-01-20 10:53:41.104458,341562659,2,39.799792,32.3793615,100,728.6747,61.08933,0,504,-8.45717
76188,2023-01-20 10:53:42.094912,342562720,2,39.7998178,32.3793101,100,728.7286,60.98045,0,504,-8.45717
76515,2023-01-20 10:53:43.094881,343562693,2,39.7998482,32.3792525,100,728.7846,61.01223,0,504,-8.45717
76840,2023-01-20 10:53:44.094799,344562666,2,39.7998761,32.3791959,100,728.8383,61.02681,0,504,-8.45717
77166,2023-01-20 10:53:45.094845,345562663,2,39.7998974,32.379151,100,728.8792,61.00954,0,504,-8.45717
77491,2023-01-20 10:53:46.094817,346562678,2,39.7999126,32.379128,100,728.8954,60.9213,0,504,-8.45717
77818,2023-01-20 10:53:47.094876,347562676,2,39.7999294,32.379131,100,728.8751,60.76656,0,504,-8.45717
78142,2023-01-20 10:53:48.094825,348562686,2,39.7999471,32.3791459,100,728.8388,60.50575,0,504,-8.45717
78468,2023-01-20 10:53:49.094837,349562650,2,39.7999682,32.37916,100,728.8007,60.44251,0,504,-8.45717
