LineNo,UTC_Approx,TimeUS,C,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
8678,2023-01-20 10:50:16.338825,136366998,0,0.19,0,0.12,0.03,0,0.01546464,0.08909588,0.02049057,0,48,107327,0,0
8711,2023-01-20 10:50:16.438816,136466999,0,0.09,0,0.11,0.1,0,0.0155398,0.08909588,0.02049057,0,48,107327,0,0
8743,2023-01-20 10:50:16.538872,136566998,0,0.09,0,0.13,0.1,0,0.0156774,0.08909588,0.02049057,0,48,107327,0,0
8777,2023-01-20 10:50:16.638904,136666995,0,0.08,0,0.13,0.09,0,0.01562755,0.08909588,0.02049057,0,48,107327,0,0
8809,2023-01-20 10:50:16.738914,136767007,0,0.08,0,0.14,0.16,0,0.0155827,0.08909588,0.02049057,0,48,107327,0,0
8843,2023-01-20 10:50:16.838906,136867010,0,0.08,0,0.14,0.08,0,0.01542357,0.08909588,0.02049057,0,48,107327,0,0
8873,2023-01-20 10:50:16.938875,136967003,0,0.08,0,0.15,0.07,0,0.01541311,0.08909588,0.02049057,0,48,107327,0,0
8906,2023-01-20 10:50:17.038871,137067002,0,0.06,0,0.15,0.07,0,0.01530787,0.08909588,0.02049057,0,48,107327,0,0
8936,2023-01-20 10:50:17.138909,137167011,0,0.06,0,0.16,0.08,0,0.01521804,0.08909588,0.02049057,0,48,107327,0,0
8971,2023-01-20 10:50:17.238929,137267017,0,0.09,0,0.17,0.1,0,0.01509798,0.08909588,0.02049057,0,48,107327,0,0
9001,2023-01-20 10:50:17.338923,137367020,0,0.09,0,0.15,0.13,0,0.01521969,0.08909588,0.02049057,0,48,107327,0,0
9034,2023-01-20 10:50:17.438910,137467008,0,0.11,0,0.15,0.08,0,0.01514809,0.08909588,0.02049057,0,48,107327,0,0
9066,2023-01-20 10:50:17.538911,137566998,0,0.11,0,0.16,0.1,0,0.01512505,0.08909588,0.02049057,0,48,107327,0,0
9100,2023-01-20 10:50:17.638915,137666995,0,0.09,0,0.14,0.07,0,0.01492451,0.08909588,0.02049057,0,48,107327,0,0
9132,2023-01-20 10:50:17.738930,137767012,0,0.09,0,0.14,0.06,0,0.01494572,0.08909588,0.02049057,0,48,107327,0,0
9166,2023-01-20 10:50:17.835450,137866999,0,0.15,0,0.11,0.1,0,0.01467235,0.08909588,0.02049057,0,48,107327,0,0
9196,2023-01-20 10:50:17.926548,137967004,0,0.15,0,0.11,0.12,0,0.01465524,0.08909588,0.02049057,0,48,107327,0,0
9229,2023-01-20 10:50:18.021482,138067027,0,0.15,0,0.12,0.04,0,0.0143974,0.08909588,0.02049057,0,48,107327,0,0
9260,2023-01-20 10:50:18.132253,138167002,0,0.15,0,0.1,0.09,0,0.01440651,0.08909588,0.02049057,0,48,107327,0,0
9295,2023-01-20 10:50:18.238871,138267001,0,0.16,0,0.14,0.08,0,0.01417429,0.08909588,0.02049057,0,48,107327,0,0
9325,2023-01-20 10:50:18.338922,138367012,0,0.16,0,0.15,0.06,0,0.01416457,0.08909588,0.02049057,0,48,107327,0,0
