LineNo,UTC_Approx,TimeUS,C,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11
59301,2023-01-20 10:52:50.819162,291167000,0,0.0001138168,7.66309E-06,8.279851E-06,9.195174E-06,0.0430406,0.04395337,0.008177626,0.5466768,0.5498826,0.1284852,4.207058E-11,4.195808E-11
59465,2023-01-20 10:52:51.319202,291666996,0,0.0001138843,7.794953E-06,8.434384E-06,9.015491E-06,0.04488336,0.04582873,0.008225917,0.5683626,0.5719841,0.1288703,4.225448E-11,4.213958E-11
59627,2023-01-20 10:52:51.799499,292167001,0,0.0001132961,7.941047E-06,8.566587E-06,9.533652E-06,0.04687854,0.04784392,0.008274196,0.5916431,0.5957084,0.129251,4.244212E-11,4.232451E-11
59791,2023-01-20 10:52:52.299375,292666996,0,0.0001135059,7.783539E-06,8.41899E-06,9.176804E-06,0.04489756,0.04577368,0.008227622,0.5699685,0.5735452,0.1289451,4.222781E-11,4.21156E-11
59954,2023-01-20 10:52:52.799311,293167000,0,0.0001134468,7.893602E-06,8.516895E-06,9.182477E-06,0.04632996,0.04723604,0.008264152,0.5905961,0.594521,0.12925,4.23728E-11,4.225887E-11
60118,2023-01-20 10:52:53.299324,293666996,0,0.0001133876,7.733461E-06,8.343422E-06,9.127793E-06,0.04417834,0.04501138,0.008207085,0.5670077,0.5704192,0.1288219,4.214713E-11,4.203897E-11
60280,2023-01-20 10:52:53.799290,294167000,0,0.0001129684,7.840829E-06,8.450307E-06,9.469433E-06,0.04557136,0.04647756,0.008237537,0.5857965,0.5895022,0.1290508,4.228767E-11,4.217725E-11
60447,2023-01-20 10:52:54.299194,294666996,0,0.0001135174,7.67271E-06,8.292888E-06,8.801666E-06,0.04338102,0.04417785,0.008180362,0.5617851,0.5649885,0.1285978,4.207466E-11,4.196939E-11
60608,2023-01-20 10:52:54.799155,295167000,0,0.0001131362,7.826773E-06,8.435393E-06,9.134252E-06,0.04519089,0.04608627,0.008227073,0.5826469,0.5862321,0.1289153,4.227897E-11,4.216958E-11
60773,2023-01-20 10:52:55.299158,295667000,0,0.0001123681,7.739075E-06,8.335308E-06,9.79606E-06,0.04394543,0.04484104,0.008194935,0.5631583,0.5664191,0.1286695,4.215379E-11,4.204729E-11
60936,2023-01-20 10:52:55.799263,296167004,0,0.0001122192,7.853281E-06,8.452338E-06,9.878305E-06,0.04551885,0.04652517,0.008232668,0.582746,0.5863895,0.1289505,4.231145E-11,4.220131E-11
61100,2023-01-20 10:52:56.299220,296667000,0,0.0001122014,7.729106E-06,8.322712E-06,9.741325E-06,0.04387005,0.04480458,0.008190046,0.5612568,0.5645103,0.128604,4.213628E-11,4.20299E-11
61262,2023-01-20 10:52:56.799147,297166996,0,0.0001123217,7.853238E-06,8.459866E-06,9.526683E-06,0.0455908,0.04664808,0.008234028,0.5816731,0.5853612,0.1289255,4.231532E-11,4.220447E-11
61427,2023-01-20 10:52:57.299194,297667005,0,0.0001113608,7.723106E-06,8.305152E-06,1.02839E-05,0.04364785,0.04460698,0.008185534,0.5590881,0.5623478,0.1285439,4.211518E-11,4.200868E-11
61589,2023-01-20 10:52:57.799270,298167004,0,0.0001113802,7.83414E-06,8.425408E-06,1.015114E-05,0.04517103,0.04628417,0.008222948,0.5782023,0.5818875,0.1288038,4.227473E-11,4.216431E-11
61753,2023-01-20 10:52:58.299213,298667000,0,0.0001120801,7.681094E-06,8.277019E-06,9.220375E-06,0.04329037,0.04433625,0.008172997,0.5553997,0.558665,0.1284107,4.208297E-11,4.197668E-11
61915,2023-01-20 10:52:58.799260,299166996,0,0.0001119718,7.795852E-06,8.415095E-06,9.166311E-06,0.04482771,0.04586136,0.008214891,0.5745546,0.578244,0.1286995,4.225503E-11,4.214461E-11
62082,2023-01-20 10:52:59.299160,299667000,0,0.0001111167,7.651624E-06,8.251125E-06,9.81437E-06,0.04269613,0.04356336,0.008156977,0.5506716,0.5538861,0.1282224,4.204159E-11,4.193615E-11
62244,2023-01-20 10:52:59.799246,300166996,0,0.0001109238,7.788477E-06,8.38237E-06,9.915503E-06,0.04431342,0.04520174,0.008201891,0.5697668,0.5733454,0.1285178,4.222844E-11,4.211902E-11
62408,2023-01-20 10:53:00.299212,300667000,0,0.0001111653,7.677465E-06,8.282431E-06,9.511888E-06,0.04268479,0.04356825,0.008159255,0.5486739,0.5518687,0.1281788,4.207802E-11,4.197249E-11
62571,2023-01-20 10:53:00.799225,301167003,0,0.0001113699,7.818856E-06,8.428748E-06,9.17425E-06,0.04442474,0.04544803,0.008204049,0.5683787,0.5719869,0.1284891,4.226622E-11,4.21562E-11
62736,2023-01-20 10:53:01.299230,301666996,0,0.0001107124,7.720046E-06,8.308461E-06,9.587053E-06,0.04292428,0.04399976,0.008164926,0.5481716,0.5514196,0.1282025,4.211435E-11,4.200831E-11
62898,2023-01-20 10:53:01.799264,302167014,0,0.0001104987,7.861646E-06,8.449568E-06,9.654272E-06,0.04492182,0.04611445,0.008216397,0.569399,0.5731814,0.1285723,4.231672E-11,4.220577E-11
63062,2023-01-20 10:53:02.279413,302666995,0,0.0001109042,7.723987E-06,8.32667E-06,8.95861E-06,0.04334773,0.0445029,0.008175832,0.549671,0.5530841,0.1282803,4.214423E-11,4.203735E-11
63222,2023-01-20 10:53:02.779386,303167014,0,0.000111149,7.833893E-06,8.481486E-06,8.494547E-06,0.04501564,0.04610457,0.008220027,0.56995,0.573837,0.1286441,4.231283E-11,4.220196E-11
63388,2023-01-20 10:53:03.279328,303667011,0,0.000111151,7.702979E-06,8.337771E-06,8.244407E-06,0.04324283,0.04416271,0.008175406,0.5493795,0.552838,0.1283232,4.212609E-11,4.201978E-11
63549,2023-01-20 10:53:03.779283,304167011,0,0.0001095879,7.876048E-06,8.467157E-06,9.674341E-06,0.04513756,0.04611558,0.008225897,0.5712144,0.5751111,0.1287206,4.232521E-11,4.221413E-11
63718,2023-01-20 10:53:04.279267,304667012,0,0.0001099269,7.754213E-06,8.353606E-06,9.169961E-06,0.04374208,0.04467432,0.008192332,0.5522203,0.5557273,0.1285108,4.217389E-11,4.206664E-11
