LineNo,UTC_Approx,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
8143,2023-01-20 10:50:14.639860,134667958,39.8043094,32.3787495,737.89,3.64503,4.285029
8173,2023-01-20 10:50:14.739832,134767930,39.8043092,32.3787496,737.88,3.632533,4.272533
8207,2023-01-20 10:50:14.839814,134867946,39.8043091,32.3787497,737.87,3.625801,4.265801
8237,2023-01-20 10:50:14.939719,134967934,39.8043091,32.3787496,737.87,3.625692,4.265692
8270,2023-01-20 10:50:15.039706,135067946,39.8043091,32.3787496,737.87,3.626477,4.266477
8302,2023-01-20 10:50:15.139830,135168005,39.804309,32.3787497,737.88,3.633113,4.273113
8335,2023-01-20 10:50:15.239808,135267936,39.804309,32.3787497,737.89,3.641675,4.281675
8365,2023-01-20 10:50:15.339849,135367957,39.804309,32.3787498,737.89,3.649751,4.289751
8398,2023-01-20 10:50:15.439874,135467971,39.804309,32.3787498,737.9,3.657526,4.297526
8430,2023-01-20 10:50:15.539837,135567937,39.8043091,32.3787498,737.91,3.667205,4.307205
8466,2023-01-20 10:50:15.639856,135667957,39.8043091,32.3787499,737.92,3.676285,4.316285
8496,2023-01-20 10:50:15.739842,135767941,39.8043092,32.3787499,737.93,3.686967,4.326967
8530,2023-01-20 10:50:15.839837,135867946,39.8043092,32.3787499,737.94,3.694786,4.334786
8560,2023-01-20 10:50:15.939804,135967944,39.8043092,32.3787499,737.95,3.701314,4.341314
8593,2023-01-20 10:50:16.039802,136067949,39.8043091,32.3787501,737.95,3.704873,4.344873
8625,2023-01-20 10:50:16.139842,136167958,39.804309,32.3787502,737.95,3.706278,4.346278
8658,2023-01-20 10:50:16.239810,136267929,39.8043088,32.3787504,737.95,3.702437,4.342437
8688,2023-01-20 10:50:16.339761,136367934,39.8043085,32.3787506,737.94,3.693182,4.333182
8721,2023-01-20 10:50:16.439748,136467931,39.8043083,32.3787507,737.92,3.679008,4.319008
8753,2023-01-20 10:50:16.539846,136567971,39.8043082,32.3787508,737.91,3.663561,4.303561
8789,2023-01-20 10:50:16.639863,136667954,39.804308,32.3787509,737.89,3.648003,4.288003
8819,2023-01-20 10:50:16.739841,136767934,39.804308,32.3787509,737.88,3.634513,4.274513
8853,2023-01-20 10:50:16.839838,136867942,39.804308,32.3787508,737.87,3.624422,4.264422
8883,2023-01-20 10:50:16.939807,136967935,39.8043079,32.3787507,737.86,3.616981,4.25698
8916,2023-01-20 10:50:17.039806,137067937,39.8043079,32.3787506,737.86,3.612019,4.252018
8948,2023-01-20 10:50:17.139869,137167971,39.8043079,32.3787504,737.86,3.61208,4.25208
8981,2023-01-20 10:50:17.239881,137267969,39.804308,32.3787503,737.86,3.615115,4.255115
9011,2023-01-20 10:50:17.339857,137367954,39.804308,32.3787502,737.86,3.617733,4.257733
9044,2023-01-20 10:50:17.439829,137467927,39.8043081,32.37875,737.87,3.622096,4.262096
9076,2023-01-20 10:50:17.539845,137567932,39.8043082,32.3787499,737.87,3.629618,4.269618
9112,2023-01-20 10:50:17.639925,137668005,39.8043083,32.3787498,737.88,3.636466,4.276466
9142,2023-01-20 10:50:17.739860,137767941,39.8043084,32.3787497,737.89,3.642806,4.282806
9176,2023-01-20 10:50:17.836324,137867958,39.8043085,32.3787497,737.89,3.647185,4.287185
9206,2023-01-20 10:50:17.927395,137967934,39.8043086,32.3787497,737.9,3.650479,4.290479
9240,2023-01-20 10:50:18.022527,138067970,39.8043087,32.3787497,737.9,3.651262,4.291262
9272,2023-01-20 10:50:18.133311,138167957,39.8043088,32.3787497,737.9,3.651419,4.291419
9305,2023-01-20 10:50:18.239802,138267932,39.8043089,32.3787498,737.9,3.652839,4.292839
9335,2023-01-20 10:50:18.339911,138368000,39.804309,32.37875,737.9,3.658225,4.298224
9368,2023-01-20 10:50:18.436315,138467926,39.8043091,32.3787501,737.91,3.664341,4.304341
9400,2023-01-20 10:50:18.527423,138567932,39.8043092,32.3787502,737.92,3.670621,4.310621
9436,2023-01-20 10:50:18.620352,138667956,39.8043093,32.3787504,737.92,3.67632,4.31632
9466,2023-01-20 10:50:18.720290,138767928,39.8043094,32.3787506,737.93,3.68719,4.327189
9500,2023-01-20 10:50:18.820268,138867940,39.8043095,32.3787507,737.94,3.69359,4.33359
9532,2023-01-20 10:50:18.920229,138967937,39.8043097,32.3787508,737.94,3.699773,4.339773
9565,2023-01-20 10:50:19.020255,139067985,39.8043098,32.3787509,737.95,3.701725,4.341725
9597,2023-01-20 10:50:19.120262,139167956,39.80431,32.3787511,737.95,3.702971,4.342971
9630,2023-01-20 10:50:19.220256,139267927,39.8043101,32.3787512,737.95,3.700453,4.340453
9660,2023-01-20 10:50:19.320251,139367947,39.8043103,32.3787513,737.94,3.698377,4.338377
9693,2023-01-20 10:50:19.420210,139467938,39.8043104,32.3787514,737.94,3.693026,4.333026
9725,2023-01-20 10:50:19.520155,139567936,39.8043105,32.3787516,737.93,3.688854,4.328854
9761,2023-01-20 10:50:19.620131,139667955,39.8043106,32.3787517,737.93,3.68239,4.32239
9791,2023-01-20 10:50:19.720105,139767931,39.8043107,32.378752,737.92,3.672849,4.312849
9825,2023-01-20 10:50:19.820107,139867938,39.8043108,32.3787522,737.91,3.660395,4.300395
9855,2023-01-20 10:50:19.920089,139967937,39.8043109,32.3787525,737.89,3.648994,4.288994
9888,2023-01-20 10:50:20.020129,140067989,39.804311,32.3787527,737.88,3.635602,4.275601
9920,2023-01-20 10:50:20.120123,140167973,39.804311,32.3787529,737.87,3.62184,4.261839
9953,2023-01-20 10:50:20.220101,140267930,39.804311,32.378753,737.85,3.607676,4.247675
9986,2023-01-20 10:50:20.320167,140367932,39.8043111,32.3787533,737.84,3.592174,4.232174
10019,2023-01-20 10:50:20.420199,140467914,39.8043111,32.3787534,737.82,3.574545,4.214545
10051,2023-01-20 10:50:20.520198,140567917,39.8043112,32.3787536,737.8,3.558141,4.198141
10087,2023-01-20 10:50:20.620259,140667974,39.8043112,32.3787537,737.79,3.545172,4.185172
10117,2023-01-20 10:50:20.720241,140767918,39.8043112,32.3787537,737.78,3.537235,4.177235
10151,2023-01-20 10:50:20.820249,140867920,39.8043112,32.3787537,737.78,3.531035,4.171035
10181,2023-01-20 10:50:20.920115,140967905,39.8043112,32.3787537,737.78,3.529999,4.169999
10214,2023-01-20 10:50:21.020064,141067938,39.8043112,32.3787538,737.78,3.530523,4.170523
10246,2023-01-20 10:50:21.120115,141167933,39.8043112,32.3787539,737.78,3.53337,4.17337
10279,2023-01-20 10:50:21.220173,141267952,39.8043112,32.3787541,737.78,3.535053,4.175053
10309,2023-01-20 10:50:21.320180,141367983,39.8043113,32.3787545,737.78,3.537732,4.177732
10342,2023-01-20 10:50:21.420095,141467911,39.8043115,32.3787549,737.79,3.540122,4.180121
10374,2023-01-20 10:50:21.520132,141567912,39.8043117,32.3787554,737.79,3.547158,4.187158
10410,2023-01-20 10:50:21.620167,141667930,39.8043118,32.378756,737.8,3.55242,4.19242
10440,2023-01-20 10:50:21.720094,141767919,39.804312,32.3787568,737.8,3.559223,4.199223
10474,2023-01-20 10:50:21.820047,141867924,39.8043122,32.3787576,737.81,3.564583,4.204583
10504,2023-01-20 10:50:21.920074,141967964,39.8043124,32.3787585,737.82,3.570886,4.210886
10537,2023-01-20 10:50:22.020047,142067938,39.8043127,32.3787594,737.82,3.577487,4.217486
10569,2023-01-20 10:50:22.120102,142167942,39.8043132,32.3787605,737.83,3.586669,4.226669
10602,2023-01-20 10:50:22.220097,142267904,39.8043136,32.3787617,737.84,3.596152,4.236152
10632,2023-01-20 10:50:22.320099,142367941,39.804314,32.3787628,737.86,3.609967,4.249967
10665,2023-01-20 10:50:22.420040,142467901,39.8043144,32.378764,737.87,3.623943,4.263943
10697,2023-01-20 10:50:22.520098,142567912,39.8043149,32.3787653,737.89,3.642355,4.282355
