LineNo,UTC_Approx,TimeUS,IMU,VibeX,VibeY,VibeZ,Clip
166471,2023-01-20 10:58:15.432659,616469963,0,20.15647,14.51411,15.11132,0
166503,2023-01-20 10:58:15.532669,616569980,0,21.41499,11.40145,17.21992,0
166538,2023-01-20 10:58:15.632684,616669996,0,19.54155,14.12711,16.3292,0
166570,2023-01-20 10:58:15.732712,616770016,0,18.50124,14.89905,16.50562,0
166603,2023-01-20 10:58:15.832676,616869984,0,16.32765,17.57095,15.90385,0
166633,2023-01-20 10:58:15.932624,616969959,0,13.88334,20.12227,14.83927,0
166667,2023-01-20 10:58:16.032611,617069957,0,12.61562,18.50714,14.39967,0
166700,2023-01-20 10:58:16.132666,617169991,0,16.623,12.50261,14.66838,0
166733,2023-01-20 10:58:16.232668,617269985,0,18.56879,10.77734,13.65142,0
166763,2023-01-20 10:58:16.332686,617370022,0,17.37868,12.32141,13.36487,0
166797,2023-01-20 10:58:16.432622,617469964,0,18.24371,17.2745,11.78303,0
166831,2023-01-20 10:58:16.532660,617569982,0,20.81147,17.45094,12.92921,0
166867,2023-01-20 10:58:16.632678,617669986,0,22.73082,14.20797,15.76643,0
166899,2023-01-20 10:58:16.732657,617769965,0,23.41904,10.25238,18.42,0
166932,2023-01-20 10:58:16.832659,617869985,0,21.69273,11.0965,17.78346,0
166962,2023-01-20 10:58:16.932586,617969966,0,19.35073,13.45961,16.57028,0
166996,2023-01-20 10:58:17.032605,618070006,0,17.7051,16.2488,16.55367,0
167029,2023-01-20 10:58:17.132661,618170014,0,14.92622,19.42466,15.39972,0
167062,2023-01-20 10:58:17.232663,618269980,0,12.96013,20.39582,14.71792,0
167092,2023-01-20 10:58:17.332678,618369984,0,10.85135,19.78862,13.00201,0
167126,2023-01-20 10:58:17.432663,618469965,0,12.48152,18.07251,13.39007,0
167158,2023-01-20 10:58:17.532667,618569982,0,15.59597,14.4673,15.06207,0
167193,2023-01-20 10:58:17.632714,618670033,0,18.05018,11.39621,15.21159,0
167225,2023-01-20 10:58:17.732666,618769973,0,18.61717,9.815042,14.17693,0
167258,2023-01-20 10:58:17.832693,618870000,0,18.03438,10.90423,14.11118,0
167288,2023-01-20 10:58:17.932625,618969958,0,17.89067,12.93881,14.05644,0
167322,2023-01-20 10:58:18.032619,619069965,0,17.8028,16.80309,13.01881,0
167355,2023-01-20 10:58:18.132662,619169994,0,20.52258,16.63749,13.83866,0
167388,2023-01-20 10:58:18.232663,619269982,0,23.76953,11.79924,17.50627,0
167418,2023-01-20 10:58:18.332717,619370028,0,20.71347,14.1866,16.89277,0
167452,2023-01-20 10:58:18.432653,619469955,0,14.8266,18.7606,14.98623,0
167484,2023-01-20 10:58:18.532682,619569973,0,12.10354,18.87324,13.6488,0
167519,2023-01-20 10:58:18.632714,619670004,0,12.09637,20.4533,13.56408,0
167552,2023-01-20 10:58:18.732656,619769963,0,15.10731,19.0388,14.99993,0
167585,2023-01-20 10:58:18.832651,619869981,0,16.58395,19.21834,15.44899,0
167617,2023-01-20 10:58:18.932651,619970015,0,13.25369,19.84959,13.86808,0
167651,2023-01-20 10:58:19.032589,620069961,0,15.48249,15.53875,14.86121,0
167684,2023-01-20 10:58:19.132660,620169987,0,17.35822,12.52702,14.49904,0
167717,2023-01-20 10:58:19.232681,620269980,0,17.75975,14.79849,13.56875,0
167747,2023-01-20 10:58:19.332670,620369976,0,18.28562,17.37759,11.65094,0
167781,2023-01-20 10:58:19.432656,620469972,0,19.79816,17.42478,11.10266,0
167814,2023-01-20 10:58:19.532674,620570006,0,19.19626,16.8348,10.55297,0
167849,2023-01-20 10:58:19.632704,620670038,0,17.96386,12.60862,12.7122,0
167881,2023-01-20 10:58:19.732646,620769957,0,18.20693,10.84117,13.5935,0
167914,2023-01-20 10:58:19.832697,620870001,0,18.88348,9.464867,13.74865,0
167944,2023-01-20 10:58:19.932636,620969965,0,18.57738,8.640218,14.9821,0
167977,2023-01-20 10:58:20.032623,621069964,0,18.11992,10.38065,14.41886,0
168010,2023-01-20 10:58:20.132680,621170004,0,17.68768,15.96812,13.24387,0
168043,2023-01-20 10:58:20.232711,621270023,0,21.34214,15.56222,14.98639,0
168073,2023-01-20 10:58:20.332667,621369978,0,20.403,16.75109,16.27128,0
168107,2023-01-20 10:58:20.432655,621469964,0,17.05358,15.58125,14.98878,0
168139,2023-01-20 10:58:20.532669,621569976,0,18.34809,15.24366,13.87398,0
168174,2023-01-20 10:58:20.632686,621669991,0,21.65597,13.26241,15.9992,0
168206,2023-01-20 10:58:20.732681,621769986,0,17.33018,16.61166,15.07604,0
168240,2023-01-20 10:58:20.832944,621870253,0,17.6925,11.65931,14.75882,0
168270,2023-01-20 10:58:20.932709,621970028,0,17.06986,12.12874,14.31052,0
168304,2023-01-20 10:58:21.032647,622069969,0,17.4224,14.79577,13.24865,0
168337,2023-01-20 10:58:21.132680,622169989,0,17.6932,16.5023,12.65121,0
168370,2023-01-20 10:58:21.232656,622269957,0,17.80858,14.53453,13.62063,0
168400,2023-01-20 10:58:21.332697,622369997,0,17.98604,11.66899,13.99007,0
168434,2023-01-20 10:58:21.432656,622469961,0,18.34237,9.336438,14.2899,0
168466,2023-01-20 10:58:21.532715,622570036,0,18.46303,10.09676,14.96764,0
168501,2023-01-20 10:58:21.632663,622669990,0,17.90548,11.94901,14.36353,0
168532,2023-01-20 10:58:21.732652,622769966,0,18.19596,11.75256,15.11775,0
168566,2023-01-20 10:58:21.829980,622870258,0,19.15473,10.03452,15.32066,0
168596,2023-01-20 10:58:21.920691,622969966,0,18.33933,12.71034,15.52204,0
168630,2023-01-20 10:58:22.012838,623069977,0,18.72828,18.17582,13.42815,0
168663,2023-01-20 10:58:22.112863,623169991,0,20.78413,17.07617,15.15994,0
168696,2023-01-20 10:58:22.212879,623270006,0,22.57329,13.07597,17.39469,0
168726,2023-01-20 10:58:22.312801,623369987,0,16.54752,18.42016,15.12074,0
168760,2023-01-20 10:58:22.412723,623469955,0,16.11066,14.76717,14.95734,0
168792,2023-01-20 10:58:22.512803,623569986,0,17.8524,14.33741,13.52803,0
168827,2023-01-20 10:58:22.612843,623669989,0,19.71747,16.06568,13.92695,0
168858,2023-01-20 10:58:22.712768,623769960,0,21.64348,13.79762,16.1859,0
168892,2023-01-20 10:58:22.813053,623870290,0,15.25628,17.67731,14.44209,0
168922,2023-01-20 10:58:22.912731,623969998,0,17.62834,13.26392,14.24571,0
168956,2023-01-20 10:58:23.012676,624069961,0,19.52591,15.70792,14.18387,0
168990,2023-01-20 10:58:23.112775,624169992,0,21.7688,13.20761,16.94823,0
169023,2023-01-20 10:58:23.212795,624269957,0,16.04695,17.62901,15.37224,0
169053,2023-01-20 10:58:23.312785,624369983,0,17.90982,14.00898,14.27917,0
169136,2023-01-20 10:58:23.412750,624469980,0,19.4123,16.37419,13.55583,0
169169,2023-01-20 10:58:23.512793,624570034,0,23.49628,12.49264,17.55564,0
169204,2023-01-20 10:58:23.612744,624669996,0,21.91387,12.37043,18.08477,0
169235,2023-01-20 10:58:23.712704,624769960,0,18.03127,17.00715,16.27363,0
