LineNo,UTC_Approx,TimeUS,RMSRollP,RMSRollD,RMSPitchP,RMSPitchD,RMSYaw
5425,2023-01-20 10:50:06.244822,126267380,0.02273603,0.02831287,0.01881063,0.02467328,0.04755524
5457,2023-01-20 10:50:06.343839,126367636,0.0233172,0.02884204,0.02013073,0.03027686,0.05435657
5490,2023-01-20 10:50:06.442869,126467373,0.02060534,0.02641554,0.02029012,0.03271978,0.05278093
5522,2023-01-20 10:50:06.542865,126567381,0.02168207,0.02711725,0.01998416,0.03329496,0.04685691
5558,2023-01-20 10:50:06.642896,126667447,0.01998667,0.02673171,0.01870731,0.02912225,0.04051492
5588,2023-01-20 10:50:06.742773,126767388,0.01944882,0.0269141,0.01947699,0.02519423,0.0354236
5622,2023-01-20 10:50:06.842697,126867387,0.01749965,0.02821894,0.01903152,0.0244345,0.03366363
5652,2023-01-20 10:50:06.942613,126967393,0.02059772,0.03755236,0.01688661,0.02396982,0.0372793
5685,2023-01-20 10:50:07.042603,127067442,0.01813646,0.03287237,0.01789674,0.02460282,0.04527577
5717,2023-01-20 10:50:07.142531,127167388,0.01702799,0.03428518,0.01730747,0.02921175,0.05257123
5750,2023-01-20 10:50:07.242534,127267374,0.01589341,0.03326939,0.01684511,0.02878275,0.05668654
5780,2023-01-20 10:50:07.342881,127367658,0.01500776,0.03319153,0.01575314,0.02617193,0.05699801
5813,2023-01-20 10:50:07.442580,127467358,0.01289156,0.02837519,0.01409529,0.02468053,0.05530582
5845,2023-01-20 10:50:07.542505,127567369,0.01257478,0.02721035,0.01289646,0.02340139,0.05323349
5881,2023-01-20 10:50:07.647276,127667401,0.01156101,0.02654154,0.01272762,0.02377771,0.05102241
5911,2023-01-20 10:50:07.758522,127767376,0.01081342,0.02560639,0.0118858,0.02432548,0.04946035
5945,2023-01-20 10:50:07.856954,127867386,0.009530326,0.02265058,0.01160779,0.02578739,0.04801971
5977,2023-01-20 10:50:07.947747,127967392,0.01039123,0.02243859,0.0123137,0.02574259,0.04615115
6010,2023-01-20 10:50:08.042432,128067388,0.01056711,0.02421102,0.01197722,0.02463604,0.0440269
6042,2023-01-20 10:50:08.142479,128167453,0.008966744,0.02074687,0.01137794,0.02336659,0.04169396
6075,2023-01-20 10:50:08.242395,128267362,0.008268524,0.01950409,0.01021094,0.02219173,0.03886624
6105,2023-01-20 10:50:08.342746,128367671,0.008968215,0.02299342,0.01201297,0.02007406,0.0338302
6138,2023-01-20 10:50:08.442467,128467371,0.008144969,0.0209406,0.01375976,0.02234894,0.0278972
6170,2023-01-20 10:50:08.542467,128567377,0.007504244,0.01827701,0.01283993,0.02153458,0.02303988
6206,2023-01-20 10:50:08.642482,128667400,0.007097203,0.01715609,0.01284186,0.02714795,0.01920876
6236,2023-01-20 10:50:08.742461,128767387,0.008387129,0.02210802,0.01208436,0.02635324,0.01584913
6270,2023-01-20 10:50:08.842538,128867427,0.008704359,0.02362756,0.01021218,0.02183218,0.0134407
6303,2023-01-20 10:50:08.942575,128967366,0.009636496,0.02532732,0.009844225,0.01964705,0.01468579
6336,2023-01-20 10:50:09.042678,129067397,0.01140103,0.02332847,0.0108925,0.02102771,0.01868707
6368,2023-01-20 10:50:09.142717,129167397,0.01207149,0.02007323,0.01254831,0.02349822,0.02094149
6401,2023-01-20 10:50:09.242635,129267370,0.01347036,0.02313029,0.01730281,0.02310769,0.01950135
6431,2023-01-20 10:50:09.342738,129367653,0.0155862,0.02139409,0.01589842,0.02221747,0.01630585
6464,2023-01-20 10:50:09.442447,129467989,0.01650553,0.01854381,0.016662,0.02493533,0.0138326
6496,2023-01-20 10:50:09.541293,129568055,0.01499542,0.01684557,0.02188627,0.02816083,0.01631379
6532,2023-01-20 10:50:09.640578,129668065,0.01311834,0.01810442,0.02264539,0.02742118,0.02524913
6562,2023-01-20 10:50:09.740559,129768047,0.01134013,0.01661237,0.02435088,0.02616939,0.03468742
6596,2023-01-20 10:50:09.840619,129868117,0.01057116,0.01971909,0.02395249,0.02523121,0.04147296
6627,2023-01-20 10:50:09.940551,129968071,0.01091538,0.02501257,0.0225296,0.02171998,0.04627448
6660,2023-01-20 10:50:10.040562,130068085,0.01028446,0.02240681,0.02450489,0.02404183,0.04829417
6692,2023-01-20 10:50:10.140646,130168144,0.01110724,0.0253418,0.02252609,0.02332499,0.04950913
6725,2023-01-20 10:50:10.240470,130268058,0.01163471,0.0268018,0.01911467,0.02161343,0.05166012
6755,2023-01-20 10:50:10.340309,130368155,0.01244735,0.02632358,0.01593277,0.01918718,0.05325491
6788,2023-01-20 10:50:10.440065,130468077,0.01169278,0.0239969,0.01501037,0.02516742,0.05353986
6820,2023-01-20 10:50:10.540057,130568096,0.01215229,0.02826072,0.01406654,0.02397288,0.05200943
6856,2023-01-20 10:50:10.640060,130668122,0.01052244,0.02505811,0.01336041,0.02693098,0.04965645
6886,2023-01-20 10:50:10.740006,130768086,0.01106854,0.02690697,0.01554776,0.02666466,0.04617993
6920,2023-01-20 10:50:10.840081,130868208,0.01139953,0.02962358,0.02175176,0.023859,0.04186616
6950,2023-01-20 10:50:10.939891,130968106,0.01048999,0.0273414,0.01977921,0.02029074,0.03750915
6983,2023-01-20 10:50:11.039891,131068125,0.009627311,0.02486064,0.01906038,0.01817019,0.03276575
7015,2023-01-20 10:50:11.140060,131168207,0.01087428,0.02883587,0.02243945,0.01726274,0.02735876
7049,2023-01-20 10:50:11.239994,131268092,0.01314843,0.02711445,0.02133761,0.01674817,0.02241854
7079,2023-01-20 10:50:11.340000,131368105,0.01324283,0.02815229,0.02132437,0.02037163,0.01904609
7112,2023-01-20 10:50:11.439981,131468087,0.01515774,0.02964967,0.01924163,0.02080282,0.01830991
7143,2023-01-20 10:50:11.539994,131568095,0.01457983,0.028302,0.01755353,0.02047089,0.02022796
7179,2023-01-20 10:50:11.640019,131668116,0.01359986,0.02844305,0.01749167,0.02147219,0.0232775
7209,2023-01-20 10:50:11.739992,131768090,0.01631741,0.02443844,0.02022329,0.02398736,0.02453069
7243,2023-01-20 10:50:11.840022,131868150,0.01553984,0.0235171,0.01994236,0.02313306,0.02332544
7273,2023-01-20 10:50:11.939887,131968090,0.01508996,0.02328069,0.01791743,0.02354052,0.02023815
7306,2023-01-20 10:50:12.039908,132068124,0.01499663,0.02421911,0.01622945,0.02548045,0.01682591
7338,2023-01-20 10:50:12.140090,132168224,0.01369689,0.02428815,0.01549765,0.0266175,0.0186948
7371,2023-01-20 10:50:12.240012,132268099,0.0117736,0.02083795,0.01569498,0.02604348,0.02721113
7401,2023-01-20 10:50:12.340023,132368114,0.01372655,0.01827294,0.02016581,0.02485745,0.03339693
7434,2023-01-20 10:50:12.439983,132468079,0.01419797,0.01878722,0.01982203,0.0215064,0.03436692
7466,2023-01-20 10:50:12.539989,132568092,0.01285731,0.02105029,0.01748399,0.01863749,0.03307418
7502,2023-01-20 10:50:12.640018,132668122,0.01300819,0.01970428,0.01611586,0.01779021,0.03173914
7532,2023-01-20 10:50:12.739989,132768082,0.01353145,0.0217176,0.02187322,0.01950063,0.03162442
7566,2023-01-20 10:50:12.839988,132868104,0.01458177,0.02332881,0.02491205,0.02146805,0.03036265
7597,2023-01-20 10:50:12.939919,132968109,0.01358188,0.02526391,0.02329861,0.02354841,0.02573856
7630,2023-01-20 10:50:13.039896,133068100,0.01349475,0.02962564,0.02099436,0.02380987,0.02129252
7662,2023-01-20 10:50:13.140104,133168234,0.01205057,0.02774426,0.02182601,0.026057,0.01803556
7695,2023-01-20 10:50:13.239999,133268086,0.01351797,0.02821095,0.02199704,0.0229989,0.01518057
7725,2023-01-20 10:50:13.340011,133368101,0.0142983,0.02708455,0.02234196,0.02235569,0.01395046
7758,2023-01-20 10:50:13.439992,133468084,0.01522943,0.02664043,0.02018264,0.01949773,0.0294688
7790,2023-01-20 10:50:13.540008,133568099,0.01442432,0.02492444,0.01799967,0.018173,0.04935535
7826,2023-01-20 10:50:13.640022,133668114,0.0160317,0.0233476,0.01824501,0.01861286,0.06449387
7856,2023-01-20 10:50:13.739994,133768087,0.01739928,0.02637137,0.01842298,0.02011605,0.07344712
7890,2023-01-20 10:50:13.840001,133868128,0.01654515,0.02630397,0.02170888,0.0300016,0.07428654
7922,2023-01-20 10:50:13.939888,133968098,0.01629154,0.03114876,0.02766036,0.03052578,0.07002599
7955,2023-01-20 10:50:14.039890,134068121,0.01832887,0.03272743,0.03086161,0.02761281,0.06478471
7987,2023-01-20 10:50:14.140063,134168220,0.01689502,0.03326577,0.02654086,0.02724888,0.05794474
8020,2023-01-20 10:50:14.239969,134268079,0.01661815,0.03140911,0.02449395,0.0287528,0.05040065
8050,2023-01-20 10:50:14.340012,134368114,0.01425956,0.02709791,0.02375289,0.02952536,0.04295916
8083,2023-01-20 10:50:14.439998,134468096,0.01261572,0.02514125,0.02076328,0.02573276,0.03676851
8116,2023-01-20 10:50:14.539993,134568091,0.0121442,0.027525,0.0198511,0.02415456,0.03151693
8152,2023-01-20 10:50:14.640012,134668110,0.01111384,0.02654128,0.01946021,0.02721496,0.02653006
8182,2023-01-20 10:50:14.740024,134768122,0.01114555,0.02815565,0.02200642,0.03041239,0.02176715
8216,2023-01-20 10:50:14.839988,134868120,0.01079662,0.02549984,0.02019801,0.02987982,0.01809181
8246,2023-01-20 10:50:14.939884,134968100,0.01127071,0.02385856,0.01741489,0.02694138,0.01495071
8279,2023-01-20 10:50:15.039872,135068112,0.01033672,0.02327755,0.01759834,0.02485493,0.0126218
8311,2023-01-20 10:50:15.140036,135168211,0.01137622,0.02453321,0.01867476,0.02438533,0.01380541
8344,2023-01-20 10:50:15.239960,135268088,0.01082574,0.02303256,0.01648664,0.02606592,0.016913
8374,2023-01-20 10:50:15.340012,135368120,0.01031318,0.02398975,0.01504389,0.02257465,0.0183213
8407,2023-01-20 10:50:15.440030,135468127,0.009510376,0.02271766,0.01472769,0.02259093,0.01857598
8439,2023-01-20 10:50:15.539989,135568089,0.009924513,0.02552887,0.01609087,0.02189122,0.01756343
8475,2023-01-20 10:50:15.640016,135668117,0.01002223,0.02319205,0.01660254,0.02376138,0.01486147
8505,2023-01-20 10:50:15.739998,135768097,0.01145618,0.02301103,0.01671717,0.02366315,0.01662673
8539,2023-01-20 10:50:15.840009,135868119,0.010662,0.02390161,0.01527281,0.02227691,0.02673482
8569,2023-01-20 10:50:15.939979,135968119,0.009493582,0.02187981,0.01624558,0.01979738,0.04177728
8602,2023-01-20 10:50:16.039975,136068122,0.008301578,0.01962867,0.01594413,0.01865772,0.05265895
8634,2023-01-20 10:50:16.140018,136168133,0.008344721,0.01762952,0.01432237,0.01861287,0.05711383
8667,2023-01-20 10:50:16.239970,136268089,0.0120737,0.01640065,0.01327387,0.01838917,0.05524211
8697,2023-01-20 10:50:16.339920,136368093,0.01639168,0.01529164,0.01407804,0.01700578,0.04949462
8730,2023-01-20 10:50:16.439903,136468086,0.01969377,0.01410956,0.01360549,0.01741435,0.04224361
8762,2023-01-20 10:50:16.540010,136568135,0.0198371,0.01293008,0.01222418,0.01897828,0.03571435
8798,2023-01-20 10:50:16.640015,136668106,0.0225921,0.01552617,0.01095448,0.01890161,0.03069084
8828,2023-01-20 10:50:16.739996,136768090,0.02269794,0.01418828,0.01073572,0.01939077,0.02778115
8862,2023-01-20 10:50:16.840008,136868113,0.02615314,0.01460103,0.009305251,0.01659083,0.02832788
8892,2023-01-20 10:50:16.939959,136968087,0.02627278,0.0143098,0.00828092,0.01632734,0.0327288
8925,2023-01-20 10:50:17.039964,137068095,0.03037169,0.01378602,0.009513156,0.01965393,0.03823748
8957,2023-01-20 10:50:17.140040,137168142,0.03325843,0.01409027,0.009099899,0.01900392,0.04317678
8990,2023-01-20 10:50:17.240047,137268135,0.03145112,0.01303711,0.009893017,0.02001708,0.05254993
9020,2023-01-20 10:50:17.340038,137368135,0.02945319,0.01385648,0.01041195,0.0209311,0.0637976
9053,2023-01-20 10:50:17.439993,137468091,0.02794356,0.01372493,0.009855569,0.02181244,0.07117364
9085,2023-01-20 10:50:17.539997,137568084,0.03012879,0.01327811,0.01100528,0.02098865,0.07380706
9121,2023-01-20 10:50:17.640126,137668206,0.03035583,0.01297087,0.01316795,0.02635404,0.0731248
9151,2023-01-20 10:50:17.740016,137768097,0.03103319,0.01347658,0.01349989,0.02693773,0.06925074
9185,2023-01-20 10:50:17.836464,137868112,0.03467886,0.01471334,0.01561806,0.03192826,0.06399339
9215,2023-01-20 10:50:17.927537,137968090,0.03521127,0.0127166,0.01441677,0.02960639,0.05826511
9249,2023-01-20 10:50:18.022718,138068143,0.03922312,0.01215292,0.01564374,0.02528898,0.05291886
9281,2023-01-20 10:50:18.133478,138168108,0.0373059,0.01397657,0.01915477,0.02337527,0.04820564
9314,2023-01-20 10:50:18.239959,138268089,0.03519375,0.016893,0.01866745,0.02125435,0.04327703
9344,2023-01-20 10:50:18.340119,138368208,0.03283541,0.01843506,0.02077062,0.02115401,0.03763838
9377,2023-01-20 10:50:18.436456,138468081,0.03293804,0.01664392,0.02807433,0.02296408,0.03294926
9409,2023-01-20 10:50:18.527560,138568083,0.03175044,0.02505508,0.03446266,0.023277,0.04752663
9445,2023-01-20 10:50:18.620507,138668111,0.03139798,0.0255907,0.04118584,0.0259513,0.06268103
9475,2023-01-20 10:50:18.720465,138768103,0.02785396,0.02609984,0.04272847,0.0324938,0.06963361
9509,2023-01-20 10:50:18.820422,138868094,0.02479928,0.0244575,0.04137917,0.02919039,0.06882941
9541,2023-01-20 10:50:18.920384,138968092,0.02196777,0.02852265,0.03921936,0.02984605,0.05817195
9574,2023-01-20 10:50:19.020413,139068143,0.02061692,0.02998455,0.03421427,0.03041426,0.0602923
9606,2023-01-20 10:50:19.120474,139168168,0.01904292,0.02560146,0.02866719,0.02790872,0.06001519
9639,2023-01-20 10:50:19.220411,139268082,0.01658316,0.02521611,0.02636711,0.02625512,0.04967535
9669,2023-01-20 10:50:19.320413,139368110,0.01456766,0.0229797,0.02396782,0.02621131,0.04149026
9702,2023-01-20 10:50:19.420384,139468112,0.0151498,0.02399709,0.02354841,0.0276756,0.03541453
9734,2023-01-20 10:50:19.520321,139568102,0.01546208,0.02447258,0.02171094,0.02856908,0.03042912
9770,2023-01-20 10:50:19.620291,139668115,0.01423406,0.02424117,0.02047961,0.02760201,0.02597993
9800,2023-01-20 10:50:19.720256,139768082,0.01495875,0.02865244,0.01913824,0.03089699,0.02165396
9834,2023-01-20 10:50:19.820261,139868092,0.01598961,0.03288419,0.02051059,0.0280958,0.01782054
9864,2023-01-20 10:50:19.920249,139968097,0.01529199,0.03377166,0.01784116,0.02690144,0.01505904
9897,2023-01-20 10:50:20.020345,140068205,0.01401854,0.03023268,0.01794702,0.03059859,0.01284696
9929,2023-01-20 10:50:20.120274,140168124,0.01415733,0.02826691,0.01645801,0.02736409,0.0119677
9962,2023-01-20 10:50:20.220256,140268085,0.01816716,0.03239547,0.01864928,0.02876857,0.01322006
9995,2023-01-20 10:50:20.320333,140368098,0.01704201,0.02798488,0.01996293,0.03261231,0.01297875
10028,2023-01-20 10:50:20.420350,140468065,0.01668495,0.02833048,0.02375048,0.02989545,0.0115876
10060,2023-01-20 10:50:20.520353,140568072,0.01722722,0.0345103,0.02476129,0.02796195,0.009875897
10096,2023-01-20 10:50:20.620422,140668137,0.01684886,0.03615675,0.02222351,0.02891297,0.008112696
10126,2023-01-20 10:50:20.720392,140768069,0.01615341,0.03679971,0.01924059,0.02927818,0.006657782
10160,2023-01-20 10:50:20.820422,140868093,0.01542887,0.0377395,0.01659481,0.02653085,0.007261654
10190,2023-01-20 10:50:20.920279,140968069,0.01387425,0.03425355,0.01643942,0.03409604,0.01194643
10223,2023-01-20 10:50:21.020217,141068091,0.01243575,0.03101825,0.01467094,0.03194701,0.01750108
10255,2023-01-20 10:50:21.120266,141168084,0.011878,0.03016355,0.01398162,0.03274126,0.02152012
10288,2023-01-20 10:50:21.220336,141268115,0.01296197,0.03007663,0.01283544,0.03001944,0.02363223
10318,2023-01-20 10:50:21.320342,141368145,0.01170847,0.02695509,0.01320517,0.03176631,0.02601705
10351,2023-01-20 10:50:21.420246,141468062,0.0111824,0.02725656,0.01572057,0.03063967,0.03028331
10383,2023-01-20 10:50:21.520295,141568075,0.009963386,0.02437623,0.01626754,0.03316559,0.04735819
10419,2023-01-20 10:50:21.620322,141668085,0.009728582,0.02448853,0.01560126,0.0345046,0.08953594
10449,2023-01-20 10:50:21.720251,141768076,0.009547483,0.02429007,0.01467512,0.03441197,0.1331487
10483,2023-01-20 10:50:21.820218,141868095,0.008617965,0.02195175,0.01795692,0.03281331,0.1532498
10513,2023-01-20 10:50:21.920228,141968118,0.009877657,0.02147136,0.0229536,0.03121989,0.1562937
10546,2023-01-20 10:50:22.020201,142068092,0.009023976,0.02093759,0.02733898,0.03066391,0.1500765
