LineNo,UTC_Approx,TimeUS,C,Cnt,IMUMin,IMUMax,EKFMin,EKFMax,AngMin,AngMax,VMin,VMax
115890,2023-01-20 10:55:42.259153,462966996,0,408,0.0025,0.0025,0.01248623,0.01251378,0.01103586,0.01304258,0.01103588,0.0130426
117525,2023-01-20 10:55:47.236701,467967355,0,401,0.0025,0.0025,0.01240544,0.01251369,0.01103591,0.01304256,0.01003261,0.01304253
119160,2023-01-20 10:55:52.233958,472968365,0,401,0.0025,0.0025,0.01239587,0.01251415,0.01103586,0.01304255,0.01003257,0.01304252
120827,2023-01-20 10:55:57.331699,478068356,0,409,0.0025,0.0025,0.01238017,0.01251539,0.01103578,0.01304248,0.01003257,0.01304252
122544,2023-01-20 10:56:02.411376,483168361,0,409,0.0025,0.0025,0.01236977,0.0125008,0.01103584,0.01304249,0.01003256,0.01304251
124211,2023-01-20 10:56:07.491567,488268372,0,409,0.0025,0.0025,0.0124035,0.01250366,0.01103583,0.01304248,0.01003255,0.01304251
125877,2023-01-20 10:56:12.591416,493368393,0,409,0.0025,0.0025,0.01237473,0.01249967,0.01103589,0.01304254,0.0100326,0.01304251
127598,2023-01-20 10:56:17.671802,498468338,0,410,0.0025,0.0025,0.01237543,0.01250463,0.01103582,0.01304253,0.01003256,0.0130425
129265,2023-01-20 10:56:22.771681,503568365,0,410,0.0025,0.0025,0.01233443,0.01249352,0.01103582,0.01304254,0.01003263,0.01304257
130936,2023-01-20 10:56:27.851438,508668358,0,411,0.0025,0.0025,0.01231928,0.01247593,0.01103586,0.01304259,0.01003258,0.01304255
132651,2023-01-20 10:56:32.951039,513768669,0,409,0.0025,0.0025,0.012403,0.01250642,0.01103591,0.01304257,0.01003263,0.01304254
134320,2023-01-20 10:56:38.031660,518868987,0,408,0.0025,0.0025,0.01244792,0.01251334,0.01103585,0.01304256,0.01103588,0.01304259
135986,2023-01-20 10:56:43.131690,523969021,0,408,0.0025,0.0025,0.01248551,0.0125134,0.01103585,0.01304261,0.01103586,0.01304259
137656,2023-01-20 10:56:48.228807,529068990,0,408,0.0025,0.0025,0.01248566,0.01251322,0.01103588,0.01304261,0.01103586,0.01304257
139374,2023-01-20 10:56:53.311658,534169000,0,408,0.0025,0.0025,0.0124857,0.01251329,0.01103588,0.01304259,0.01103587,0.01304256
141041,2023-01-20 10:56:58.391690,539268984,0,408,0.0025,0.0025,0.01248565,0.01251322,0.01103587,0.01304264,0.01103589,0.01304261
142675,2023-01-20 10:57:03.391707,544269002,0,400,0.0025,0.0025,0.01248559,0.01251319,0.01103591,0.01304264,0.01103593,0.01304265
144393,2023-01-20 10:57:08.471688,549368994,0,408,0.0025,0.0025,0.01248547,0.0125132,0.01103593,0.01304268,0.01103591,0.01304264
146027,2023-01-20 10:57:13.471696,554369010,0,400,0.0025,0.0025,0.01248571,0.01251297,0.01103593,0.01304266,0.01103595,0.01304268
147697,2023-01-20 10:57:18.551283,559469001,0,408,0.0025,0.0025,0.01248553,0.01251312,0.01103596,0.0130427,0.01103594,0.01304271
149364,2023-01-20 10:57:23.651280,564568989,0,408,0.0025,0.0025,0.01248551,0.01251315,0.01103596,0.01304273,0.01103596,0.01304271
151074,2023-01-20 10:57:28.731688,569668997,0,408,0.0025,0.0025,0.01248544,0.01251307,0.01103604,0.01304278,0.01103601,0.01304279
152735,2023-01-20 10:57:33.828845,574768986,0,408,0.0025,0.0025,0.01248555,0.01251317,0.01103605,0.0130428,0.01103603,0.01304279
154397,2023-01-20 10:57:38.911614,579868993,0,408,0.0025,0.0025,0.01248559,0.01251319,0.01103604,0.01304277,0.01103606,0.01304281
156062,2023-01-20 10:57:43.991770,584968984,0,408,0.0025,0.0025,0.01248551,0.01251319,0.01103605,0.01304282,0.01103608,0.01304283
157733,2023-01-20 10:57:49.091661,590068981,0,408,0.0025,0.0025,0.01248567,0.01251325,0.01103608,0.01304284,0.01103606,0.0130428
159447,2023-01-20 10:57:54.171710,595168999,0,408,0.0025,0.0025,0.01248545,0.01251332,0.01103606,0.01304285,0.01103607,0.01304284
161081,2023-01-20 10:57:59.171674,600169000,0,400,0.0025,0.0025,0.01248553,0.01251341,0.01103608,0.01304285,0.01103611,0.01304286
162751,2023-01-20 10:58:04.251378,605268988,0,408,0.0025,0.0025,0.01248586,0.01251343,0.01103606,0.01304279,0.01103606,0.01304283
164464,2023-01-20 10:58:09.351307,610368988,0,408,0.0025,0.0025,0.01248588,0.01251357,0.01103606,0.01304284,0.01103603,0.0130428
