LineNo,UTC_Approx,TimeUS,Instance,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res,RemPct
5985,2023-01-20 10:50:08.037276,128062231,0,15.57018,16.14553,7.924922,31.73467,0.5113207,0,0.07260023,99
6015,2023-01-20 10:50:08.137138,128162111,0,15.59273,16.15025,7.667541,31.94742,0.5146381,0,0.07271181,99
6050,2023-01-20 10:50:08.237152,128262121,0,15.56309,16.1418,7.937692,32.16795,0.5180702,0,0.07290593,99
6080,2023-01-20 10:50:08.337194,128362121,0,15.52853,16.13552,8.2978,32.39846,0.5216495,0,0.07315125,99
6113,2023-01-20 10:50:08.437210,128462113,0,15.55157,16.1403,8.029635,32.62151,0.5251184,0,0.07331964,99
6143,2023-01-20 10:50:08.537200,128562110,0,15.53473,16.1382,8.210965,32.8496,0.5286618,0,0.07349546,99
6179,2023-01-20 10:50:08.637197,128662114,0,15.53562,16.13916,8.195358,33.07727,0.5321988,0,0.073644,99
6211,2023-01-20 10:50:08.737286,128762212,0,15.5436,16.14025,8.088376,33.30207,0.535693,0,0.0737664,99
6245,2023-01-20 10:50:08.836937,128861832,0,15.52321,16.13328,8.249275,33.53045,0.5392381,0,0.07395444,99
6278,2023-01-20 10:50:08.937035,128961832,0,15.53651,16.13896,8.134347,33.75646,0.5427496,0,0.07406239,99
6311,2023-01-20 10:50:09.037111,129061832,0,15.56752,16.14315,7.776793,33.9725,0.5461128,0,0.07401849,99
6341,2023-01-20 10:50:09.137065,129161747,0,15.56122,16.13912,7.815103,34.18942,0.5494884,0,0.07394689,99
6376,2023-01-20 10:50:09.237124,129261849,0,15.54714,16.13794,7.98111,34.41136,0.5529389,0,0.07402474,99
6406,2023-01-20 10:50:09.336966,129361870,0,15.58348,16.14665,7.605678,34.62269,0.5562322,0,0.0740464,99
6439,2023-01-20 10:50:09.436671,129462142,0,15.61627,16.15234,7.232801,34.82417,0.5593785,0,0.07411681,99
6469,2023-01-20 10:50:09.535450,129562140,0,15.60652,16.1488,7.314528,35.02736,0.5625497,0,0.07413763,99
6505,2023-01-20 10:50:09.634721,129662208,0,15.59411,16.14617,7.447333,35.23428,0.5657765,0,0.07412896,99
