LineNo,UTC_Approx,TimeUS,chan,txp,rxp,rxdp,flags,ss,tf
58217,2023-01-20 10:52:47.639786,287987537,2,20918,372,0,6,0,8
58544,2023-01-20 10:52:48.642541,288990313,2,21002,373,0,6,0,8
58872,2023-01-20 10:52:49.644692,289992496,2,21085,374,0,6,0,8
59249,2023-01-20 10:52:50.647204,290995029,2,21170,375,0,6,0,8
59575,2023-01-20 10:52:51.645219,291997497,2,21253,376,0,6,0,8
59901,2023-01-20 10:52:52.632372,293000007,2,21336,377,0,6,0,8
60228,2023-01-20 10:52:53.637303,294005012,2,21420,378,0,6,0,8
60557,2023-01-20 10:52:54.639771,295007539,2,21503,379,0,6,0,8
60885,2023-01-20 10:52:55.642236,296010002,2,21587,380,0,6,0,8
61212,2023-01-20 10:52:56.644715,297012488,2,21670,381,0,6,0,8
61539,2023-01-20 10:52:57.647701,298015467,2,21754,382,0,6,0,8
61865,2023-01-20 10:52:58.649724,299017469,2,21837,383,0,6,0,8
62194,2023-01-20 10:52:59.652269,300020007,2,21921,384,0,6,0,8
62520,2023-01-20 10:53:00.654759,301022503,2,22008,385,0,6,0,8
62847,2023-01-20 10:53:01.657256,302024999,2,22092,386,0,6,0,8
63173,2023-01-20 10:53:02.640199,303027880,2,22175,387,0,6,0,8
63500,2023-01-20 10:53:03.642300,304029985,2,22259,388,0,6,0,8
63829,2023-01-20 10:53:04.645204,305032943,2,22342,389,0,6,0,8
64157,2023-01-20 10:53:05.647249,306035014,2,22426,390,0,6,0,8
64483,2023-01-20 10:53:06.649727,307037556,2,22509,391,0,6,0,8
64858,2023-01-20 10:53:07.652572,308040338,2,22592,392,0,6,0,8
65187,2023-01-20 10:53:08.654654,309042495,2,22678,393,0,6,0,8
65515,2023-01-20 10:53:09.657234,310045007,2,22761,394,0,6,0,8
65843,2023-01-20 10:53:10.659770,311047544,2,22846,395,0,6,0,8
66169,2023-01-20 10:53:11.642454,312050055,2,22929,396,0,6,0,8
66497,2023-01-20 10:53:12.644924,313052742,2,23013,397,0,6,0,8
66823,2023-01-20 10:53:13.647212,314054986,2,23096,398,0,6,0,8
67153,2023-01-20 10:53:14.647147,315055005,2,23180,399,0,6,0,8
67480,2023-01-20 10:53:15.649716,316057491,2,23263,400,0,6,0,8
67807,2023-01-20 10:53:16.652286,317060054,2,23347,401,0,6,0,8
68136,2023-01-20 10:53:17.654781,318062578,2,23430,402,0,6,0,8
68465,2023-01-20 10:53:18.657680,319065449,2,23514,403,0,6,0,8
68792,2023-01-20 10:53:19.659705,320067509,2,23597,404,0,6,0,8
69142,2023-01-20 10:53:20.662221,321069971,2,23682,405,0,6,0,8
69468,2023-01-20 10:53:21.644564,322072516,2,23765,406,0,6,0,8
69794,2023-01-20 10:53:22.646951,323074994,2,23848,407,0,6,0,8
70121,2023-01-20 10:53:23.649645,324077747,2,23932,408,0,6,0,8
70499,2023-01-20 10:53:24.651871,325079953,2,24015,409,0,6,0,8
70827,2023-01-20 10:53:25.654390,326082490,2,24099,410,0,6,0,8
