LineNo,UTC_Approx,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
6457,2023-01-20 10:50:09.442334,129467874,1505,1505,1538,1506,1505,1505,1054,1054,0,0,0,0,0,0
6489,2023-01-20 10:50:09.541176,129567936,1505,1505,1505,1505,1505,1506,1054,1054,0,0,0,0,0,0
6525,2023-01-20 10:50:09.640459,129667946,1505,1506,1505,1505,1505,1505,1055,1054,0,0,0,0,0,0
6555,2023-01-20 10:50:09.740435,129767923,1505,1505,1505,1506,1505,1505,1054,1054,0,0,0,0,0,0
6589,2023-01-20 10:50:09.840501,129867999,1505,1505,1505,1505,1505,1506,1054,1054,0,0,0,0,0,0
6620,2023-01-20 10:50:09.940418,129967938,1505,1506,1505,1505,1505,1505,1055,1054,0,0,0,0,0,0
6653,2023-01-20 10:50:10.040437,130067960,1505,1505,1505,1506,1505,1505,1054,1054,0,0,0,0,0,0
6685,2023-01-20 10:50:10.140531,130168029,1505,1505,1505,1505,1506,1505,1054,1054,0,0,0,0,0,0
6718,2023-01-20 10:50:10.240351,130267939,1505,1506,1505,1505,1505,1505,1055,1054,0,0,0,0,0,0
6748,2023-01-20 10:50:10.340187,130368033,1505,1505,1505,1506,1505,1505,1054,1055,0,0,0,0,0,0
6781,2023-01-20 10:50:10.439950,130467962,1505,1505,1505,1506,1505,1505,1054,1054,0,0,0,0,0,0
6813,2023-01-20 10:50:10.539942,130567981,1506,1505,1505,1505,1505,1506,1054,1054,0,0,0,0,0,0
6849,2023-01-20 10:50:10.639942,130668004,1505,1506,1505,1505,1505,1505,1055,1054,0,0,0,0,0,0
6879,2023-01-20 10:50:10.739891,130767971,1505,1505,1505,1506,1505,1505,1054,1054,0,0,0,0,0,0
6913,2023-01-20 10:50:10.839915,130868041,1505,1505,1505,1506,1505,1505,1054,1054,0,0,0,0,0,0
6943,2023-01-20 10:50:10.939772,130967987,1505,1505,1505,1505,1505,1506,1054,1054,0,0,0,0,0,0
6976,2023-01-20 10:50:11.039754,131067988,1505,1506,1505,1505,1505,1505,1055,1054,0,0,0,0,0,0
7008,2023-01-20 10:50:11.139914,131168061,1505,1505,1506,1505,1505,1505,1054,1054,0,0,0,0,0,0
7042,2023-01-20 10:50:11.239876,131267974,1505,1505,1505,1506,1505,1505,1054,1054,0,0,0,0,0,0
7072,2023-01-20 10:50:11.339882,131367987,1505,1505,1505,1505,1506,1505,1054,1054,0,0,0,0,0,0
7105,2023-01-20 10:50:11.439865,131467972,1506,1505,1505,1505,1505,1506,1054,1054,0,0,0,0,0,0
7136,2023-01-20 10:50:11.539876,131567977,1505,1506,1505,1505,1505,1505,1055,1054,0,0,0,0,0,0
7172,2023-01-20 10:50:11.639900,131667997,1505,1505,1505,1506,1505,1505,1054,1055,0,0,0,0,0,0
