LineNo,UTC_Approx,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
3904,2023-01-20 10:50:01.602368,121604488,0,-0.03152661,-0.0004740007,0.005293434,0.08031907,0.1653752,-9.691833,0,0,26.93462,1,1,7975,996
3905,2023-01-20 10:50:01.642701,121644820,0,0.01408056,0.1334213,0.0301796,0.3061536,0.4396649,-9.834123,0,0,26.93442,1,1,7975,996
3935,2023-01-20 10:50:01.682393,121684511,0,-0.06615186,0.007328104,-0.08078358,0.5605645,0.2205229,-10.10736,0,0,26.93499,1,1,7975,996
3937,2023-01-20 10:50:01.722369,121724487,0,0.04111425,0.0433299,-0.07763714,0.02987215,0.2599658,-9.77866,0,0,26.93547,1,1,7975,996
3943,2023-01-20 10:50:01.762508,121764625,0,-0.02615889,-0.02760037,0.0377434,0.09730709,0.009492142,-9.729016,0,0,26.936,1,1,7975,996
3969,2023-01-20 10:50:01.803916,121806035,0,-0.05851167,-0.01904321,0.1611005,-0.0433667,0.09236556,-10.16877,0,0,26.93659,1,1,7975,996
3971,2023-01-20 10:50:01.842365,121844513,0,0.02506816,0.09738205,0.1663507,-0.2081112,0.04749399,-10.08862,0,0,26.93652,1,1,7975,996
3999,2023-01-20 10:50:01.882310,121884488,0,0.08017062,0.04427881,0.1300405,-0.07995289,-0.02423057,-10.21803,0,0,26.93616,1,1,7975,996
4001,2023-01-20 10:50:01.922291,121924499,0,0.1194,-0.02595409,0.08650087,0.000835968,0.04557233,-10.85716,0,0,26.93632,1,1,7975,996
4008,2023-01-20 10:50:01.962384,121964622,0,0.1499406,0.03058547,0.05489685,0.02969014,-0.00987392,-11.43281,0,0,26.93688,1,1,7975,996
4034,2023-01-20 10:50:02.003777,122006041,0,0.1650082,0.1510875,0.03171903,-0.03273244,-0.02176453,-11.90819,0,0,26.9373,1,1,7975,996
4035,2023-01-20 10:50:02.042248,122044487,0,0.07676619,0.02826048,0.0513689,0.05752546,-0.09705167,-12.34174,0,0,26.93801,1,1,7975,996
4063,2023-01-20 10:50:02.082284,122084497,0,0.06978167,-0.05493179,0.05232039,0.07058889,0.02514252,-11.92898,0,0,26.939,1,1,7975,996
4065,2023-01-20 10:50:02.122364,122124550,0,0.1993933,-0.166691,0.01729577,0.1033469,0.1293117,-11.40304,0,0,26.94096,1,1,7975,996
4071,2023-01-20 10:50:02.162464,122164624,0,0.1444468,-0.1702286,-0.008459608,-0.02751354,-0.01917157,-10.8229,0,0,26.94324,1,1,7975,996
4099,2023-01-20 10:50:02.203881,122206016,0,0.01003871,-0.1625827,-0.006825991,-0.009733425,-0.1275583,-10.2736,0,0,26.94517,1,1,7975,996
