LineNo,UTC_Approx,TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,Q1,Q2,Q3,Q4
6715,2023-01-20 10:50:10.240286,130267873,-0.09,1.98,222.83,740.1,39.8043269,32.3787653,-0.3651435,-0.01585895,-0.007110961,0.930789
6745,2023-01-20 10:50:10.340119,130367965,-0.24,1.39,222.91,740.11,39.8043253,32.378764,-0.3658429,-0.01049689,-0.006463352,0.930595
6778,2023-01-20 10:50:10.439884,130467896,-0.04,1.41,222.84,740.14,39.8043251,32.3787626,-0.3652248,-0.01136434,-0.004858976,0.9308373
6810,2023-01-20 10:50:10.539872,130567911,0.33,2.36,222.68,740.05,39.8043237,32.3787613,-0.3638178,-0.02029614,-0.004812581,0.9312366
6846,2023-01-20 10:50:10.639867,130667929,0.66,5.16,222.53,740.15,39.804323,32.3787604,-0.3620874,-0.04404671,-0.01095155,0.9310385
6876,2023-01-20 10:50:10.739825,130767905,0.8,8.84,222.34,740.16,39.8043219,32.3787592,-0.3596255,-0.07440048,-0.02129796,0.929882
6910,2023-01-20 10:50:10.839849,130867975,0.55,11.34,222.08,740.12,39.8043199,32.378758,-0.3568961,-0.09398221,-0.03102604,0.9288864
6940,2023-01-20 10:50:10.939706,130967921,0.06,11.27,221.83,740.1,39.8043185,32.3787568,-0.3552454,-0.09198643,-0.03455843,0.9295939
6973,2023-01-20 10:50:11.039685,131067919,-0.13,9.43,221.35,740.17,39.8043174,32.3787558,-0.3520387,-0.07656603,-0.03011259,0.9323624
7005,2023-01-20 10:50:11.139847,131167994,-0.17,7.91,220.74,740.29,39.8043162,32.3787547,-0.3473859,-0.06416007,-0.02548314,0.9351776
7039,2023-01-20 10:50:11.239809,131267907,0.01,7.29,220.18,740.57,39.8043164,32.3787539,-0.3428797,-0.05980117,-0.021773,0.937221
7069,2023-01-20 10:50:11.339816,131367921,-0.42,6.87,219.68,740.49,39.8043156,32.3787529,-0.3390272,-0.05510418,-0.02385813,0.9388583
7102,2023-01-20 10:50:11.439795,131467902,-0.69,6.71,219.22,740.4,39.8043146,32.3787529,-0.3354642,-0.05309849,-0.02533678,0.940214
7133,2023-01-20 10:50:11.539809,131567910,-1.02,6.42,218.74,740.46,39.8043138,32.3787523,-0.3317054,-0.04985044,-0.027031,0.9416772
7169,2023-01-20 10:50:11.639834,131667931,-1.41,5.95,218.37,740.51,39.8043139,32.3787512,-0.3288108,-0.04497414,-0.02874258,0.9428864
7199,2023-01-20 10:50:11.739811,131767909,-1.04,5.29,218.36,740.32,39.8043133,32.3787506,-0.3286108,-0.04060552,-0.02375684,0.943293
7233,2023-01-20 10:50:11.839829,131867957,-1.26,5.14,218.52,740.38,39.8043133,32.3787501,-0.3300703,-0.03876233,-0.02521042,0.9428232
7263,2023-01-20 10:50:11.939701,131967904,-1.39,5.45,218.97,740.38,39.8043128,32.3787496,-0.3337931,-0.04078386,-0.02732566,0.9413672
7296,2023-01-20 10:50:12.039716,132067932,-1.59,5.54,219.78,740.48,39.804312,32.3787489,-0.3404451,-0.0407502,-0.02955711,0.9389158
7328,2023-01-20 10:50:12.139839,132167974,-1.77,5.39,220.86,740.5,39.8043115,32.3787482,-0.3493821,-0.03873074,-0.03090169,0.9356693
7361,2023-01-20 10:50:12.239812,132267899,-2.07,5.17,221.86,740.63,39.8043118,32.3787478,-0.3576004,-0.03569598,-0.03299993,0.9326086
7391,2023-01-20 10:50:12.339832,132367923,-2.61,4.8,222.24,740.53,39.8043114,32.3787473,-0.3608767,-0.03084632,-0.03635302,0.9313941
7424,2023-01-20 10:50:12.439792,132467888,-2.61,4.84,222.23,740.41,39.804312,32.3787469,-0.3608085,-0.0312395,-0.03649461,0.9314019
7456,2023-01-20 10:50:12.539804,132567907,-2.28,4.95,222.17,740.34,39.8043118,32.3787466,-0.360188,-0.03318598,-0.03412515,0.9316645
7492,2023-01-20 10:50:12.639825,132667929,-2.15,4.83,222.23,740.3,39.8043113,32.3787469,-0.3606904,-0.03254423,-0.03272326,0.9315431
7522,2023-01-20 10:50:12.739804,132767897,-1.93,4,222.35,740.29,39.804311,32.3787469,-0.3615633,-0.02651163,-0.02835429,0.9315391
7556,2023-01-20 10:50:12.839801,132867917,-1.38,3.49,221.89,740.54,39.8043113,32.3787467,-0.3576591,-0.0241695,-0.02223215,0.9332746
7587,2023-01-20 10:50:12.939726,132967916,-0.6,3.41,220.97,740.48,39.8043114,32.3787467,-0.3499872,-0.026063,-0.01536346,0.9362658
7620,2023-01-20 10:50:13.039712,133067917,-0.31,3.55,219.89,740.46,39.8043109,32.378747,-0.3411199,-0.02824765,-0.01320897,0.9395024
7652,2023-01-20 10:50:13.139846,133167976,-0.44,3.18,218.72,740.52,39.8043108,32.3787473,-0.331558,-0.02496527,-0.01284657,0.943017
7685,2023-01-20 10:50:13.239814,133267901,-0.75,2.83,217.41,740.43,39.8043112,32.3787464,-0.3208198,-0.02133339,-0.01421421,0.9467933
7715,2023-01-20 10:50:13.339827,133367917,-0.92,2.58,215.84,740.39,39.8043112,32.3787463,-0.3078408,-0.01894992,-0.01456731,0.9511376
7748,2023-01-20 10:50:13.439807,133467899,-1.02,2.7,214.15,740.46,39.8043107,32.3787465,-0.2937933,-0.01990198,-0.0154559,0.9555368
7780,2023-01-20 10:50:13.539815,133567906,-0.46,3.01,212.71,739.97,39.8043106,32.3787467,-0.281629,-0.0240779,-0.0113173,0.9591544
7816,2023-01-20 10:50:13.639841,133667933,0.14,3.13,211.71,739.68,39.8043108,32.3787466,-0.273159,-0.0266501,-0.006221657,0.9615796
7846,2023-01-20 10:50:13.739809,133767902,0.26,3.11,211.35,739.64,39.8043108,32.3787469,-0.2700858,-0.02674983,-0.005119517,0.962451
