LineNo,UTC_Approx,TimeUS,RDes,R,ROut,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut
4334,2023-01-20 10:50:02.964015,122966919,4.645374,-2.061605,0.08188468,-0.4930226,-4.114059,0.001673801,-13.28609,-0.5818443,-0.0482571,-35.18259,-40.56215,0.3189409
4367,2023-01-20 10:50:03.064036,123066950,11.18155,2.982636,0.03632239,5.324239,3.305511,-0.04030345,-12.85111,-3.532941,-0.04363246,-11.63786,-17.71927,0.3236534
4397,2023-01-20 10:50:03.164057,123166973,9.493176,11.71231,-0.007317116,3.652525,10.2652,-0.04361125,-11.58463,-3.478008,-0.0364569,-4.16848,-6.604767,0.3241479
4432,2023-01-20 10:50:03.263996,123266909,10.76236,3.299286,0.04166856,-3.367637,6.696362,-0.04926367,-10.44817,-1.127206,-0.03293502,7.980156,-2.803326,0.3317026
4462,2023-01-20 10:50:03.364016,123366924,8.043858,6.01099,0.03234733,-8.886918,4.026966,-0.06098713,-10.89226,2.702717,-0.0389695,15.83424,32.54557,0.3355753
4495,2023-01-20 10:50:03.464017,123466914,4.551867,3.959081,0.03409813,-6.671786,5.473161,-0.09167244,-12.37654,3.297677,-0.04896135,33.07791,27.01292,0.3326857
4527,2023-01-20 10:50:03.564015,123566899,0.9918592,4.162832,0.003974477,-5.175768,1.772277,-0.04556957,-14.88465,6.17707,-0.06086721,70.10474,17.7557,0.346473
4561,2023-01-20 10:50:03.664056,123666937,1.526662,4.53497,-0.02852589,-3.544724,-4.315001,-0.0009779669,-17.65229,5.536079,-0.0728417,119.2691,30.64127,0.3623449
4593,2023-01-20 10:50:03.764060,123766945,-0.5494671,-3.494895,0.04363874,-1.004139,9.146572,-0.08055364,-20.21559,5.081087,-0.08054601,153.9951,82.34348,0.3754779
4627,2023-01-20 10:50:03.864253,123866939,-1.969538,-9.003247,0.09188928,-0.2097521,2.701082,-0.04078411,-21.69636,3.598772,-0.08296915,147.976,111.4585,0.3759415
4659,2023-01-20 10:50:03.964611,123966986,-2.373672,-8.808356,0.06536962,-2.099177,-3.289013,0.01644647,-22.70994,0.04117892,-0.08455554,114.6094,93.20879,0.3741988
4692,2023-01-20 10:50:04.064728,124066949,-16.38977,-19.28713,0.07021645,-3.119673,-5.867983,0.02944033,-22.07997,-4.080375,-0.07763805,57.76374,95.95442,0.3621456
4722,2023-01-20 10:50:04.164809,124166963,-18.10555,-13.68887,-0.008475926,-4.861349,2.698875,-0.03383563,-19.95653,-5.350452,-0.06540535,1.197277,29.50354,0.3454078
4757,2023-01-20 10:50:04.264862,124266995,-16.7259,-14.06863,0.01791922,-7.356437,2.187248,-0.08299348,-17.8875,-6.180368,-0.05737005,-58.3033,17.9492,0.3314084
4787,2023-01-20 10:50:04.364812,124366949,-10.40257,-4.133372,-0.009291979,-3.398573,-4.366241,-0.05175055,-15.66655,-4.010338,-0.05201564,-79.15053,-21.22688,0.3142382
4820,2023-01-20 10:50:04.464756,124466921,6.454629,-1.156602,0.06051427,-0.8928899,-5.569367,0.005104155,-13.96088,-3.699059,-0.04799905,-45.3164,-44.39983,0.322841
4853,2023-01-20 10:50:04.564739,124566944,16.93258,6.746793,0.09821183,3.721998,0.7610297,-0.0173405,-11.97985,-4.164009,-0.04071948,-17.63667,-29.1584,0.3348403
4887,2023-01-20 10:50:04.664738,124666930,7.843489,11.73263,0.05265637,5.534984,2.367076,-0.009701584,-10.14054,-4.514616,-0.03555565,-2.55579,-13.85708,0.3427733
4919,2023-01-20 10:50:04.764798,124766947,-0.06520738,6.644958,0.0279361,5.549518,-4.839906,0.04289192,-7.246443,-8.255085,-0.02340599,14.78804,-8.199787,0.3463564
4953,2023-01-20 10:50:04.864840,124867005,-8.543372,2.990989,0.0144904,8.136374,-4.675642,0.0587845,-3.413248,-6.701157,-0.007736473,14.81131,18.73913,0.342203
4983,2023-01-20 10:50:04.964737,124966949,-6.221688,-10.18791,0.05146773,7.885427,-1.31364,0.04001759,-2.043518,1.402412,-0.01026981,16.6728,24.97463,0.3403223
5016,2023-01-20 10:50:05.064780,125066977,0.4037735,-4.974719,0.05037216,5.150877,-2.344069,0.03544771,-3.913683,7.604489,-0.02795322,5.642841,-8.094025,0.3351119
5046,2023-01-20 10:50:05.164806,125166955,5.269166,-7.436779,0.1067647,4.72468,-3.009787,0.02461123,-7.660949,10.28304,-0.04848273,4.242588,7.775116,0.3412255
5081,2023-01-20 10:50:05.264809,125266944,7.800217,1.655325,0.05624663,4.31446,-7.612501,0.08136145,-11.97868,9.800981,-0.06622276,-0.4702075,3.667355,0.3432392
5111,2023-01-20 10:50:05.365195,125367335,8.704473,1.690718,0.08273226,4.84301,1.288895,-0.005126915,-14.77224,3.648744,-0.07199833,-17.03406,2.986908,0.3366899
5144,2023-01-20 10:50:05.464821,125466954,4.720059,6.716319,0.03381268,1.664065,5.988727,-0.0259785,-15.92639,1.219889,-0.07024491,-38.10835,-19.04478,0.3284118
5176,2023-01-20 10:50:05.564836,125566955,3.179607,5.21412,0.01382716,-6.181498,0.4264996,-0.06177908,-14.6761,-4.74047,-0.05882972,-55.3847,-46.19465,0.3242799
5211,2023-01-20 10:50:05.664834,125666946,0.747277,1.271466,0.03309098,-7.08071,-11.07265,0.002779991,-12.1034,-7.147348,-0.04490767,-55.41029,-39.10847,0.3244507
5243,2023-01-20 10:50:05.765171,125767281,-1.432774,1.70528,0.03697572,-3.944812,-16.56049,0.06132655,-8.35343,-7.763674,-0.027856,-58.06483,-37.0265,0.3203767
5277,2023-01-20 10:50:05.859270,125867294,0.8471279,8.481569,-0.02523917,6.520886,-5.911514,0.01756933,-4.186899,-9.032439,-0.01180493,-76.91431,-40.54956,0.3092771
5307,2023-01-20 10:50:05.950184,125967282,-1.166442,4.782112,0.01359405,7.228823,2.604681,0.007341272,0.5169059,-10.83745,0.005464035,-75.92294,-49.49236,0.3093253
5340,2023-01-20 10:50:06.045247,126067301,-5.267632,-1.056402,0.04934664,7.749609,-7.15448,0.06668065,5.819228,-11.5442,0.02434301,-48.2523,-19.70472,0.3116298
5370,2023-01-20 10:50:06.144903,126166921,-10.10612,-0.1427508,0.02259706,7.262365,-1.179027,0.02177295,11.24732,-10.50859,0.04320741,-74.85594,-52.88305,0.3080536
5405,2023-01-20 10:50:06.244385,126266938,-14.09511,-5.8493,0.02481141,5.380092,-4.136025,0.03268533,15.72302,-7.094323,0.05478561,-58.28825,-47.62325,0.309185
5437,2023-01-20 10:50:06.343460,126367252,-15.97435,-4.962238,-0.02299921,5.289666,2.463659,-0.01235112,16.94131,2.434738,0.04832114,-61.69678,-36.20348,0.3049434
5470,2023-01-20 10:50:06.442416,126466920,-12.89582,-6.834818,0.001712709,3.798329,4.609997,-0.0471966,16.32532,7.221976,0.02760709,-67.83891,-49.18594,0.3010872
5502,2023-01-20 10:50:06.542415,126566931,-3.039769,-9.392656,0.007683713,-3.582887,-6.102499,0.009489337,14.15085,8.832925,0.01437504,-58.90553,-79.19626,0.3140203
5536,2023-01-20 10:50:06.642436,126666986,6.591618,1.569565,0.03337568,1.561114,-7.307506,0.03192744,10.57206,5.598065,0.009358023,-60.50385,-22.05534,0.3089844
5568,2023-01-20 10:50:06.742319,126766934,11.19402,11.67734,0.02119728,4.356237,-3.078622,0.0349215,8.279316,-1.396344,0.01299637,-91.91151,-45.95089,0.2929738
5602,2023-01-20 10:50:06.842273,126866963,10.06863,5.769016,0.07065429,13.82825,3.074135,0.04070942,8.148596,-5.703623,0.02347449,-95.39642,-62.6482,0.2901139
5632,2023-01-20 10:50:06.942180,126966959,1.700055,18.72603,-0.06214175,3.903133,5.063309,-0.0084749,10.86964,-10.43785,0.04054043,-72.39143,-88.29337,0.2962849
