LineNo,UTC_Approx,TimeUS,Id,Value
110487,2023-01-20 10:55:25.874799,446562554,7,4203896
110813,2023-01-20 10:55:26.874835,447562607,7,4203896
111139,2023-01-20 10:55:27.874704,448562561,7,4203896
111466,2023-01-20 10:55:28.874784,449562565,7,4203896
111793,2023-01-20 10:55:29.874677,450562524,7,4203896
112117,2023-01-20 10:55:30.874759,451562549,7,4203896
112440,2023-01-20 10:55:31.874763,452562544,7,4203896
112765,2023-01-20 10:55:32.874727,453562549,7,4203896
113093,2023-01-20 10:55:33.868044,454562554,7,4203896
113420,2023-01-20 10:55:34.854873,455562550,7,4203896
113745,2023-01-20 10:55:35.854843,456562560,7,4203896
114070,2023-01-20 10:55:36.854749,457562545,7,4203896
114443,2023-01-20 10:55:37.854739,458562547,7,4203896
114767,2023-01-20 10:55:38.854708,459562552,7,4203896
115096,2023-01-20 10:55:39.854820,460562601,7,4203896
115421,2023-01-20 10:55:40.854697,461562546,7,4203896
115746,2023-01-20 10:55:41.854758,462562595,7,4203896
116071,2023-01-20 10:55:42.854765,463562556,7,4203896
116402,2023-01-20 10:55:43.835300,464563266,7,4203896
116728,2023-01-20 10:55:44.835208,465563230,7,4203896
117053,2023-01-20 10:55:45.834531,466562973,7,4203896
117380,2023-01-20 10:55:46.832159,467562911,7,4203896
117707,2023-01-20 10:55:47.832520,468563510,7,4203896
118034,2023-01-20 10:55:48.832467,469563516,7,4203896
118362,2023-01-20 10:55:49.832525,470563884,7,4203896
118688,2023-01-20 10:55:50.832451,471563877,7,4203896
119015,2023-01-20 10:55:51.829412,472563904,7,4203896
119342,2023-01-20 10:55:52.829787,473563930,7,4203896
119669,2023-01-20 10:55:53.827481,474564214,7,4203896
119998,2023-01-20 10:55:54.827561,475564251,7,4203896
120325,2023-01-20 10:55:55.827442,476564141,7,4203896
120651,2023-01-20 10:55:56.826963,477563977,7,4203896
120979,2023-01-20 10:55:57.807048,478563899,7,4203896
121304,2023-01-20 10:55:58.807267,479563959,7,4203896
121680,2023-01-20 10:55:59.807182,480563875,7,4203896
122006,2023-01-20 10:56:00.807313,481563956,7,4203896
