LineNo,UTC_Approx,TimeUS,Active,NumPts,MaxPts,Action,N,E,D
25218,2023-01-20 10:51:06.760426,186908226,1,58,300,2,33.02254,157.8057,-29.60777
25219,2023-01-20 10:51:06.760439,186908239,1,58,300,2,33.48753,160.0322,-29.90697
25220,2023-01-20 10:51:06.760453,186908253,1,58,300,2,33.92004,162.2374,-30.2108
25221,2023-01-20 10:51:06.760466,186908266,1,58,300,2,34.34776,164.394,-30.51593
25222,2023-01-20 10:51:06.760479,186908279,1,58,300,2,34.89218,166.6115,-30.80716
25223,2023-01-20 10:51:06.760493,186908293,1,58,300,2,35.5696,168.8655,-31.06713
25224,2023-01-20 10:51:06.760506,186908306,1,58,300,2,36.21454,171.1516,-31.29977
25225,2023-01-20 10:51:06.760543,186908343,1,58,300,2,36.8482,173.4213,-31.51393
25226,2023-01-20 10:51:06.760556,186908356,1,58,300,2,37.48352,175.7095,-31.71356
25227,2023-01-20 10:51:06.760569,186908369,1,58,300,2,38.15683,177.9799,-31.90755
25228,2023-01-20 10:51:06.760583,186908383,1,58,300,2,38.79656,180.2656,-32.12111
25229,2023-01-20 10:51:06.760596,186908396,1,58,300,2,39.34084,182.5165,-32.34411
25230,2023-01-20 10:51:06.760609,186908409,1,58,300,2,39.85831,184.7659,-32.54395
25231,2023-01-20 10:51:06.760623,186908423,1,58,300,2,40.39109,187.0673,-32.73857
25232,2023-01-20 10:51:06.760636,186908436,1,58,300,2,40.97409,189.3741,-32.96841
25233,2023-01-20 10:51:06.760653,186908453,1,58,300,2,41.608,191.6857,-33.21413
25234,2023-01-20 10:51:06.760665,186908466,1,58,300,2,42.21338,193.9811,-33.47657
25235,2023-01-20 10:51:06.760679,186908480,1,58,300,2,42.88158,196.2778,-33.72929
25236,2023-01-20 10:51:06.760693,186908493,1,58,300,2,43.58411,198.5397,-33.95083
25237,2023-01-20 10:51:06.760705,186908506,1,58,300,2,44.23463,200.8222,-34.15344
25337,2023-01-20 10:51:07.089900,187237533,1,10,300,0,45.25637,205.3456,-34.57764
25464,2023-01-20 10:51:07.424765,187569947,1,11,300,0,45.82704,207.5492,-34.83176
25563,2023-01-20 10:51:07.761143,187904969,1,12,300,0,46.41806,209.7819,-35.13986
25663,2023-01-20 10:51:08.089782,188237504,1,13,300,0,46.96197,211.9485,-35.46345
25790,2023-01-20 10:51:08.422266,188570012,1,14,300,0,47.49321,214.1308,-35.7501
25889,2023-01-20 10:51:08.757123,188904971,1,15,300,0,48.07868,216.3902,-35.99264
