LineNo,UTC_Approx,TimeUS,Vcc,VServo,Flags,AccFlags,Safety,MTemp,MVolt,MVmin,MVmax
7183,2023-01-20 10:50:11.734381,131762479,0,0,4,4,6,0,0,0,0
7217,2023-01-20 10:50:11.834354,131862478,0,0,4,4,6,0,0,0,0
7247,2023-01-20 10:50:11.934292,131962491,0,0,4,4,6,0,0,0,0
7280,2023-01-20 10:50:12.034317,132062537,0,0,4,4,6,0,0,0,0
7310,2023-01-20 10:50:12.134337,132162476,0,0,4,4,6,0,0,0,0
7345,2023-01-20 10:50:12.234383,132262470,0,0,4,4,6,0,0,0,0
7375,2023-01-20 10:50:12.334358,132362449,0,0,4,4,6,0,0,0,0
7408,2023-01-20 10:50:12.434365,132462460,0,0,4,4,6,0,0,0,0
7438,2023-01-20 10:50:12.534359,132562462,0,0,4,4,6,0,0,0,0
7474,2023-01-20 10:50:12.634354,132662458,0,0,4,4,6,0,0,0,0
7506,2023-01-20 10:50:12.734375,132762469,0,0,4,4,6,0,0,0,0
7540,2023-01-20 10:50:12.834387,132862499,0,0,4,4,6,0,0,0,0
7570,2023-01-20 10:50:12.934296,132962482,0,0,4,4,6,0,0,0,0
7604,2023-01-20 10:50:13.034313,133062522,0,0,4,4,6,0,0,0,0
7634,2023-01-20 10:50:13.134346,133162481,0,0,4,4,6,0,0,0,0
7669,2023-01-20 10:50:13.234386,133262473,0,0,4,4,6,0,0,0,0
7699,2023-01-20 10:50:13.334355,133362445,0,0,4,4,6,0,0,0,0
7732,2023-01-20 10:50:13.434390,133462482,0,0,4,4,6,0,0,0,0
7762,2023-01-20 10:50:13.534394,133562485,0,0,4,4,6,0,0,0,0
7798,2023-01-20 10:50:13.634387,133662479,0,0,4,4,6,0,0,0,0
7830,2023-01-20 10:50:13.734384,133762477,0,0,4,4,6,0,0,0,0
7864,2023-01-20 10:50:13.834371,133862494,0,0,4,4,6,0,0,0,0
7896,2023-01-20 10:50:13.934267,133962472,0,0,4,4,6,0,0,0,0
7929,2023-01-20 10:50:14.034281,134062516,0,0,4,4,6,0,0,0,0
7959,2023-01-20 10:50:14.134303,134162464,0,0,4,4,6,0,0,0,0
7994,2023-01-20 10:50:14.234346,134262456,0,0,4,4,6,0,0,0,0
8024,2023-01-20 10:50:14.334365,134362468,0,0,4,4,6,0,0,0,0
8057,2023-01-20 10:50:14.434397,134462495,0,0,4,4,6,0,0,0,0
8087,2023-01-20 10:50:14.534376,134562474,0,0,4,4,6,0,0,0,0
8124,2023-01-20 10:50:14.634386,134662484,0,0,4,4,6,0,0,0,0
8156,2023-01-20 10:50:14.734389,134762487,0,0,4,4,6,0,0,0,0
8190,2023-01-20 10:50:14.834354,134862481,0,0,4,4,6,0,0,0,0
8220,2023-01-20 10:50:14.934247,134962458,0,0,4,4,6,0,0,0,0
8253,2023-01-20 10:50:15.034270,135062514,0,0,4,4,6,0,0,0,0
8283,2023-01-20 10:50:15.134277,135162456,0,0,4,4,6,0,0,0,0
8318,2023-01-20 10:50:15.234341,135262470,0,0,4,4,6,0,0,0,0
8348,2023-01-20 10:50:15.334356,135362465,0,0,4,4,6,0,0,0,0
8381,2023-01-20 10:50:15.434374,135462471,0,0,4,4,6,0,0,0,0
8411,2023-01-20 10:50:15.534382,135562482,0,0,4,4,6,0,0,0,0
8447,2023-01-20 10:50:15.634379,135662480,0,0,4,4,6,0,0,0,0
8479,2023-01-20 10:50:15.734368,135762467,0,0,4,4,6,0,0,0,0
8513,2023-01-20 10:50:15.834372,135862480,0,0,4,4,6,0,0,0,0
8543,2023-01-20 10:50:15.934339,135962478,0,0,4,4,6,0,0,0,0
8576,2023-01-20 10:50:16.034355,136062503,0,0,4,4,6,0,0,0,0
8606,2023-01-20 10:50:16.134357,136162474,0,0,4,4,6,0,0,0,0
8641,2023-01-20 10:50:16.234348,136262464,0,0,4,4,6,0,0,0,0
8671,2023-01-20 10:50:16.334293,136362463,0,0,4,4,6,0,0,0,0
8704,2023-01-20 10:50:16.434327,136462513,0,0,4,4,6,0,0,0,0
8734,2023-01-20 10:50:16.534333,136562461,0,0,4,4,6,0,0,0,0
8770,2023-01-20 10:50:16.634386,136662477,0,0,4,4,6,0,0,0,0
8802,2023-01-20 10:50:16.734387,136762480,0,0,4,4,6,0,0,0,0
8836,2023-01-20 10:50:16.834389,136862492,0,0,4,4,6,0,0,0,0
8866,2023-01-20 10:50:16.934341,136962468,0,0,4,4,6,0,0,0,0
8899,2023-01-20 10:50:17.034367,137062499,0,0,4,4,6,0,0,0,0
8929,2023-01-20 10:50:17.134423,137162527,0,0,4,4,6,0,0,0,0
8964,2023-01-20 10:50:17.234373,137262461,0,0,4,4,6,0,0,0,0
8994,2023-01-20 10:50:17.334358,137362454,0,0,4,4,6,0,0,0,0
9027,2023-01-20 10:50:17.434377,137462475,0,0,4,4,6,0,0,0,0
9057,2023-01-20 10:50:17.534411,137562498,0,0,4,4,6,0,0,0,0
9093,2023-01-20 10:50:17.634400,137662480,0,0,4,4,6,0,0,0,0
9125,2023-01-20 10:50:17.734402,137762483,0,0,4,4,6,0,0,0,0
9159,2023-01-20 10:50:17.831342,137862489,0,0,4,4,6,0,0,0,0
9189,2023-01-20 10:50:17.922427,137962481,0,0,4,4,6,0,0,0,0
9222,2023-01-20 10:50:18.016437,138062474,0,0,4,4,6,0,0,0,0
9253,2023-01-20 10:50:18.127217,138162457,0,0,4,4,6,0,0,0,0
9288,2023-01-20 10:50:18.234390,138262522,0,0,4,4,6,0,0,0,0
9318,2023-01-20 10:50:18.334374,138362466,0,0,4,4,6,0,0,0,0
9351,2023-01-20 10:50:18.431348,138462474,0,0,4,4,6,0,0,0,0
9381,2023-01-20 10:50:18.522456,138562480,0,0,4,4,6,0,0,0,0
9417,2023-01-20 10:50:18.614875,138662477,0,0,4,4,6,0,0,0,0
9449,2023-01-20 10:50:18.714827,138762463,0,0,4,4,6,0,0,0,0
9483,2023-01-20 10:50:18.814797,138862467,0,0,4,4,6,0,0,0,0
9515,2023-01-20 10:50:18.914784,138962490,0,0,4,4,6,0,0,0,0
9548,2023-01-20 10:50:19.014757,139062489,0,0,4,4,6,0,0,0,0
9578,2023-01-20 10:50:19.114780,139162476,0,0,4,4,6,0,0,0,0
9613,2023-01-20 10:50:19.214794,139262464,0,0,4,4,6,0,0,0,0
9643,2023-01-20 10:50:19.314799,139362494,0,0,4,4,6,0,0,0,0
9676,2023-01-20 10:50:19.414749,139462474,0,0,4,4,6,0,0,0,0
9706,2023-01-20 10:50:19.514673,139562451,0,0,4,4,6,0,0,0,0
9742,2023-01-20 10:50:19.614641,139662465,0,0,4,4,6,0,0,0,0
9774,2023-01-20 10:50:19.714636,139762462,0,0,4,4,6,0,0,0,0
9808,2023-01-20 10:50:19.814633,139862464,0,0,4,4,6,0,0,0,0
9838,2023-01-20 10:50:19.914659,139962506,0,0,4,4,6,0,0,0,0
9871,2023-01-20 10:50:20.014616,140062476,0,0,4,4,6,0,0,0,0
9901,2023-01-20 10:50:20.114621,140162472,0,0,4,4,6,0,0,0,0
9936,2023-01-20 10:50:20.214660,140262493,0,0,4,4,6,0,0,0,0
9969,2023-01-20 10:50:20.314712,140362480,0,0,4,4,6,0,0,0,0
10002,2023-01-20 10:50:20.414789,140462504,0,0,4,4,6,0,0,0,0
10032,2023-01-20 10:50:20.514742,140562461,0,0,4,4,6,0,0,0,0
10068,2023-01-20 10:50:20.614741,140662458,0,0,4,4,6,0,0,0,0
10100,2023-01-20 10:50:20.714780,140762459,0,0,4,4,6,0,0,0,0
10134,2023-01-20 10:50:20.814798,140862463,0,0,4,4,6,0,0,0,0
10164,2023-01-20 10:50:20.914659,140962442,0,0,4,4,6,0,0,0,0
10197,2023-01-20 10:50:21.014609,141062486,0,0,4,4,6,0,0,0,0
10227,2023-01-20 10:50:21.114619,141162440,0,0,4,4,6,0,0,0,0
10262,2023-01-20 10:50:21.214670,141262448,0,0,4,4,6,0,0,0,0
