LineNo,UTC_Approx,TimeUS,chan,txp,rxp,rxdp,flags,ss,tf
54114,2023-01-20 11:11:25.219473,319814116,2,22930,415,0,6,0,0
54443,2023-01-20 11:11:26.221888,320816562,2,23014,416,0,6,0,0
54770,2023-01-20 11:11:27.224764,321819398,2,23098,417,0,6,0,0
55096,2023-01-20 11:11:28.226875,322821540,2,23184,418,0,6,0,0
55423,2023-01-20 11:11:29.229411,323824050,2,23268,419,0,6,0,0
55750,2023-01-20 11:11:30.231933,324826566,2,23351,420,0,6,0,0
56079,2023-01-20 11:11:31.214882,325829056,2,23435,421,0,6,0,0
56406,2023-01-20 11:11:32.217723,326832083,2,23518,422,0,6,0,0
56781,2023-01-20 11:11:33.219711,327834073,2,23601,423,0,6,0,0
57108,2023-01-20 11:11:34.222186,328836589,2,23685,424,0,6,0,0
57434,2023-01-20 11:11:35.224694,329839062,2,23768,425,0,6,0,0
57763,2023-01-20 11:11:36.227212,330841576,2,23853,426,0,6,0,0
58090,2023-01-20 11:11:37.232182,331846558,2,23936,427,0,6,0,0
58417,2023-01-20 11:11:38.234686,332849065,2,24020,428,0,6,0,0
58743,2023-01-20 11:11:39.237185,333851572,2,24103,429,0,6,0,0
59071,2023-01-20 11:11:40.236193,334854126,2,24187,430,0,6,0,0
59400,2023-01-20 11:11:41.223513,335857758,2,24270,431,0,6,0,0
59727,2023-01-20 11:11:42.227886,336859474,2,24354,432,0,6,0,0
60053,2023-01-20 11:11:43.227221,337861607,2,24439,433,0,6,0,0
60380,2023-01-20 11:11:44.229684,338864067,2,24525,434,0,6,0,0
60704,2023-01-20 11:11:45.232209,339866606,2,24608,435,0,6,0,0
61029,2023-01-20 11:11:46.235027,340869394,2,24692,436,0,6,0,0
61357,2023-01-20 11:11:47.237169,341871555,2,24778,437,0,6,0,0
61682,2023-01-20 11:11:48.239766,342874143,2,24862,438,0,6,0,0
62007,2023-01-20 11:11:49.242190,343876564,2,24945,439,0,6,0,0
62332,2023-01-20 11:11:50.240649,344879039,2,25028,440,0,6,0,0
62661,2023-01-20 11:11:51.227624,345881811,2,25112,441,0,6,0,0
62987,2023-01-20 11:11:52.229665,346884042,2,25195,442,0,6,0,0
63312,2023-01-20 11:11:53.232238,347886620,2,25278,443,0,6,0,0
63639,2023-01-20 11:11:54.234659,348889041,2,25364,444,0,6,0,0
63962,2023-01-20 11:11:55.237179,349891573,2,25447,445,0,6,0,0
64291,2023-01-20 11:11:56.240098,350894468,2,25531,446,0,6,0,0
64620,2023-01-20 11:11:57.242292,351896686,2,25615,447,0,6,0,0
64971,2023-01-20 11:11:58.244690,352899053,2,25703,448,0,6,0,0
65295,2023-01-20 11:11:59.242932,353901554,2,25786,449,0,6,0,0
65666,2023-01-20 11:12:00.229695,354904035,2,25869,450,0,6,0,0
65994,2023-01-20 11:12:01.232582,355906927,2,25953,451,0,6,0,0
66321,2023-01-20 11:12:02.234673,356909015,2,26036,452,0,6,0,0
66648,2023-01-20 11:12:03.237202,357911570,2,26119,453,0,6,0,0
66975,2023-01-20 11:12:04.239719,358914071,2,26203,454,0,6,0,0
67301,2023-01-20 11:12:05.242196,359916559,2,26286,455,0,6,0,0
67630,2023-01-20 11:12:06.244997,360919367,2,26371,456,0,6,0,0
67956,2023-01-20 11:12:07.247180,361921539,2,26457,457,0,6,0,0
68284,2023-01-20 11:12:08.249685,362924052,2,26541,458,0,6,0,0
68610,2023-01-20 11:12:09.252224,363926578,2,26624,459,0,6,0,0
68938,2023-01-20 11:12:10.234542,364929059,2,26708,460,0,6,0,0
69266,2023-01-20 11:12:11.237503,365932086,2,26791,461,0,6,0,0
69593,2023-01-20 11:12:12.239477,366934085,2,26876,462,0,6,0,0
69923,2023-01-20 11:12:13.241998,367936591,2,26961,463,0,6,0,0
70250,2023-01-20 11:12:14.244462,368939064,2,27045,464,0,6,0,0
70575,2023-01-20 11:12:15.246948,369941545,2,27128,465,0,6,0,0
70904,2023-01-20 11:12:16.252015,370946609,2,27213,466,0,6,0,0
71279,2023-01-20 11:12:17.254440,371949039,2,27296,467,0,6,0,0
71606,2023-01-20 11:12:18.256947,372951542,2,27379,468,0,6,0,0
71933,2023-01-20 11:12:19.239896,373954090,2,27463,469,0,6,0,0
72260,2023-01-20 11:12:20.242508,374956808,2,27546,470,0,6,0,0
72589,2023-01-20 11:12:21.245210,375959491,2,27630,471,0,6,0,0
72915,2023-01-20 11:12:22.247271,376961632,2,27718,472,0,6,0,0
73243,2023-01-20 11:12:23.249703,377964062,2,27806,473,0,6,0,0
73569,2023-01-20 11:12:24.252234,378966595,2,27889,474,0,6,0,0
73896,2023-01-20 11:12:25.255028,379969385,2,27973,475,0,6,0,0
74224,2023-01-20 11:12:26.257205,380971591,2,28057,476,0,6,0,0
74551,2023-01-20 11:12:27.259781,381974143,2,28141,477,0,6,0,0
74879,2023-01-20 11:12:28.242424,382976571,2,28224,478,0,6,0,0
75206,2023-01-20 11:12:29.258830,383979058,2,28308,479,0,6,0,0
75533,2023-01-20 11:12:30.247414,384981814,2,28391,480,0,6,0,0
75862,2023-01-20 11:12:31.249669,385984034,2,28475,481,0,6,0,0
76188,2023-01-20 11:12:32.252162,386986562,2,28558,482,0,6,0,0
76514,2023-01-20 11:12:33.254684,387989045,2,28641,483,0,6,0,0
76890,2023-01-20 11:12:34.257152,388991560,2,28725,484,0,6,0,0
77219,2023-01-20 11:12:35.260097,389994462,2,28808,485,0,6,0,0
77550,2023-01-20 11:12:36.262320,390996692,2,28893,486,0,6,0,0
77898,2023-01-20 11:12:37.264641,391999034,2,28976,487,0,6,0,0
78226,2023-01-20 11:12:38.247346,393001572,2,29060,488,0,6,0,0
78552,2023-01-20 11:12:39.249784,394004054,2,29143,489,0,6,0,0
78880,2023-01-20 11:12:40.252509,395006875,2,29227,490,0,6,0,0
79208,2023-01-20 11:12:41.254674,396009053,2,29310,491,0,6,0,0
79535,2023-01-20 11:12:42.257183,397011553,2,29394,492,0,6,0,0
79862,2023-01-20 11:12:43.259693,398014074,2,29477,493,0,6,0,0
80192,2023-01-20 11:12:44.262182,399016551,2,29563,494,0,6,0,0
80518,2023-01-20 11:12:45.265006,400019384,2,29646,495,0,6,0,0
80846,2023-01-20 11:12:46.267153,401021523,2,29733,496,0,6,0,0
81173,2023-01-20 11:12:47.269686,402024041,2,29817,497,0,6,0,0
81500,2023-01-20 11:12:48.252268,403026580,2,29900,498,0,6,0,0
81826,2023-01-20 11:12:49.254720,404029049,2,29984,499,0,6,0,0
82202,2023-01-20 11:12:50.257664,405032027,2,30067,500,0,6,0,0
82531,2023-01-20 11:12:51.259682,406034062,2,30151,501,0,6,0,0
