LineNo,UTC_Approx,TimeUS,Id,Value
79543,2023-01-20 11:12:42.340118,397094478,7,4203896
79870,2023-01-20 11:12:43.340042,398094430,7,4203896
80199,2023-01-20 11:12:44.340129,399094483,7,4203896
80525,2023-01-20 11:12:45.340047,400094437,7,4203896
80852,2023-01-20 11:12:46.340065,401094431,7,4203896
81179,2023-01-20 11:12:47.340077,402094433,7,4203896
81506,2023-01-20 11:12:48.320117,403094427,7,4203896
81833,2023-01-20 11:12:49.320087,404094443,7,4203896
82209,2023-01-20 11:12:50.320090,405094444,7,4203896
82538,2023-01-20 11:12:51.320064,406094436,7,4203896
82864,2023-01-20 11:12:52.320063,407094423,7,4203896
83192,2023-01-20 11:12:53.320082,408094448,7,4203896
83518,2023-01-20 11:12:54.320068,409094430,7,4203896
83845,2023-01-20 11:12:55.320073,410094443,7,4203896
84173,2023-01-20 11:12:56.320103,411094443,7,4203896
84500,2023-01-20 11:12:57.300019,412094493,7,4203896
84826,2023-01-20 11:12:58.299942,413094437,7,4203896
85153,2023-01-20 11:12:59.299898,414094498,7,4203896
85480,2023-01-20 11:13:00.299833,415094429,7,4203896
85808,2023-01-20 11:13:01.299792,416094435,7,4203896
86135,2023-01-20 11:13:02.299824,417094425,7,4203896
86461,2023-01-20 11:13:03.299794,418094431,7,4203896
86788,2023-01-20 11:13:04.299860,419094447,7,4203896
87114,2023-01-20 11:13:05.299816,420094438,7,4203896
87443,2023-01-20 11:13:06.299840,421094436,7,4203896
87818,2023-01-20 11:13:07.280257,422094439,7,4203896
88145,2023-01-20 11:13:08.280202,423094436,7,4203896
88471,2023-01-20 11:13:09.280061,424094431,7,4203896
88799,2023-01-20 11:13:10.280069,425094436,7,4203896
89127,2023-01-20 11:13:11.280065,426094424,7,4203896
89454,2023-01-20 11:13:12.280102,427094482,7,4203896
89780,2023-01-20 11:13:13.280078,428094436,7,4203896
90107,2023-01-20 11:13:14.280100,429094479,7,4203896
90435,2023-01-20 11:13:15.280057,430094423,7,4203896
90763,2023-01-20 11:13:16.272866,431094416,7,4203896
91090,2023-01-20 11:13:17.260189,432094433,7,4203896
91416,2023-01-20 11:13:18.260064,433094455,7,4203896
91744,2023-01-20 11:13:19.260083,434094446,7,4203896
92070,2023-01-20 11:13:20.260050,435094439,7,4203896
92399,2023-01-20 11:13:21.260053,436094426,7,4203896
92725,2023-01-20 11:13:22.260052,437094435,7,4203896
93052,2023-01-20 11:13:23.260066,438094437,7,4203896
93428,2023-01-20 11:13:24.260050,439094431,7,4203896
93755,2023-01-20 11:13:25.260070,440094436,7,4203896
94083,2023-01-20 11:13:26.260026,441094433,7,4203896
94410,2023-01-20 11:13:27.240283,442094467,7,4203896
94736,2023-01-20 11:13:28.240054,443094421,7,4203896
95063,2023-01-20 11:13:29.240118,444094482,7,4203896
95391,2023-01-20 11:13:30.240088,445094456,7,4203896
95719,2023-01-20 11:13:31.240074,446094449,7,4203896
96045,2023-01-20 11:13:32.240041,447094444,7,4203896
96370,2023-01-20 11:13:33.240077,448094445,7,4203896
96697,2023-01-20 11:13:34.240038,449094443,7,4203896
97024,2023-01-20 11:13:35.240068,450094437,7,4203896
97350,2023-01-20 11:13:36.220252,451094437,7,4203896
97674,2023-01-20 11:13:37.220179,452094428,7,4203896
97998,2023-01-20 11:13:38.220042,453094433,7,4203896
98326,2023-01-20 11:13:39.220084,454094445,7,4203896
98651,2023-01-20 11:13:40.220047,455094455,7,4203896
98979,2023-01-20 11:13:41.220076,456094447,7,4203896
99303,2023-01-20 11:13:42.220122,457094508,7,4203896
99628,2023-01-20 11:13:43.220079,458094460,7,4203896
99954,2023-01-20 11:13:44.220131,459094489,7,4203896
100277,2023-01-20 11:13:45.218311,460094491,7,4203896
100608,2023-01-20 11:13:46.200127,461094604,7,4203896
100932,2023-01-20 11:13:47.200130,462094572,7,4203896
101256,2023-01-20 11:13:48.200139,463094763,7,4203896
101586,2023-01-20 11:13:49.200127,464094738,7,4203896
101912,2023-01-20 11:13:50.200127,465094743,7,4203896
102283,2023-01-20 11:13:51.200126,466094748,7,4203896
102610,2023-01-20 11:13:52.200127,467094734,7,4203896
102936,2023-01-20 11:13:53.200127,468094763,7,4203896
103262,2023-01-20 11:13:54.200145,469094755,7,4203896
103588,2023-01-20 11:13:55.182207,470094670,7,4203896
103916,2023-01-20 11:13:56.180563,471094708,7,4203896
104242,2023-01-20 11:13:57.180203,472094560,7,4203896
104568,2023-01-20 11:13:58.180093,473094455,7,4203896
104895,2023-01-20 11:13:59.180151,474094498,7,4203896
105223,2023-01-20 11:14:00.180092,475094453,7,4203896
105552,2023-01-20 11:14:01.180096,476094455,7,4203896
105878,2023-01-20 11:14:02.180103,477094463,7,4203896
106205,2023-01-20 11:14:03.177868,478094452,7,4203896
106531,2023-01-20 11:14:04.180106,479094467,7,4203896
106859,2023-01-20 11:14:05.160286,480094470,7,4203896
107187,2023-01-20 11:14:06.160122,481094476,7,4203896
107512,2023-01-20 11:14:07.160056,482094466,7,4203896
107888,2023-01-20 11:14:08.160069,483094443,7,4203896
108214,2023-01-20 11:14:09.160039,484094455,7,4203896
108543,2023-01-20 11:14:10.160092,485094456,7,4203896
108871,2023-01-20 11:14:11.160045,486094451,7,4203896
109198,2023-01-20 11:14:12.160120,487094497,7,4203896
109524,2023-01-20 11:14:13.160058,488094443,7,4203896
109851,2023-01-20 11:14:14.160122,489094488,7,4203896
110178,2023-01-20 11:14:15.140139,490094451,7,4203896
110507,2023-01-20 11:14:16.140088,491094443,7,4203896
110835,2023-01-20 11:14:17.140098,492094457,7,4203896
111162,2023-01-20 11:14:18.140100,493094461,7,4203896
111488,2023-01-20 11:14:19.140094,494094461,7,4203896
111816,2023-01-20 11:14:20.140095,495094463,7,4203896
112144,2023-01-20 11:14:21.140080,496094458,7,4203896
112470,2023-01-20 11:14:22.140101,497094451,7,4203896
112797,2023-01-20 11:14:23.140111,498094459,7,4203896
113123,2023-01-20 11:14:24.120290,499094449,7,4203896
113500,2023-01-20 11:14:25.120161,500094464,7,4203896
113828,2023-01-20 11:14:26.120237,501094471,7,4203896
114155,2023-01-20 11:14:27.120115,502094500,7,4203896
114481,2023-01-20 11:14:28.120091,503094461,7,4203896
114808,2023-01-20 11:14:29.120113,504094493,7,4203896
115136,2023-01-20 11:14:30.120074,505094450,7,4203896
115464,2023-01-20 11:14:31.120080,506094455,7,4203896
115790,2023-01-20 11:14:32.120088,507094462,7,4203896
116117,2023-01-20 11:14:33.099993,508094455,7,4203896
116443,2023-01-20 11:14:34.109118,509094448,7,4203896
116770,2023-01-20 11:14:35.099904,510094458,7,4203896
117099,2023-01-20 11:14:36.099857,511094460,7,4203896
117425,2023-01-20 11:14:37.099801,512094443,7,4203896
117752,2023-01-20 11:14:38.099814,513094458,7,4203896
118078,2023-01-20 11:14:39.099818,514094456,7,4203896
118407,2023-01-20 11:14:40.099809,515094455,7,4203896
118784,2023-01-20 11:14:41.099821,516094469,7,4203896
119111,2023-01-20 11:14:42.099865,517094503,7,4203896
119437,2023-01-20 11:14:43.088984,518094453,7,4203896
119764,2023-01-20 11:14:44.080215,519094499,7,4203896
120089,2023-01-20 11:14:45.080092,520094453,7,4203896
120419,2023-01-20 11:14:46.080089,521094458,7,4203896
120745,2023-01-20 11:14:47.080094,522094453,7,4203896
121074,2023-01-20 11:14:48.080081,523094451,7,4203896
121400,2023-01-20 11:14:49.080093,524094451,7,4203896
121727,2023-01-20 11:14:50.080078,525094444,7,4203896
122057,2023-01-20 11:14:51.080114,526094471,7,4203896
122383,2023-01-20 11:14:52.080082,527094458,7,4203896
122710,2023-01-20 11:14:53.066942,528094455,7,4203896
123036,2023-01-20 11:14:54.060223,529094439,7,4203896
123362,2023-01-20 11:14:55.060132,530094458,7,4203896
123691,2023-01-20 11:14:56.060041,531094451,7,4203896
124018,2023-01-20 11:14:57.060111,532094490,7,4203896
124393,2023-01-20 11:14:58.060028,533094438,7,4203896
124720,2023-01-20 11:14:59.060117,534094494,7,4203896
125047,2023-01-20 11:15:00.054585,535094447,7,4203896
