LineNo,UTC_Approx,TimeUS,C,Q1,Q2,Q3,Q4
226608,2023-01-20 11:20:07.721686,843396074,0,0.9534881,0.04617246,-0.1507865,0.2568896
226642,2023-01-20 11:20:07.819751,843496100,0,0.9533044,0.04364274,-0.1510852,0.257836
226672,2023-01-20 11:20:07.910615,843596080,0,0.9531186,0.04226831,-0.1507419,0.2589503
226705,2023-01-20 11:20:08.001647,843696081,0,0.9533716,0.0440634,-0.1478279,0.2593994
226738,2023-01-20 11:20:08.101619,843796082,0,0.9535269,0.04624179,-0.143099,0.2610955
226772,2023-01-20 11:20:08.201612,843896103,0,0.9536632,0.04661456,-0.1405922,0.2618922
226802,2023-01-20 11:20:08.301602,843996073,0,0.953756,0.04483696,-0.1385317,0.2629603
226839,2023-01-20 11:20:08.401660,844096113,0,0.9537338,0.04153928,-0.138934,0.2633698
226871,2023-01-20 11:20:08.501558,844196082,0,0.95429,0.03717408,-0.1356352,0.2637272
226906,2023-01-20 11:20:08.601524,844296117,0,0.9548263,0.03254394,-0.1345649,0.262945
226936,2023-01-20 11:20:08.701469,844396075,0,0.9551733,0.03063638,-0.1342759,0.2620599
226970,2023-01-20 11:20:08.801480,844496098,0,0.9557803,0.0280936,-0.1327301,0.2609167
227000,2023-01-20 11:20:08.901488,844596072,0,0.9564815,0.02641826,-0.1297159,0.260037
227033,2023-01-20 11:20:09.001569,844696119,0,0.9570647,0.02669945,-0.1270588,0.2591724
227066,2023-01-20 11:20:09.101515,844796083,0,0.9577094,0.02752212,-0.1246211,0.2578852
227098,2023-01-20 11:20:09.201531,844896116,0,0.9577301,0.03111584,-0.1263148,0.2565727
227128,2023-01-20 11:20:09.301548,844996077,0,0.9575212,0.03273472,-0.1281806,0.2562252
227164,2023-01-20 11:20:09.401650,845096127,0,0.9575387,0.03367116,-0.1270204,0.2566158
227196,2023-01-20 11:20:09.501487,845196074,0,0.958093,0.03255384,-0.1228288,0.2567317
227231,2023-01-20 11:20:09.601425,845296120,0,0.9586596,0.03207426,-0.1183953,0.2567602
227261,2023-01-20 11:20:09.701411,845396071,0,0.9590121,0.03338025,-0.1121399,0.258082
227295,2023-01-20 11:20:09.801466,845496092,0,0.9588557,0.03345333,-0.1109777,0.2591537
227325,2023-01-20 11:20:09.901448,845596078,0,0.9585007,0.03355563,-0.1126791,0.2597187
227358,2023-01-20 11:20:10.001473,845696106,0,0.9583361,0.03212821,-0.1128429,0.260435
227391,2023-01-20 11:20:10.101449,845796077,0,0.9583485,0.03255519,-0.1098108,0.2616295
227424,2023-01-20 11:20:10.201492,845896114,0,0.958266,0.03286542,-0.1082969,0.2625221
227455,2023-01-20 11:20:10.301450,845996071,0,0.9582797,0.03246335,-0.1078168,0.2627198
227491,2023-01-20 11:20:10.401467,846096088,0,0.9581551,0.03441094,-0.107436,0.2630823
227525,2023-01-20 11:20:10.501437,846196103,0,0.9580584,0.03493056,-0.1068338,0.2636106
227560,2023-01-20 11:20:10.601390,846296101,0,0.9580599,0.03426522,-0.1073706,0.2634744
227590,2023-01-20 11:20:10.701397,846396072,0,0.9580522,0.03336575,-0.1081736,0.2632894
227624,2023-01-20 11:20:10.801456,846496095,0,0.9583523,0.02965916,-0.1106851,0.2615916
227655,2023-01-20 11:20:10.901443,846596068,0,0.9588009,0.02824149,-0.1110196,0.2599579
227688,2023-01-20 11:20:11.001509,846696121,0,0.9595407,0.02699823,-0.1088272,0.2582818
227721,2023-01-20 11:20:11.101495,846796100,0,0.9599752,0.02650374,-0.1063197,0.2577625
227754,2023-01-20 11:20:11.201517,846896116,0,0.9602017,0.02766706,-0.1057504,0.2570295
227784,2023-01-20 11:20:11.301447,846996070,0,0.9602915,0.02910265,-0.1072095,0.2559289
227820,2023-01-20 11:20:11.401453,847096099,0,0.9602247,0.03038803,-0.1103605,0.2546872
227852,2023-01-20 11:20:11.501428,847196079,0,0.9595276,0.03122623,-0.1170237,0.2542385
227887,2023-01-20 11:20:11.601460,847296116,0,0.9593227,0.02396516,-0.1210408,0.2539191
227917,2023-01-20 11:20:11.701446,847396081,0,0.9589186,0.02105253,-0.1219176,0.2552803
227951,2023-01-20 11:20:11.801473,847496088,0,0.9577855,0.02192742,-0.124562,0.2581674
227981,2023-01-20 11:20:11.901441,847596073,0,0.9567574,0.02302813,-0.1275764,0.2604026
228014,2023-01-20 11:20:12.001482,847696130,0,0.9558769,0.02392499,-0.1311491,0.2617766
228047,2023-01-20 11:20:12.101449,847796074,0,0.9551733,0.02393641,-0.1366024,0.2615545
228080,2023-01-20 11:20:12.201511,847896113,0,0.9553327,0.02355614,-0.1342099,0.2622447
228110,2023-01-20 11:20:12.301479,847996080,0,0.9554034,0.02555561,-0.1322319,0.2628041
228147,2023-01-20 11:20:12.401488,848096089,0,0.9546404,0.03197495,-0.1344618,0.2637411
228179,2023-01-20 11:20:12.501436,848196070,0,0.9537896,0.03747857,-0.1369326,0.2648212
228214,2023-01-20 11:20:12.601469,848296134,0,0.9536485,0.03935984,-0.1369716,0.2650364
228244,2023-01-20 11:20:12.701429,848396072,0,0.9531752,0.04190971,-0.1399946,0.2647681
