LineNo,UTC_Approx,TimeUS,RMSRollP,RMSRollD,RMSPitchP,RMSPitchD,RMSYaw
5552,2023-01-20 11:08:57.822964,172097346,0.02423371,0.02152636,0.02551713,0.02917368,0.0258928
5584,2023-01-20 11:08:57.922957,172197344,0.03382865,0.01973091,0.02415318,0.02898509,0.03841479
5619,2023-01-20 11:08:58.022935,172297325,0.03010465,0.02530735,0.02198163,0.02587559,0.04777003
5649,2023-01-20 11:08:58.122967,172397354,0.02928527,0.02469338,0.02730735,0.02429271,0.04924115
5684,2023-01-20 11:08:58.223156,172497541,0.03083535,0.02602581,0.0270852,0.02389708,0.04549956
5714,2023-01-20 11:08:58.322937,172597322,0.02702357,0.02930886,0.02902107,0.02066362,0.04007369
5749,2023-01-20 11:08:58.422948,172697342,0.02260206,0.02721061,0.02885876,0.0192817,0.03334346
5779,2023-01-20 11:08:58.522887,172797316,0.0205027,0.02524849,0.02682023,0.01916246,0.03013065
5812,2023-01-20 11:08:58.622880,172897328,0.01778799,0.0224489,0.02883021,0.02087569,0.03854882
5842,2023-01-20 11:08:58.722899,172997310,0.01552885,0.02037908,0.02658889,0.02299077,0.04905974
5877,2023-01-20 11:08:58.822930,173097317,0.0136534,0.02101989,0.02901933,0.02705279,0.05391962
5909,2023-01-20 11:08:58.922962,173197365,0.01874607,0.02233969,0.02828271,0.02735262,0.05365212
5943,2023-01-20 11:08:59.020839,173297341,0.01997739,0.02434173,0.02805509,0.0235254,0.04928913
5974,2023-01-20 11:08:59.111752,173397358,0.02433863,0.03060364,0.02382524,0.02470812,0.04212297
6009,2023-01-20 11:08:59.203093,173497537,0.02496723,0.03097808,0.02056069,0.02676357,0.03526215
6039,2023-01-20 11:08:59.302818,173597259,0.02100517,0.02755313,0.02151259,0.02923071,0.03551175
6074,2023-01-20 11:08:59.403276,173697386,0.0207014,0.02723211,0.02035037,0.02954554,0.03866915
6103,2023-01-20 11:08:59.514246,173797254,0.02221272,0.02449336,0.01873749,0.03025036,0.0383812
6136,2023-01-20 11:08:59.620806,173897316,0.02019263,0.02430571,0.0171039,0.02712335,0.03482923
6166,2023-01-20 11:08:59.711648,173997248,0.01792899,0.02259591,0.0176814,0.03042253,0.02976502
6202,2023-01-20 11:08:59.802874,174097315,0.01658215,0.02148147,0.01899679,0.03138883,0.02474333
6234,2023-01-20 11:08:59.902868,174197339,0.01487206,0.01937597,0.01710869,0.03008356,0.02026
6267,2023-01-20 11:09:00.002815,174297317,0.01476024,0.02305236,0.01525413,0.02552306,0.01663889
6297,2023-01-20 11:09:00.102782,174397357,0.01951787,0.02484533,0.01756413,0.02249602,0.01498937
6332,2023-01-20 11:09:00.202897,174497542,0.01643624,0.02163043,0.01740877,0.02345393,0.0180769
6362,2023-01-20 11:09:00.302648,174597242,0.01906718,0.020658,0.01845744,0.02276694,0.02352943
6397,2023-01-20 11:09:00.402801,174697346,0.01663127,0.0203174,0.01705098,0.02293023,0.02993048
