LineNo,UTC_Approx,TimeUS,C,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos
54920,2023-01-20 11:11:27.701432,322296071,0,0,0,0,0,55.54,0.19,0,0,0.5,0.0004676913,0.008865087,0.02426559
54952,2023-01-20 11:11:27.801499,322396124,0,0,0,0,0,55.55,0.19,0,0,0.5,0.0001715716,0.004368723,0.01337402
54983,2023-01-20 11:11:27.901455,322496072,0,0,0,0,0,55.55,0.19,0,0,0.5,0.0003226946,0.01243705,0.03369187
55016,2023-01-20 11:11:28.001498,322596109,0,0,0,0,0,55.55,0.19,0,0,0.5,0.0003908041,0.007786512,0.02643602
55047,2023-01-20 11:11:28.101449,322696091,0,0,0,0,0,55.56,0.19,0,0,0.5,0.0003436632,0.01004092,0.0232458
55081,2023-01-20 11:11:28.201438,322796111,0,0,0,0,0,55.57,0.19,0,0,0.5,0.0002043449,0.006007678,0.01494788
55114,2023-01-20 11:11:28.301429,322896073,0,0,0,0,0,55.58,0.19,0,0,0.5,0.0001511088,0.007653215,0.01880042
55147,2023-01-20 11:11:28.401500,322996117,0,0,0,0,0,55.58,0.19,0,0,0.5,3.944037E-05,0.003469035,0.006397062
55180,2023-01-20 11:11:28.501427,323096076,0,0,0,0,0,55.59,0.19,0,0,0.5,0.0002380326,0.00573497,0.01598741
55212,2023-01-20 11:11:28.601430,323196110,0,0,0,0,0,55.59,0.19,0,0,0.5,0.0001590834,0.003747812,0.01169563
55246,2023-01-20 11:11:28.701406,323296096,0,0,0,0,0,55.59,0.19,0,0,0.5,0.0002394831,0.004686529,0.01022672
55278,2023-01-20 11:11:28.801423,323396122,0,0,0,0,0,55.59,0.19,0,0,0.5,0.0001542095,0.00154907,0.003674441
55309,2023-01-20 11:11:28.901402,323496068,0,0,0,0,0,55.6,0.19,0,0,0.5,0.000357378,0.01131223,0.02592435
55343,2023-01-20 11:11:29.001483,323596116,0,0,0,0,0,55.61,0.19,0,0,0.5,0.0002085194,0.005858479,0.0143915
55374,2023-01-20 11:11:29.101440,323696075,0,0,0,0,0,55.62,0.19,0,0,0.5,0.0002226927,0.01113954,0.02775619
55408,2023-01-20 11:11:29.201480,323796117,0,0,0,0,0,55.62,0.19,0,0,0.5,0.000105607,0.005228534,0.01341445
55441,2023-01-20 11:11:29.301445,323896088,0,0,0,0,0,55.63,0.19,0,0,0.5,0.0002604685,0.008882006,0.02464381
55474,2023-01-20 11:11:29.401460,323996109,0,0,0,0,0,55.64,0.19,0,0,0.5,6.137179E-05,0.004689524,0.01411771
55508,2023-01-20 11:11:29.501404,324096091,0,0,0,0,0,55.64,0.19,0,0,0.5,0.0003496009,0.01034092,0.02707441
55540,2023-01-20 11:11:29.601393,324196118,0,0,0,0,0,55.63,0.19,0,0,0.5,0.0001810395,0.00480493,0.0100729
55574,2023-01-20 11:11:29.701385,324296074,0,0,0,0,0,55.64,0.19,0,0,0.5,0.0007052954,0.02480306,0.059775
55606,2023-01-20 11:11:29.801462,324396115,0,0,0,0,0,55.64,0.19,0,0,0.5,0.0003852409,0.01343038,0.03275647
55637,2023-01-20 11:11:29.901449,324496077,0,0,0,0,0,55.65,0.19,0,0,0.5,0.0003741794,0.01670397,0.04291783
55670,2023-01-20 11:11:30.001505,324596108,0,0,0,0,0,55.64,0.19,0,0,0.5,0.0003887039,0.007771257,0.01990215
55701,2023-01-20 11:11:30.101459,324696080,0,0,0,0,0,55.63,0.19,0,0,0.5,0.0008064759,0.02400436,0.0576415
55735,2023-01-20 11:11:30.201491,324796129,0,0,0,0,0,55.62,0.19,0,0,0.5,0.0004133736,0.01187856,0.03052842
55768,2023-01-20 11:11:30.301449,324896072,0,0,0,0,0,55.61,0.19,0,0,0.5,0.0003586206,0.01412562,0.03861549
55801,2023-01-20 11:11:30.401496,324996105,0,0,0,0,0,55.6,0.19,0,0,0.5,0.000256727,0.007642905,0.02261376
55834,2023-01-20 11:11:30.501511,325096140,0,0,0,0,0,55.59,0.19,0,0,0.5,0.0004814402,0.006553039,0.01373045
55868,2023-01-20 11:11:30.601474,325196122,0,0,0,0,0,55.58,0.19,0,0,0.5,0.0002590522,0.009648255,0.02503081
55902,2023-01-20 11:11:30.701442,325296091,0,0,0,0,0,55.59,0.19,0,0,0.5,9.520292E-05,0.007214177,0.01536753
55934,2023-01-20 11:11:30.801347,325396127,0,0,0,0,0,55.58,0.19,0,0,0.5,4.700432E-05,0.009126417,0.02413969
55965,2023-01-20 11:11:30.892415,325496087,0,0,0,0,0,55.58,0.19,0,0,0.5,0.0001430858,0.007668614,0.01946403
55996,2023-01-20 11:11:30.983523,325596091,0,0,0,0,0,55.57,0.19,0,0,0.5,5.627675E-05,0.009659905,0.02818569
56029,2023-01-20 11:11:31.081909,325696084,0,0,0,0,0,55.57,0.19,0,0,0.5,0.0002782956,0.007601217,0.01938802
56062,2023-01-20 11:11:31.181926,325796097,0,0,0,0,0,55.57,0.19,0,0,0.5,0.0002099696,0.006897162,0.01923981
56097,2023-01-20 11:11:31.281884,325896072,0,0,0,0,0,55.57,0.19,0,0,0.5,0.0004078855,0.01097959,0.02665281
56128,2023-01-20 11:11:31.381902,325996111,0,0,0,0,0,55.58,0.19,0,0,0.5,0.0001646735,0.008359044,0.02132574
56163,2023-01-20 11:11:31.481814,326096082,0,0,0,0,0,55.58,0.19,0,0,0.5,0.0004284056,0.01445084,0.03225018
56193,2023-01-20 11:11:31.581777,326196113,0,0,0,0,0,55.59,0.19,0,0,0.5,0.0002668075,0.007315861,0.01807182
56229,2023-01-20 11:11:31.681804,326296084,0,0,0,0,0,55.59,0.19,0,0,0.5,0.0003322691,0.008468088,0.0186685
56260,2023-01-20 11:11:31.781897,326396094,0,0,0,0,0,55.61,0.19,0,0,0.5,0.0001038549,0.001670611,0.01328158
56293,2023-01-20 11:11:31.890778,326496072,0,0,0,0,0,55.63,0.19,0,0,0.5,0.0003162997,0.01055617,0.03177107
56326,2023-01-20 11:11:32.001388,326596126,0,0,0,0,0,55.64,0.19,0,0,0.5,0.0001940957,0.005277263,0.02747664
56357,2023-01-20 11:11:32.092355,326696080,0,0,0,0,0,55.65,0.19,0,0,0.5,0.0007257675,0.01930063,0.04936686
56389,2023-01-20 11:11:32.183373,326796089,0,0,0,0,0,55.67,0.19,0,0,0.5,0.0004852416,0.00882159,0.03337863
56424,2023-01-20 11:11:32.281716,326896081,0,0,0,0,0,55.69,0.19,0,0,0.5,0.0005735666,0.0131569,0.04033793
56455,2023-01-20 11:11:32.381714,326996087,0,0,0,0,0,55.7,0.19,0,0,0.5,0.0005604587,0.00527093,0.02872833
56490,2023-01-20 11:11:32.481705,327096071,0,0,0,0,0,55.72,0.19,0,0,0.5,0.0007101709,0.01934644,0.05297368
56520,2023-01-20 11:11:32.581740,327196096,0,0,0,0,0,55.74,0.19,0,0,0.5,0.000293186,0.008059616,0.03934526
56605,2023-01-20 11:11:32.681766,327296075,0,0,0,0,0,55.75,0.19,0,0,0.5,0.0004480694,0.01525459,0.04917098
56635,2023-01-20 11:11:32.781831,327396085,0,0,0,0,0,55.77,0.19,0,0,0.5,0.0002403038,0.006869593,0.04215235
56668,2023-01-20 11:11:32.881791,327496080,0,0,0,0,0,55.79,0.19,0,0,0.5,0.0006890224,0.02313815,0.0670941
56699,2023-01-20 11:11:32.981743,327596088,0,0,0,0,0,55.81,0.19,0,0,0.5,0.0004976932,0.009932054,0.04410908
56732,2023-01-20 11:11:33.081716,327696073,0,0,0,0,0,55.8,0.19,0,0,0.5,0.0006112344,0.01928275,0.04875335
56764,2023-01-20 11:11:33.181749,327796108,0,0,0,0,0,55.81,0.19,0,0,0.5,0.0003761913,0.01074766,0.03375347
56800,2023-01-20 11:11:33.281709,327896079,0,0,0,0,0,55.82,0.19,0,0,0.5,0.000551497,0.01473643,0.04544741
56831,2023-01-20 11:11:33.381713,327996096,0,0,0,0,0,55.82,0.19,0,0,0.5,0.0002866781,0.004316024,0.02367786
56866,2023-01-20 11:11:33.481682,328096080,0,0,0,0,0,55.81,0.19,0,0,0.5,0.0004249693,0.01059038,0.03585913
56896,2023-01-20 11:11:33.581678,328196090,0,0,0,0,0,55.81,0.19,0,0,0.5,0.0002221742,0.002963672,0.01264744
56932,2023-01-20 11:11:33.681682,328296075,0,0,0,0,0,55.8,0.19,0,0,0.5,0.0001855364,0.01012572,0.0200477
56962,2023-01-20 11:11:33.781729,328396094,0,0,0,0,0,55.8,0.19,0,0,0.5,0.0001725851,0.01419749,0.03450125
56995,2023-01-20 11:11:33.881708,328496072,0,0,0,0,0,55.8,0.19,0,0,0.5,0.0002343812,0.01148265,0.02824562
57026,2023-01-20 11:11:33.981720,328596088,0,0,0,0,0,55.79,0.19,0,0,0.5,0.0001678672,0.01478464,0.03946949
57059,2023-01-20 11:11:34.081705,328696089,0,0,0,0,0,55.8,0.19,0,0,0.5,0.0002605733,0.01529243,0.03708471
57091,2023-01-20 11:11:34.181684,328796086,0,0,0,0,0,55.79,0.19,0,0,0.5,0.0002457985,0.01619915,0.04238428
57126,2023-01-20 11:11:34.281675,328896071,0,0,0,0,0,55.79,0.19,0,0,0.5,0.0003134996,0.004406909,0.01472839
57157,2023-01-20 11:11:34.381715,328996099,0,0,0,0,0,55.78,0.19,0,0,0.5,0.0003251817,0.009376975,0.02727838
57192,2023-01-20 11:11:34.481677,329096072,0,0,0,0,0,55.78,0.19,0,0,0.5,0.0005192822,0.006681332,0.01865229
57222,2023-01-20 11:11:34.581676,329196087,0,0,0,0,0,55.78,0.19,0,0,0.5,0.0002381816,0.008152043,0.02223677
57258,2023-01-20 11:11:34.681678,329296088,0,0,0,0,0,55.78,0.19,0,0,0.5,0.0003260888,0.005147598,0.01687782
57288,2023-01-20 11:11:34.781684,329396090,0,0,0,0,0,55.77,0.19,0,0,0.5,0.0001600691,0.006462541,0.01651853
57321,2023-01-20 11:11:34.881685,329496072,0,0,0,0,0,55.77,0.19,0,0,0.5,0.0003452297,0.003239616,0.009326134
57352,2023-01-20 11:11:34.981706,329596072,0,0,0,0,0,55.77,0.19,0,0,0.5,0.000247658,0.00587192,0.01303733
57385,2023-01-20 11:11:35.081711,329696074,0,0,0,0,0,55.75,0.19,0,0,0.5,0.0003678172,0.00615452,0.01995805
57417,2023-01-20 11:11:35.181709,329796074,0,0,0,0,0,55.74,0.19,0,0,0.5,0.0001912686,0.005304554,0.01445378
57452,2023-01-20 11:11:35.281704,329896079,0,0,0,0,0,55.72,0.19,0,0,0.5,0.0003802069,0.006325074,0.02412541
57483,2023-01-20 11:11:35.381681,329996068,0,0,0,0,0,55.71,0.19,0,0,0.5,0.0001745743,0.005423885,0.01571978
57519,2023-01-20 11:11:35.481674,330096073,0,0,0,0,0,55.7,0.19,0,0,0.5,0.00046166,0.009490605,0.03094408
57551,2023-01-20 11:11:35.581674,330196085,0,0,0,0,0,55.69,0.19,0,0,0.5,0.0002889041,0.004122777,0.01497106
57587,2023-01-20 11:11:35.681683,330296075,0,0,0,0,0,55.67,0.19,0,0,0.5,0.0002073172,0.005793413,0.01875187
57617,2023-01-20 11:11:35.781706,330396072,0,0,0,0,0,55.66,0.19,0,0,0.5,0.0002235067,0.009807231,0.02491885
57650,2023-01-20 11:11:35.881708,330496072,0,0,0,0,0,55.65,0.19,0,0,0.5,0.0003580525,0.006168126,0.01777381
57681,2023-01-20 11:11:35.981705,330596072,0,0,0,0,0,55.64,0.19,0,0,0.5,0.0002008387,0.01015483,0.02851087
57714,2023-01-20 11:11:36.081717,330696082,0,0,0,0,0,55.62,0.19,0,0,0.5,0.0006930963,0.01552773,0.04599899
57746,2023-01-20 11:11:36.181712,330796075,0,0,0,0,0,55.61,0.19,0,0,0.5,0.0004154854,0.006420804,0.02562313
57781,2023-01-20 11:11:36.281704,330896071,0,0,0,0,0,55.59,0.19,0,0,0.5,0.0003988594,0.01258882,0.04329344
57812,2023-01-20 11:11:36.381702,330996076,0,0,0,0,0,55.57,0.19,0,0,0.5,0.0002779309,0.01049823,0.03960375
57847,2023-01-20 11:11:36.481682,331096073,0,0,0,0,0,55.55,0.19,0,0,0.5,8.795776E-05,0.01084991,0.04329641
57877,2023-01-20 11:11:36.581660,331196071,0,0,0,0,0,55.53,0.19,0,0,0.5,7.801189E-05,0.01448524,0.05139049
57913,2023-01-20 11:11:36.681669,331296079,0,0,0,0,0,55.5,0.19,0,0,0.5,0.0003401784,0.01046434,0.04907575
57943,2023-01-20 11:11:36.781667,331396072,0,0,0,0,0,55.49,0.19,0,0,0.5,0.0002113142,0.01191747,0.05055157
57977,2023-01-20 11:11:36.881684,331496072,0,0,0,0,0,55.47,0.19,0,0,0.5,0.001125963,0.02845932,0.08295649
58008,2023-01-20 11:11:36.981707,331596076,0,0,0,0,0,55.45,0.19,0,0,0.5,0.0008505072,0.01312659,0.05180339
58041,2023-01-20 11:11:37.081709,331696075,0,0,0,0,0,55.43,0.19,0,0,0.5,0.0007026097,0.02132619,0.07288623
58073,2023-01-20 11:11:37.181712,331796079,0,0,0,0,0,55.42,0.19,0,0,0.5,0.0002912371,0.009901389,0.04627729
58108,2023-01-20 11:11:37.281692,331896081,0,0,0,0,0,55.41,0.19,0,0,0.5,0.000422,0.01627402,0.06028512
