LineNo,UTC_Approx,TimeUS,IMU,VibeX,VibeY,VibeZ,Clip
6559,2023-01-20 11:09:00.902783,175197396,0,7.208592,8.273217,5.0941,0
6592,2023-01-20 11:09:01.002676,175297310,0,7.229941,8.996627,6.446903,0
6622,2023-01-20 11:09:01.102749,175397307,0,6.787254,8.341568,6.932734,0
6657,2023-01-20 11:09:01.203078,175497565,0,6.428878,7.392317,4.74979,0
6687,2023-01-20 11:09:01.302686,175597241,0,6.147728,7.107046,4.350527,0
6722,2023-01-20 11:09:01.402712,175697334,0,6.977231,6.177975,4.244077,0
6752,2023-01-20 11:09:01.502579,175797228,0,8.814797,5.805982,3.537951,0
6785,2023-01-20 11:09:01.602661,175897336,0,9.489773,5.187724,3.726398,0
6816,2023-01-20 11:09:01.702646,175997315,0,8.849498,4.97688,3.698582,0
6851,2023-01-20 11:09:01.802576,176097240,0,9.860592,5.452591,6.763576,0
6883,2023-01-20 11:09:01.902677,176197337,0,11.23247,9.006488,8.777143,0
6916,2023-01-20 11:09:02.002596,176297252,0,11.17552,10.95277,9.234764,0
6946,2023-01-20 11:09:02.102674,176397318,0,9.85428,9.807261,7.774469,0
6981,2023-01-20 11:09:02.202963,176497595,0,9.146638,7.52388,4.882858,0
7011,2023-01-20 11:09:02.302613,176597241,0,7.855576,8.466259,6.965076,0
7046,2023-01-20 11:09:02.402712,176697338,0,7.191374,9.012254,6.272314,0
7076,2023-01-20 11:09:02.502564,176797239,0,8.214623,11.24028,6.388851,0
7109,2023-01-20 11:09:02.602517,176897239,0,6.418616,8.300634,5.19033,0
7139,2023-01-20 11:09:02.702572,176997249,0,6.290144,10.30195,6.34874,0
7174,2023-01-20 11:09:02.802681,177097314,0,9.437115,11.77496,5.893617,0
7206,2023-01-20 11:09:02.902767,177197405,0,10.76948,9.388956,4.708661,0
7239,2023-01-20 11:09:03.002680,177297322,0,8.504441,9.762871,5.500236,0
7269,2023-01-20 11:09:03.102600,177397254,0,7.996988,9.255992,5.697076,0
7304,2023-01-20 11:09:03.202782,177497447,0,8.815663,9.731778,4.157388,0
7334,2023-01-20 11:09:03.302570,177597240,0,7.991023,6.514673,5.009832,0
7369,2023-01-20 11:09:03.402652,177697326,0,8.226363,4.642722,3.985176,0
7399,2023-01-20 11:09:03.502589,177797262,0,6.219721,4.672885,3.842527,0
7432,2023-01-20 11:09:03.602561,177897233,0,5.532561,7.338478,4.563629,0
7463,2023-01-20 11:09:03.702591,177997250,0,7.120852,6.392203,5.826624,0
7498,2023-01-20 11:09:03.802593,178097240,0,7.812102,5.449221,5.795986,0
7530,2023-01-20 11:09:03.902676,178197336,0,6.303392,6.735947,4.539799,0
7563,2023-01-20 11:09:04.002582,178297254,0,7.545499,6.159157,4.827994,0
7594,2023-01-20 11:09:04.102562,178397243,0,8.714665,6.488251,5.55804,0
7629,2023-01-20 11:09:04.202778,178497466,0,8.600606,7.722705,7.788363,0
7659,2023-01-20 11:09:04.302574,178597239,0,6.256549,7.925082,6.733925,0
7694,2023-01-20 11:09:04.402684,178697326,0,6.022097,7.547184,4.906702,0
7724,2023-01-20 11:09:04.502687,178797346,0,9.733074,7.068013,3.476215,0
7757,2023-01-20 11:09:04.602571,178897244,0,8.651769,5.29443,6.434426,0
7787,2023-01-20 11:09:04.702591,178997240,0,5.72801,6.592083,5.324455,0
7822,2023-01-20 11:09:04.802632,179097258,0,5.934334,5.882763,3.726467,0
7854,2023-01-20 11:09:04.902683,179197346,0,7.081009,7.646641,3.429085,0
7887,2023-01-20 11:09:05.002624,179297321,0,11.00559,7.22608,4.616028,0
7917,2023-01-20 11:09:05.102559,179397233,0,11.5193,6.918521,4.306229,0
7952,2023-01-20 11:09:05.202698,179497349,0,9.753717,6.033259,4.247206,0
7982,2023-01-20 11:09:05.302610,179597248,0,7.143592,5.357568,3.67054,0
8018,2023-01-20 11:09:05.402717,179697342,0,5.956578,5.922706,3.928301,0
8050,2023-01-20 11:09:05.502568,179797249,0,5.214212,5.278513,3.599257,0
8083,2023-01-20 11:09:05.602587,179897321,0,6.252978,5.020882,3.642256,0
8113,2023-01-20 11:09:05.702680,179997354,0,6.26498,4.499195,2.937944,0
8148,2023-01-20 11:09:05.802630,180097246,0,6.923441,5.261162,3.777463,0
8180,2023-01-20 11:09:05.902673,180197329,0,4.743375,6.913581,4.864593,0
8213,2023-01-20 11:09:06.002555,180297250,0,5.258663,7.461626,3.722365,0
8243,2023-01-20 11:09:06.102646,180397332,0,6.844089,6.537324,3.266311,0
8278,2023-01-20 11:09:06.202646,180497323,0,7.550533,5.414914,3.844291,0
8308,2023-01-20 11:09:06.302566,180597245,0,7.971856,5.330456,3.94638,0
8343,2023-01-20 11:09:06.402640,180697322,0,7.394681,4.672096,4.003397,0
8373,2023-01-20 11:09:06.502571,180797245,0,8.407599,5.892448,3.360029,0
8406,2023-01-20 11:09:06.602585,180897251,0,6.596841,6.237604,3.460261,0
8436,2023-01-20 11:09:06.702563,180997233,0,7.321632,6.652948,3.585883,0
8471,2023-01-20 11:09:06.802652,181097326,0,6.241977,6.251583,3.78036,0
8503,2023-01-20 11:09:06.902697,181197358,0,7.685639,5.891292,3.648901,0
8536,2023-01-20 11:09:07.002598,181297247,0,8.356663,4.926547,4.002814,0
8566,2023-01-20 11:09:07.102605,181397251,0,8.874173,7.237148,6.63305,0
8601,2023-01-20 11:09:07.202763,181497407,0,11.68038,5.600931,6.58685,0
8631,2023-01-20 11:09:07.302612,181597254,0,13.50784,5.201074,3.959371,0
8667,2023-01-20 11:09:07.402698,181697339,0,11.63467,8.479966,5.842792,0
8697,2023-01-20 11:09:07.502697,181797350,0,11.66935,11.19538,8.730156,0
8730,2023-01-20 11:09:07.602583,181897248,0,12.5676,9.653583,8.618052,0
8760,2023-01-20 11:09:07.702601,181997245,0,10.89553,7.587798,7.943336,0
8795,2023-01-20 11:09:07.802722,182097346,0,10.20018,8.413218,8.720227,0
8827,2023-01-20 11:09:07.902702,182197338,0,10.8373,8.461411,8.044086,0
8860,2023-01-20 11:09:08.002604,182297253,0,9.211448,8.691514,6.991767,0
8890,2023-01-20 11:09:08.102661,182397327,0,8.765891,10.97718,5.927631,0
8925,2023-01-20 11:09:08.202632,182497315,0,7.224637,8.40465,5.215476,0
8955,2023-01-20 11:09:08.302586,182597246,0,8.644472,9.515711,5.494493,0
8990,2023-01-20 11:09:08.402729,182697368,0,8.812865,10.06246,8.735328,0
9020,2023-01-20 11:09:08.502569,182797239,0,10.79669,10.54903,7.776554,0
9053,2023-01-20 11:09:08.602542,182897242,0,10.37962,10.42605,8.181804,0
9083,2023-01-20 11:09:08.702574,182997242,0,10.64846,9.444218,7.756026,0
9118,2023-01-20 11:09:08.802606,183097242,0,11.33294,9.327774,7.699566,0
9152,2023-01-20 11:09:08.902704,183197353,0,12.04101,7.547197,7.385302,0
9185,2023-01-20 11:09:09.002410,183297308,0,11.81392,6.054354,8.411523,0
