LineNo,UTC_Approx,TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
277152,2023-01-20 11:22:41.602255,997597819,6.656855,6.724061,0,-0.06720581,0.2079035,0,-0.02404026,0.1304284
277185,2023-01-20 11:22:41.693479,997697919,6.656855,6.744316,0,-0.08746094,0.2347872,0,-0.1268586,0.0192959
277215,2023-01-20 11:22:41.784595,997797902,6.656855,6.768209,0,-0.1113544,0.271195,0,-0.2153332,-0.07459816
277248,2023-01-20 11:22:41.883018,997897813,6.656855,6.788706,0,-0.1318512,0.2725669,0,-0.2512282,-0.1518859
277278,2023-01-20 11:22:41.983039,997997820,6.656855,6.81109,0,-0.1542352,0.2460723,0,-0.2880705,-0.2148175
277313,2023-01-20 11:22:42.083005,998097804,6.656855,6.831057,0,-0.174201,0.2427648,0,-0.2720315,-0.2480411
277345,2023-01-20 11:22:42.183016,998197840,6.656855,6.850469,0,-0.1936139,0.237825,0,-0.2855133,-0.2595057
277378,2023-01-20 11:22:42.282988,998297822,6.656855,6.875762,0,-0.2189068,0.1897147,0,-0.2998562,-0.2709768
277408,2023-01-20 11:22:42.382972,998397813,6.656855,6.897817,0,-0.2409619,0.144892,0,-0.2783712,-0.2767525
277441,2023-01-20 11:22:42.482952,998497841,6.656855,6.918573,0,-0.2617181,0.1040376,0,-0.2395465,-0.2651438
277473,2023-01-20 11:22:42.582983,998597929,6.656855,6.933833,0,-0.2769775,0.05604444,0,-0.1736216,-0.2452957
277508,2023-01-20 11:22:42.691915,998697849,6.656855,6.934471,0,-0.2776153,0.01622429,0,-0.0487824,-0.17654
277540,2023-01-20 11:22:42.802273,998797820,6.656855,6.930724,0,-0.2738684,-0.03331418,0,0.01580494,-0.08850136
277571,2023-01-20 11:22:42.893315,998897810,6.656855,6.925732,0,-0.2688763,-0.07136439,0,0.06608471,-0.0265756
277601,2023-01-20 11:22:42.984510,998997969,6.656855,6.918002,0,-0.2611468,-0.09963523,0,0.1067757,0.02706891
277636,2023-01-20 11:22:43.082950,999097921,6.656855,6.885936,0,-0.2290808,-0.116698,0,0.3232316,0.1133931
277668,2023-01-20 11:22:43.182997,999197956,6.656855,6.854271,0,-0.1974158,-0.1440263,0,0.431486,0.2454575
277701,2023-01-20 11:22:43.282859,999297822,6.656855,6.820685,0,-0.16383,-0.1822017,0,0.4950002,0.3578606
277731,2023-01-20 11:22:43.382995,999397965,6.656855,6.790279,0,-0.1334241,-0.1926386,0,0.5489132,0.4349409
277765,2023-01-20 11:22:43.482813,999497821,6.656855,6.762568,0,-0.1057129,-0.2006639,0,0.605678,0.5000252
277797,2023-01-20 11:22:43.582918,999597971,6.656855,6.737499,0,-0.08064331,-0.1884321,0,0.6148131,0.5491068
277831,2023-01-20 11:22:43.682866,999697920,6.656855,6.702228,0,-0.04537231,-0.165669,0,0.6599602,0.5861506
277861,2023-01-20 11:22:43.782996,999798042,6.656855,6.672255,0,-0.01539917,-0.1760457,0,0.6365837,0.6152006
277894,2023-01-20 11:22:43.882768,999897807,6.656855,6.636833,0,0.02002197,-0.1786203,0,0.6942825,0.6198363
277924,2023-01-20 11:22:43.982955,999997986,6.656855,6.609081,0,0.04777405,-0.1236735,0,0.6590869,0.6263614
277959,2023-01-20 11:22:44.082782,1000097810,6.656855,6.569801,0,0.08705383,-0.09285055,0,0.7833252,0.6577318
277991,2023-01-20 11:22:44.182905,1000197930,6.656855,6.538628,0,0.1182275,-0.1076742,0,0.875572,0.727784
278024,2023-01-20 11:22:44.282797,1000297835,6.656855,6.483912,0,0.1729437,-0.1249576,0,1.179455,0.8544795
278054,2023-01-20 11:22:44.382907,1000397960,6.656855,6.438477,0,0.2183789,-0.1229021,0,1.296237,1.026174
278087,2023-01-20 11:22:44.482745,1000497802,6.656855,6.41044,0,0.2464148,-0.1095092,0,1.252208,1.141455
278119,2023-01-20 11:22:44.582911,1000597970,6.656855,6.39084,0,0.2660156,-0.09440921,0,1.204659,1.176898
278154,2023-01-20 11:22:44.682812,1000697848,6.656855,6.365793,0,0.2910626,-0.06541701,0,1.2825,1.202593
278184,2023-01-20 11:22:44.782969,1000797976,6.656855,6.347163,0,0.3096924,-0.04219626,0,1.305916,1.2429
278217,2023-01-20 11:22:44.882801,1000897817,6.656855,6.338158,0,0.3186975,-0.008054603,0,1.241265,1.255996
278247,2023-01-20 11:22:44.982936,1000997968,6.656855,6.334647,0,0.3222083,0.003264081,0,1.217722,1.23033
278282,2023-01-20 11:22:45.082800,1001097830,6.656855,6.326857,0,0.3299982,0.01930016,0,1.258111,1.220108
278314,2023-01-20 11:22:45.183000,1001198023,6.656855,6.322822,0,0.3340332,0.02855625,0,1.298769,1.242671
278347,2023-01-20 11:22:45.282818,1001297823,6.656855,6.300259,0,0.3565961,0.006539294,0,1.479996,1.31094
278377,2023-01-20 11:22:45.383006,1001397990,6.656855,6.283692,0,0.3731628,0.02302625,0,1.484024,1.387289
278410,2023-01-20 11:22:45.482793,1001497806,6.656855,6.28137,0,0.3754852,0.04928089,0,1.382477,1.404054
278444,2023-01-20 11:22:45.582890,1001597942,6.656855,6.284958,0,0.371897,0.06916897,0,1.296483,1.368649
278479,2023-01-20 11:22:45.682923,1001697963,6.656855,6.288347,0,0.3685083,0.0686959,0,1.285409,1.323613
278509,2023-01-20 11:22:45.782953,1001797970,6.656855,6.296077,0,0.3607782,0.1104775,0,1.259426,1.291509
278542,2023-01-20 11:22:45.882793,1001897812,6.656855,6.302413,0,0.3544421,0.1123442,0,1.307825,1.288799
278572,2023-01-20 11:22:45.982943,1001997970,6.656855,6.311965,0,0.3448907,0.1202475,0,1.310608,1.292953
278607,2023-01-20 11:22:46.082766,1002097787,6.656855,6.315507,0,0.3413483,0.1418726,0,1.327661,1.305861
278639,2023-01-20 11:22:46.182917,1002197930,6.656855,6.321769,0,0.3350867,0.1342902,0,1.343944,1.322721
278672,2023-01-20 11:22:46.282793,1002297823,6.656855,6.331914,0,0.3249414,0.153973,0,1.280828,1.321663
278703,2023-01-20 11:22:46.382898,1002397950,6.656855,6.345095,0,0.3117602,0.1386268,0,1.238316,1.294579
278736,2023-01-20 11:22:46.482765,1002497822,6.656855,6.361171,0,0.2956842,0.1422192,0,1.229164,1.254803
278768,2023-01-20 11:22:46.582756,1002597814,6.656855,6.379045,0,0.2778107,0.1291603,0,1.214008,1.233942
278803,2023-01-20 11:22:46.682805,1002697847,6.656855,6.395287,0,0.2615686,0.126922,0,1.241466,1.237352
278833,2023-01-20 11:22:46.782795,1002797818,6.656855,6.411517,0,0.2453381,0.1372062,0,1.241796,1.247992
278866,2023-01-20 11:22:46.882788,1002897811,6.656855,6.420102,0,0.2367535,0.1062311,0,1.274762,1.254292
278896,2023-01-20 11:22:46.982822,1002997848,6.656855,6.430591,0,0.226264,0.119434,0,1.224676,1.247693
278931,2023-01-20 11:22:47.082818,1003097838,6.656855,6.431642,0,0.2252136,0.1559484,0,1.237674,1.237221
278963,2023-01-20 11:22:47.182841,1003197853,6.656855,6.436718,0,0.2201373,0.1768252,0,1.176175,1.228998
278996,2023-01-20 11:22:47.282788,1003297797,6.656855,6.434905,0,0.2219507,0.1464721,0,1.159926,1.206876
279026,2023-01-20 11:22:47.382792,1003397798,6.656855,6.439513,0,0.2173425,0.1756533,0,1.074272,1.166544
279059,2023-01-20 11:22:47.482814,1003497844,6.656855,6.450446,0,0.2064093,0.1802404,0,1.051584,1.117121
279091,2023-01-20 11:22:47.582774,1003597834,6.656855,6.465883,0,0.1909723,0.1733079,0,1.045729,1.070626
279126,2023-01-20 11:22:47.682905,1003697949,6.656855,6.485799,0,0.1710559,0.194837,0,0.9674451,1.036039
279156,2023-01-20 11:22:47.782809,1003797827,6.656855,6.507811,0,0.1490442,0.2108674,0,0.9321786,0.9979533
279189,2023-01-20 11:22:47.882783,1003897802,6.656855,6.546793,0,0.1100629,0.1837535,0,0.8272926,0.9391154
279219,2023-01-20 11:22:47.983190,1003998216,6.656855,6.583459,0,0.073396,0.1898179,0,0.7688456,0.8684301
279255,2023-01-20 11:22:48.082795,1004097810,6.656855,6.617445,0,0.03940979,0.1830555,0,0.7720195,0.8199865
279287,2023-01-20 11:22:48.182850,1004197850,6.656855,6.646139,0,0.01071655,0.1455398,0,0.7868346,0.8091866
279320,2023-01-20 11:22:48.282895,1004297918,6.656855,6.672622,0,-0.0157666,0.1149442,0,0.7950314,0.8144761
279350,2023-01-20 11:22:48.382796,1004397851,6.656855,6.694618,0,-0.03776245,0.08442359,0,0.80927,0.8169587
279383,2023-01-20 11:22:48.482738,1004497806,6.656855,6.717024,0,-0.06016907,0.06582491,0,0.8287854,0.8264676
279416,2023-01-20 11:22:48.582739,1004597815,6.656855,6.735425,0,-0.07856934,0.04132899,0,0.8103654,0.8260368
279451,2023-01-20 11:22:48.682827,1004697877,6.656855,6.746579,0,-0.08972351,-0.005479167,0,0.8773175,0.8374067
279481,2023-01-20 11:22:48.782800,1004797819,6.656855,6.754266,0,-0.09741028,-0.02980185,0,0.9054226,0.8477601
279514,2023-01-20 11:22:48.882791,1004897828,6.656855,6.763923,0,-0.1070679,-0.01468797,0,0.8648655,0.854802
279544,2023-01-20 11:22:48.983178,1004998245,6.656855,6.770498,0,-0.1136432,-0.03063089,0,0.8750352,0.8587891
279579,2023-01-20 11:22:49.082757,1005097808,6.656855,6.778295,0,-0.1214398,-0.01976474,0,0.8689548,0.8581551
279611,2023-01-20 11:22:49.182803,1005197829,6.656855,6.783401,0,-0.126546,-0.05239146,0,0.8455586,0.8421864
279645,2023-01-20 11:22:49.282822,1005297845,6.78589,6.794341,-0.04088438,-0.04933591,-0.05521511,0.04101619,1.103938,0.8568469
279675,2023-01-20 11:22:49.382808,1005397833,6.784758,6.802894,0.01032541,-0.007810577,-0.03374605,-0.0103587,1.05912,0.9482369
279708,2023-01-20 11:22:49.482798,1005497837,6.787097,6.815479,0.03261504,0.004233689,-0.05372026,-0.03272019,0.9617218,0.9493665
279740,2023-01-20 11:22:49.582787,1005597843,6.790853,6.825096,0.04065808,0.006414919,-0.03693146,-0.04078918,0.8773665,0.8918005
