LineNo,UTC_Approx,TimeUS,Id,Pri,Total,Free,Name
8216,2023-01-20 11:09:06.068153,180362842,3,60,656,400,OTG1
8248,2023-01-20 11:09:06.169565,180464245,4,183,1360,1016,monitor
8281,2023-01-20 11:09:06.269591,180564270,5,181,1872,1488,timer
8312,2023-01-20 11:09:06.369562,180664243,6,181,848,616,rcout
8346,2023-01-20 11:09:06.470772,180765448,7,177,1360,736,rcin
8377,2023-01-20 11:09:06.572106,180866774,8,58,2384,1432,io
8409,2023-01-20 11:09:06.672087,180966756,9,59,1360,824,storage
8440,2023-01-20 11:09:06.773140,181067813,10,60,656,296,UART3
8474,2023-01-20 11:09:06.873159,181167824,11,60,656,264,UART4
8507,2023-01-20 11:09:06.974966,181269618,12,60,656,264,UART5
8539,2023-01-20 11:09:07.074889,181369536,13,176,1360,856,I2C0
8571,2023-01-20 11:09:07.175983,181470628,14,59,1616,896,OSD
8604,2023-01-20 11:09:07.275974,181570617,15,59,1912,416,log_io
8636,2023-01-20 11:09:07.377141,181671782,16,181,1360,720,SPI1
8670,2023-01-20 11:09:07.477119,181771769,255,255,1536,1264,ISR
8701,2023-01-20 11:09:07.577155,181871817,0,182,7168,5360,ArduCopter
8733,2023-01-20 11:09:07.678163,181972812,1,1,352,144,idle
8764,2023-01-20 11:09:07.778200,182072829,2,60,1104,768,UART_RX
8798,2023-01-20 11:09:07.878193,182172826,3,60,656,400,OTG1
8831,2023-01-20 11:09:07.978233,182272878,4,183,1360,1016,monitor
8864,2023-01-20 11:09:08.079661,182374323,5,181,1872,1488,timer
8895,2023-01-20 11:09:08.179653,182474333,6,181,848,616,rcout
8929,2023-01-20 11:09:08.280751,182575416,7,177,1360,736,rcin
8959,2023-01-20 11:09:08.382129,182676771,8,58,2384,1432,io
8994,2023-01-20 11:09:08.482138,182776802,9,59,1360,824,storage
9024,2023-01-20 11:09:08.582095,182876790,10,60,656,296,UART3
9057,2023-01-20 11:09:08.683148,182977822,11,60,656,264,UART4
9087,2023-01-20 11:09:08.783181,183077823,12,60,656,264,UART5
9124,2023-01-20 11:09:08.883318,183177965,13,176,1360,856,I2C0
9156,2023-01-20 11:09:08.984581,183279241,14,59,1616,896,OSD
9189,2023-01-20 11:09:09.077027,183379219,15,59,1912,416,log_io
9220,2023-01-20 11:09:09.168133,183479232,16,181,1360,720,SPI1
9255,2023-01-20 11:09:09.266110,183580334,255,255,1536,1264,ISR
9285,2023-01-20 11:09:09.367797,183682034,0,182,7168,5360,ArduCopter
9320,2023-01-20 11:09:09.467846,183782084,1,1,352,144,idle
9350,2023-01-20 11:09:09.567867,183882100,2,60,1104,768,UART_RX
9384,2023-01-20 11:09:09.668846,183983065,3,60,656,400,OTG1
9414,2023-01-20 11:09:09.770045,184084244,4,183,1360,1016,monitor
9450,2023-01-20 11:09:09.870265,184184475,5,181,1872,1488,timer
9482,2023-01-20 11:09:09.971513,184285746,6,181,848,616,rcout
9515,2023-01-20 11:09:10.072506,184386749,7,177,1360,736,rcin
9546,2023-01-20 11:09:10.172848,184487096,8,58,2384,1432,io
9580,2023-01-20 11:09:10.273516,184587765,9,59,1360,792,storage
9610,2023-01-20 11:09:10.373531,184687781,10,60,656,296,UART3
9645,2023-01-20 11:09:10.473474,184787805,11,60,656,264,UART4
9677,2023-01-20 11:09:10.574771,184889215,12,60,656,264,UART5
9710,2023-01-20 11:09:10.674804,184989226,13,176,1360,856,I2C0
9740,2023-01-20 11:09:10.774875,185089231,14,59,1616,896,OSD
9775,2023-01-20 11:09:10.875958,185190314,15,59,1912,416,log_io
9807,2023-01-20 11:09:10.977372,185291751,16,181,1360,720,SPI1
9841,2023-01-20 11:09:11.078399,185392789,255,255,1536,1264,ISR
9876,2023-01-20 11:09:11.180375,185494772,0,182,7168,5360,ArduCopter
9909,2023-01-20 11:09:11.280230,185594640,1,1,352,144,idle
9940,2023-01-20 11:09:11.381389,185695813,2,60,1104,768,UART_RX
9998,2023-01-20 11:09:11.492658,185807081,3,60,656,400,OTG1
10029,2023-01-20 11:09:11.583424,185897844,4,183,1360,1016,monitor
10061,2023-01-20 11:09:11.686123,186000525,5,181,1872,1488,timer
10094,2023-01-20 11:09:11.795135,186109515,6,181,848,616,rcout
10128,2023-01-20 11:09:11.897384,186211768,7,177,1360,736,rcin
10159,2023-01-20 11:09:11.998392,186312782,8,58,2384,1432,io
10192,2023-01-20 11:09:12.099924,186414344,9,59,1360,792,storage
10226,2023-01-20 11:09:12.200224,186514674,10,60,656,296,UART3
10257,2023-01-20 11:09:12.300946,186615363,11,60,656,264,UART4
10292,2023-01-20 11:09:12.401271,186715655,12,60,656,264,UART5
10323,2023-01-20 11:09:12.502713,186817121,13,176,1360,856,I2C0
10355,2023-01-20 11:09:12.602331,186916761,14,59,1616,896,OSD
10386,2023-01-20 11:09:12.710175,187024572,15,59,1912,416,log_io
