LineNo,UTC_Approx,TimeUS,Status,Lat,Lng,Spacing,TerrH,CHeight,Pending,Loaded,ROfs
57180,2023-01-20 11:11:34.480194,329094589,2,39.8011539,32.378009,100,737.0234,57.39899,0,504,-3.475139
57507,2023-01-20 11:11:35.480182,330094581,2,39.8010987,32.3779683,100,737.2225,57.13992,0,504,-3.475139
57835,2023-01-20 11:11:36.480192,331094583,2,39.801043,32.3779284,100,737.4235,56.822,0,504,-3.475139
58161,2023-01-20 11:11:37.480161,332094581,2,39.8009877,32.3778877,100,737.6312,56.48471,0,504,-3.475139
58488,2023-01-20 11:11:38.480205,333094611,2,39.800935,32.3778462,100,737.8433,56.30845,0,504,-3.475139
58814,2023-01-20 11:11:39.480175,334094604,2,39.800881,32.3778039,100,738.0801,56.11937,0,504,-3.475139
59142,2023-01-20 11:11:40.460459,335094595,2,39.8008277,32.3777634,100,738.3322,55.87554,0,504,-3.475139
59470,2023-01-20 11:11:41.460225,336094586,2,39.8007776,32.377725,100,738.5746,55.57327,0,504,-3.475139
59796,2023-01-20 11:11:42.472942,337094626,2,39.800738,32.3776944,100,738.77,55.29277,0,504,-3.475139
60123,2023-01-20 11:11:43.460170,338094594,2,39.8007107,32.3776739,100,738.9032,55.11432,0,504,-3.475139
60450,2023-01-20 11:11:44.460238,339094630,2,39.8006902,32.3776566,100,739.0131,55.06905,0,504,-3.475139
60774,2023-01-20 11:11:45.460151,340094584,2,39.8006702,32.3776431,100,739.1046,55.09681,0,504,-3.475139
61100,2023-01-20 11:11:46.460193,341094590,2,39.8006514,32.3776299,100,739.1936,55.13553,0,504,-3.475139
61428,2023-01-20 11:11:47.460177,342094564,2,39.800641,32.3776109,100,739.3004,55.16298,0,504,-3.475139
61753,2023-01-20 11:11:48.460159,343094566,2,39.8006456,32.377582,100,739.437,55.12622,0,504,-3.475139
62077,2023-01-20 11:11:49.460192,344094561,2,39.8006674,32.3775383,100,739.6226,55.01345,0,504,-3.475139
62402,2023-01-20 11:11:50.444820,345094560,2,39.800695,32.3774817,100,739.8609,54.85696,0,504,-3.475139
62731,2023-01-20 11:11:51.440340,346094575,2,39.8007275,32.3774236,100,740.0963,54.66957,0,504,-3.475139
63057,2023-01-20 11:11:52.440180,347094576,2,39.8007545,32.3773725,100,740.303,54.4392,0,504,-3.475139
63381,2023-01-20 11:11:53.440164,348094560,2,39.8007712,32.3773401,100,740.4332,54.24327,0,504,-3.475139
63708,2023-01-20 11:11:54.440153,349094546,2,39.8007859,32.3773312,100,740.453,54.18479,0,504,-3.475139
64032,2023-01-20 11:11:55.440199,350094570,2,39.8008024,32.3773405,100,740.3826,54.08505,0,504,-3.475139
64358,2023-01-20 11:11:56.440183,351094559,2,39.8008209,32.3773538,100,740.2904,54.14042,0,504,-3.475139
64684,2023-01-20 11:11:57.440225,352094602,2,39.8008415,32.3773671,100,740.1953,54.20893,0,504,-3.475139
65012,2023-01-20 11:11:58.440199,353094575,2,39.8008622,32.3773826,100,740.0904,54.21042,0,504,-3.475139
65336,2023-01-20 11:11:59.420468,354094593,2,39.8008904,32.3774023,100,739.9549,54.36734,0,504,-3.475139
65708,2023-01-20 11:12:00.422524,355094543,2,39.8009292,32.3774329,100,739.7542,54.65553,0,504,-3.475139
66036,2023-01-20 11:12:01.420188,356094547,2,39.8009832,32.3774708,100,739.5002,55.06684,0,504,-3.475139
66363,2023-01-20 11:12:02.420188,357094554,2,39.8010416,32.3775126,100,739.226,55.24241,0,504,-3.475139
66690,2023-01-20 11:12:03.420205,358094568,2,39.8010963,32.3775537,100,738.9645,55.33016,0,504,-3.475139
67016,2023-01-20 11:12:04.420192,359094563,2,39.8011475,32.3775951,100,738.7108,55.5379,0,504,-3.475139
67342,2023-01-20 11:12:05.420193,360094555,2,39.8012,32.3776355,100,738.4639,55.82124,0,504,-3.475139
67671,2023-01-20 11:12:06.420181,361094548,2,39.8012552,32.3776757,100,738.2184,56.10968,0,504,-3.475139
67998,2023-01-20 11:12:07.420211,362094569,2,39.8013108,32.3777155,100,738.0345,56.29696,0,504,-3.475139
68325,2023-01-20 11:12:08.420167,363094563,2,39.8013689,32.3777573,100,738.162,56.20097,0,504,-3.475139
68651,2023-01-20 11:12:09.418388,364094577,2,39.8014226,32.3778,100,738.2854,55.97833,0,504,-3.475139
68978,2023-01-20 11:12:10.400250,365094804,2,39.8014746,32.3778406,100,738.426,55.8173,0,504,-3.475139
69306,2023-01-20 11:12:11.400245,366094792,2,39.8015285,32.3778818,100,738.575,55.81575,0,504,-3.475139
69633,2023-01-20 11:12:12.400331,367094959,2,39.8015834,32.3779226,100,738.7267,55.74318,0,504,-3.475139
69962,2023-01-20 11:12:13.400245,368094841,2,39.8016381,32.3779633,100,738.8736,55.55752,0,504,-3.475139
70289,2023-01-20 11:12:14.400300,369094945,2,39.801692,32.3780046,100,739.0096,55.445,0,504,-3.475139
70615,2023-01-20 11:12:15.400329,370094939,2,39.8017463,32.3780452,100,739.1457,55.3349,0,504,-3.475139
70944,2023-01-20 11:12:16.400271,371094875,2,39.8018012,32.3780846,100,739.2861,55.17103,0,504,-3.475139
71319,2023-01-20 11:12:17.400275,372094877,2,39.8018537,32.378125,100,739.4054,55.07392,0,504,-3.475139
71646,2023-01-20 11:12:18.400246,373094850,2,39.8019054,32.3781657,100,739.5151,55.05898,0,504,-3.475139
71971,2023-01-20 11:12:19.380494,374094753,2,39.8019598,32.3782074,100,739.6314,54.96774,0,504,-3.475139
