LineNo,UTC_Approx,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
6290,2023-01-20 11:09:00.102614,174397189,1448,1438,1704,1505,1506,1505,1054,1054,0,0,0,0,0,0
6325,2023-01-20 11:09:00.202780,174497425,1465,1491,1691,1505,1505,1506,1054,1054,0,0,0,0,0,0
6355,2023-01-20 11:09:00.302530,174597124,1490,1505,1716,1505,1506,1505,1054,1054,0,0,0,0,0,0
6390,2023-01-20 11:09:00.402633,174697178,1490,1505,1712,1505,1505,1505,1055,1054,0,0,0,0,0,0
6422,2023-01-20 11:09:00.502524,174797124,1505,1505,1734,1505,1505,1506,1054,1054,0,0,0,0,0,0
6455,2023-01-20 11:09:00.602490,174897142,1505,1505,1747,1505,1506,1505,1054,1054,0,0,0,0,0,0
6485,2023-01-20 11:09:00.702514,174997134,1505,1506,1746,1505,1506,1505,1054,1054,0,0,0,0,0,0
6521,2023-01-20 11:09:00.802567,175097156,1506,1505,1736,1505,1505,1505,1055,1054,0,0,0,0,0,0
6553,2023-01-20 11:09:00.902623,175197236,1641,1505,1722,1506,1505,1505,1055,1054,0,0,0,0,0,0
6586,2023-01-20 11:09:01.002521,175297155,1662,1505,1711,1505,1505,1506,1054,1054,0,0,0,0,0,0
6616,2023-01-20 11:09:01.102599,175397158,1698,1505,1719,1505,1505,1506,1054,1054,0,0,0,0,0,0
6651,2023-01-20 11:09:01.202975,175497462,1686,1505,1727,1505,1505,1506,1054,1054,0,0,0,0,0,0
6681,2023-01-20 11:09:01.302577,175597132,1696,1475,1704,1505,1505,1506,1054,1054,0,0,0,0,0,0
6716,2023-01-20 11:09:01.402558,175697180,1699,1490,1695,1506,1505,1505,1054,1055,0,0,0,0,0,0
6746,2023-01-20 11:09:01.502479,175797128,1697,1501,1727,1505,1505,1505,1055,1054,0,0,0,0,0,0
6779,2023-01-20 11:09:01.602507,175897182,1721,1506,1703,1505,1506,1505,1054,1055,0,0,0,0,0,0
6810,2023-01-20 11:09:01.702492,175997162,1671,1505,1727,1505,1506,1505,1054,1054,0,0,0,0,0,0
6845,2023-01-20 11:09:01.802475,176097139,1598,1493,1727,1505,1505,1505,1055,1054,0,0,0,0,0,0
6877,2023-01-20 11:09:01.902528,176197188,1552,1506,1727,1506,1505,1505,1054,1055,0,0,0,0,0,0
6910,2023-01-20 11:09:02.002490,176297146,1507,1506,1702,1506,1505,1505,1054,1055,0,0,0,0,0,0
6940,2023-01-20 11:09:02.102524,176397168,1546,1505,1708,1505,1505,1506,1054,1054,0,0,0,0,0,0
6975,2023-01-20 11:09:02.202863,176497495,1520,1505,1709,1505,1505,1505,1055,1054,0,0,0,0,0,0
7005,2023-01-20 11:09:02.302512,176597140,1505,1505,1753,1505,1505,1506,1054,1054,0,0,0,0,0,0
7040,2023-01-20 11:09:02.402544,176697170,1505,1498,1737,1505,1506,1505,1054,1054,0,0,0,0,0,0
7070,2023-01-20 11:09:02.502459,176797134,1505,1486,1753,1506,1505,1505,1054,1055,0,0,0,0,0,0
7103,2023-01-20 11:09:02.602413,176897135,1505,1505,1768,1505,1505,1506,1054,1054,0,0,0,0,0,0
7133,2023-01-20 11:09:02.702448,176997125,1505,1505,1753,1505,1506,1505,1054,1054,0,0,0,0,0,0
7168,2023-01-20 11:09:02.802517,177097150,1506,1496,1756,1505,1505,1505,1055,1054,0,0,0,0,0,0
7200,2023-01-20 11:09:02.902615,177197253,1506,1431,1755,1506,1505,1505,1055,1054,0,0,0,0,0,0
7233,2023-01-20 11:09:03.002519,177297161,1505,1426,1738,1505,1505,1506,1054,1054,0,0,0,0,0,0
7263,2023-01-20 11:09:03.102499,177397153,1505,1430,1727,1505,1506,1505,1054,1054,0,0,0,0,0,0
7298,2023-01-20 11:09:03.202682,177497347,1506,1432,1737,1506,1505,1505,1054,1055,0,0,0,0,0,0
7328,2023-01-20 11:09:03.302469,177597139,1505,1445,1747,1505,1505,1506,1054,1054,0,0,0,0,0,0
7363,2023-01-20 11:09:03.402502,177697176,1505,1453,1751,1505,1505,1505,1055,1054,0,0,0,0,0,0
7393,2023-01-20 11:09:03.502480,177797153,1506,1463,1755,1506,1505,1505,1054,1055,0,0,0,0,0,0
7426,2023-01-20 11:09:03.602460,177897132,1505,1476,1756,1506,1505,1505,1054,1055,0,0,0,0,0,0
7457,2023-01-20 11:09:03.702490,177997149,1506,1485,1753,1505,1505,1505,1055,1054,0,0,0,0,0,0
7492,2023-01-20 11:09:03.802489,178097136,1505,1495,1776,1505,1505,1506,1054,1054,0,0,0,0,0,0
7524,2023-01-20 11:09:03.902511,178197171,1505,1506,1760,1506,1505,1505,1054,1055,0,0,0,0,0,0
7557,2023-01-20 11:09:04.002481,178297153,1506,1505,1764,1505,1505,1505,1055,1054,0,0,0,0,0,0
7588,2023-01-20 11:09:04.102461,178397142,1505,1502,1763,1505,1506,1505,1054,1054,0,0,0,0,0,0
7623,2023-01-20 11:09:04.202663,178497351,1505,1501,1764,1505,1505,1506,1054,1054,0,0,0,0,0,0
7653,2023-01-20 11:09:04.302474,178597139,1505,1497,1763,1505,1506,1505,1054,1054,0,0,0,0,0,0
7688,2023-01-20 11:09:04.402534,178697176,1506,1505,1763,1505,1505,1505,1055,1054,0,0,0,0,0,0
7718,2023-01-20 11:09:04.502512,178797170,1505,1506,1778,1506,1506,1504,1054,1055,0,0,0,0,0,0
7751,2023-01-20 11:09:04.602470,178897144,1505,1505,1776,1505,1505,1506,1054,1054,0,0,0,0,0,0
7781,2023-01-20 11:09:04.702491,178997140,1506,1505,1772,1505,1505,1505,1055,1054,0,0,0,0,0,0
7816,2023-01-20 11:09:04.802512,179097138,1505,1505,1737,1505,1505,1506,1054,1054,0,0,0,0,0,0
7848,2023-01-20 11:09:04.902514,179197176,1505,1506,1700,1505,1506,1505,1054,1054,0,0,0,0,0,0
7881,2023-01-20 11:09:05.002460,179297158,1505,1482,1708,1504,1505,1506,1054,1054,0,0,0,0,0,0
7911,2023-01-20 11:09:05.102453,179397128,1505,1411,1681,1505,1505,1506,1054,1054,0,0,0,0,0,0
7946,2023-01-20 11:09:05.202527,179497179,1506,1373,1700,1505,1506,1505,1054,1055,0,0,0,0,0,0
7976,2023-01-20 11:09:05.302495,179597133,1505,1371,1696,1506,1505,1505,1054,1055,0,0,0,0,0,0
8012,2023-01-20 11:09:05.402560,179697185,1505,1353,1681,1505,1505,1505,1055,1054,0,0,0,0,0,0
8044,2023-01-20 11:09:05.502464,179797145,1505,1363,1643,1505,1506,1505,1054,1055,0,0,0,0,0,0
8077,2023-01-20 11:09:05.602432,179897167,1505,1360,1616,1430,1505,1506,1054,1054,0,0,0,0,0,0
8107,2023-01-20 11:09:05.702522,179997196,1505,1362,1587,1401,1505,1505,1055,1054,0,0,0,0,0,0
8142,2023-01-20 11:09:05.802526,180097142,1505,1363,1577,1395,1505,1505,1054,1055,0,0,0,0,0,0
8174,2023-01-20 11:09:05.902518,180197174,1505,1366,1592,1413,1506,1505,1054,1054,0,0,0,0,0,0
8207,2023-01-20 11:09:06.002454,180297149,1506,1382,1595,1413,1505,1506,1054,1054,0,0,0,0,0,0
8237,2023-01-20 11:09:06.102496,180397182,1505,1407,1593,1413,1506,1505,1054,1054,0,0,0,0,0,0
8272,2023-01-20 11:09:06.202489,180497166,1475,1457,1603,1423,1506,1505,1054,1054,0,0,0,0,0,0
8302,2023-01-20 11:09:06.302452,180597131,1452,1461,1577,1443,1505,1505,1055,1054,0,0,0,0,0,0
