LineNo,UTC_Approx,TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,Q1,Q2,Q3,Q4
5250,2023-01-20 11:08:56.922736,171197125,-0.43,3.44,174.81,742.08,39.8044271,32.3787956,0.04509485,-0.03016692,-0.002407558,0.9985242
5283,2023-01-20 11:08:57.022674,171297067,-0.13,2.67,174.44,742.19,39.8044257,32.3787958,0.04838907,-0.02337397,-4.636222E-05,0.9985551
5314,2023-01-20 11:08:57.122666,171397051,0.29,2.22,174.34,742.24,39.8044255,32.3787959,0.04936193,-0.01925442,0.003561811,0.998589
5349,2023-01-20 11:08:57.222682,171497060,0.83,2.47,174.49,742.34,39.8044248,32.3787971,0.04814906,-0.02118361,0.008320115,0.9985809
5379,2023-01-20 11:08:57.322725,171597101,1.28,2.95,174.61,742.46,39.8044245,32.3787977,0.04719567,-0.02521062,0.01238133,0.9984907
5414,2023-01-20 11:08:57.422696,171697079,1.9,3.34,174.69,742.58,39.8044247,32.3787979,0.04674313,-0.02841238,0.01794276,0.9983416
5444,2023-01-20 11:08:57.522643,171797062,2.58,2.66,174.84,742.74,39.8044246,32.3787984,0.04542929,-0.02224764,0.02355256,0.9984421
5477,2023-01-20 11:08:57.622627,171897067,2.36,2.23,175.5,742.8,39.8044248,32.3787982,0.03957368,-0.01866924,0.02137987,0.9988135
5507,2023-01-20 11:08:57.722652,171997059,2.18,1.97,176.19,742.93,39.8044248,32.3787984,0.03351732,-0.01655857,0.01965976,0.9991075
5542,2023-01-20 11:08:57.822729,172097111,2.16,1.4,176.99,743.13,39.8044245,32.3787984,0.02638198,-0.01176535,0.01921882,0.9993979
5574,2023-01-20 11:08:57.922722,172197109,1.72,1.65,177.98,743.26,39.8044243,32.3787985,0.01780406,-0.0142096,0.01528123,0.9996237
5609,2023-01-20 11:08:58.022691,172297081,2.72,1.48,178.32,743.33,39.8044248,32.3787995,0.01487248,-0.01259561,0.0239442,0.9995233
5639,2023-01-20 11:08:58.122711,172397098,4.53,-0.62,177.84,743.58,39.804425,32.3788,0.0185712,0.00622891,0.03944043,0.9990299
5674,2023-01-20 11:08:58.222962,172497347,5.16,-2.13,177.2,743.95,39.8044257,32.3787997,0.0234868,0.01967006,0.04458074,0.9985359
5704,2023-01-20 11:08:58.322680,172597066,4.23,-3.78,176.55,743.92,39.804426,32.3787999,0.02875855,0.03408698,0.03587793,0.9983606
5739,2023-01-20 11:08:58.422699,172697093,3.95,-4.42,175.55,743.98,39.8044259,32.3787995,0.03740659,0.03989582,0.0329654,0.9979591
5769,2023-01-20 11:08:58.522652,172797081,3.98,-4.34,174.17,744.35,39.804426,32.3787996,0.04938186,0.03958116,0.03275282,0.9974578
5802,2023-01-20 11:08:58.622646,172897094,3.59,-4.62,172.74,744.54,39.8044253,32.3787992,0.06186505,0.04221976,0.02876679,0.9967762
5832,2023-01-20 11:08:58.722665,172997076,3.02,-4.34,172.09,744.68,39.8044252,32.3787989,0.06782834,0.03965949,0.02367523,0.9966273
5867,2023-01-20 11:08:58.822696,173097083,2.36,-4.08,171.99,744.88,39.8044246,32.3787981,0.0690062,0.03699001,0.01808119,0.9967662
5899,2023-01-20 11:08:58.922730,173197133,2.17,-3.37,172.29,744.94,39.8044243,32.3787977,0.06657791,0.03064137,0.01691127,0.9971673
5933,2023-01-20 11:08:59.020609,173297088,1.17,-2.19,172.84,745.09,39.8044246,32.3787962,0.06214868,0.01978253,0.009032669,0.9978299
5964,2023-01-20 11:08:59.111539,173397124,-0.15,0.05,173.54,744.99,39.8044243,32.3787954,0.05627484,-0.0005462653,-0.001285498,0.9984143
