LineNo,UTC_Approx,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
8528,2023-01-20 11:09:07.002442,181297091,39.8043577,32.3787807,749.52,10.12351,10.60351
8558,2023-01-20 11:09:07.102449,181397095,39.8043568,32.378781,749.52,10.12019,10.60019
8593,2023-01-20 11:09:07.202570,181497214,39.8043559,32.3787815,749.51,10.11275,10.59275
8623,2023-01-20 11:09:07.302474,181597116,39.8043552,32.3787821,749.5,10.10789,10.58789
8659,2023-01-20 11:09:07.402508,181697149,39.8043546,32.3787827,749.5,10.10618,10.58618
8689,2023-01-20 11:09:07.502507,181797160,39.804354,32.3787834,749.51,10.11629,10.59629
8722,2023-01-20 11:09:07.602446,181897111,39.8043537,32.3787841,749.53,10.13522,10.61522
8752,2023-01-20 11:09:07.702460,181997104,39.8043534,32.3787847,749.56,10.16705,10.64705
8787,2023-01-20 11:09:07.802531,182097155,39.8043532,32.3787853,749.6,10.2077,10.6877
8819,2023-01-20 11:09:07.902510,182197146,39.8043531,32.3787858,749.66,10.26021,10.74021
8852,2023-01-20 11:09:08.002459,182297107,39.8043531,32.3787863,749.71,10.31494,10.79494
8882,2023-01-20 11:09:08.102470,182397136,39.8043529,32.3787867,749.76,10.36924,10.84923
8917,2023-01-20 11:09:08.202439,182497122,39.8043526,32.3787872,749.82,10.42194,10.90194
8947,2023-01-20 11:09:08.302444,182597104,39.8043523,32.3787879,749.87,10.47792,10.95792
8982,2023-01-20 11:09:08.402538,182697177,39.804352,32.3787886,749.94,10.5408,11.0208
9012,2023-01-20 11:09:08.502431,182797101,39.8043517,32.3787894,750.01,10.61156,11.09156
9045,2023-01-20 11:09:08.602404,182897104,39.8043514,32.3787901,750.08,10.68713,11.16713
9075,2023-01-20 11:09:08.702432,182997100,39.8043512,32.3787909,750.17,10.77052,11.25052
9110,2023-01-20 11:09:08.802468,183097104,39.804351,32.3787916,750.25,10.85873,11.33873
9144,2023-01-20 11:09:08.902507,183197156,39.8043508,32.3787924,750.35,10.95279,11.43279
9177,2023-01-20 11:09:09.002236,183297117,39.8043507,32.3787932,750.44,11.04598,11.52598
9207,2023-01-20 11:09:09.093288,183397070,39.8043506,32.3787939,750.54,11.14175,11.62175
9240,2023-01-20 11:09:09.184438,183497132,39.8043504,32.3787947,750.63,11.23563,11.71563
