LineNo,UTC_Approx,TimeUS,Vcc,VServo,Flags,AccFlags,Safety,MTemp,MVolt,MVmin,MVmax
9451,2023-01-20 11:09:09.880234,184194446,0,0,4,4,6,0,0,0,0
9483,2023-01-20 11:09:09.980363,184294598,0,0,4,4,6,0,0,0,0
9516,2023-01-20 11:09:10.080137,184394381,0,0,4,4,6,0,0,0,0
9547,2023-01-20 11:09:10.180349,184494597,0,0,4,4,6,0,0,0,0
9581,2023-01-20 11:09:10.280177,184594426,0,0,4,4,6,0,0,0,0
9611,2023-01-20 11:09:10.380296,184694546,0,0,4,4,6,0,0,0,0
9646,2023-01-20 11:09:10.480054,184794393,0,0,4,4,6,0,0,0,0
9678,2023-01-20 11:09:10.579997,184894447,0,0,4,4,6,0,0,0,0
9711,2023-01-20 11:09:10.679967,184994386,0,0,4,4,6,0,0,0,0
9741,2023-01-20 11:09:10.780163,185094515,0,0,4,4,6,0,0,0,0
9776,2023-01-20 11:09:10.880050,185194407,0,0,4,4,6,0,0,0,0
9808,2023-01-20 11:09:10.980098,185294478,0,0,4,4,6,0,0,0,0
9842,2023-01-20 11:09:11.080027,185394417,0,0,4,4,6,0,0,0,0
9872,2023-01-20 11:09:11.180082,185494479,0,0,4,4,6,0,0,0,0
9906,2023-01-20 11:09:11.279974,185594384,0,0,4,4,6,0,0,0,0
9936,2023-01-20 11:09:11.380025,185694449,0,0,4,4,6,0,0,0,0
9971,2023-01-20 11:09:11.479966,185794390,0,0,4,4,6,0,0,0,0
10001,2023-01-20 11:09:11.580048,185894468,0,0,4,4,6,0,0,0,0
10034,2023-01-20 11:09:11.679990,185994393,0,0,4,4,6,0,0,0,0
10064,2023-01-20 11:09:11.779996,186094379,0,0,4,4,6,0,0,0,0
10099,2023-01-20 11:09:11.880136,186194519,0,0,4,4,6,0,0,0,0
10131,2023-01-20 11:09:11.980004,186294393,0,0,4,4,6,0,0,0,0
10164,2023-01-20 11:09:12.079957,186394371,0,0,4,4,6,0,0,0,0
10195,2023-01-20 11:09:12.179951,186494395,0,0,4,4,6,0,0,0,0
10229,2023-01-20 11:09:12.279938,186594361,0,0,4,4,6,0,0,0,0
10260,2023-01-20 11:09:12.379979,186694370,0,0,4,4,6,0,0,0,0
10295,2023-01-20 11:09:12.479992,186794395,0,0,4,4,6,0,0,0,0
10325,2023-01-20 11:09:12.579957,186894383,0,0,4,4,6,0,0,0,0
10358,2023-01-20 11:09:12.680020,186994426,0,0,4,4,6,0,0,0,0
10388,2023-01-20 11:09:12.779993,187094368,0,0,4,4,6,0,0,0,0
10423,2023-01-20 11:09:12.880023,187194397,0,0,4,4,6,0,0,0,0
10455,2023-01-20 11:09:12.980047,187294428,0,0,4,4,6,0,0,0,0
10488,2023-01-20 11:09:13.079990,187394378,0,0,4,4,6,0,0,0,0
10519,2023-01-20 11:09:13.180004,187494399,0,0,4,4,6,0,0,0,0
10553,2023-01-20 11:09:13.280030,187594416,0,0,4,4,6,0,0,0,0
10583,2023-01-20 11:09:13.380004,187694378,0,0,4,4,6,0,0,0,0
10618,2023-01-20 11:09:13.479992,187794387,0,0,4,4,6,0,0,0,0
10648,2023-01-20 11:09:13.579951,187894375,0,0,4,4,6,0,0,0,0
10681,2023-01-20 11:09:13.679955,187994366,0,0,4,4,6,0,0,0,0
10711,2023-01-20 11:09:13.779989,188094376,0,0,4,4,6,0,0,0,0
10746,2023-01-20 11:09:13.880061,188194439,0,0,4,4,6,0,0,0,0
10778,2023-01-20 11:09:13.980046,188294420,0,0,4,4,6,0,0,0,0
10811,2023-01-20 11:09:14.079985,188394366,0,0,4,4,6,0,0,0,0
10842,2023-01-20 11:09:14.180003,188494395,0,0,4,4,6,0,0,0,0
10876,2023-01-20 11:09:14.280036,188594423,0,0,4,4,6,0,0,0,0
10908,2023-01-20 11:09:14.379998,188694376,0,0,4,4,6,0,0,0,0
10943,2023-01-20 11:09:14.480000,188794399,0,0,4,4,6,0,0,0,0
10973,2023-01-20 11:09:14.579939,188894367,0,0,4,4,6,0,0,0,0
11006,2023-01-20 11:09:14.679953,188994363,0,0,4,4,6,0,0,0,0
11036,2023-01-20 11:09:14.780006,189094385,0,0,4,4,6,0,0,0,0
11071,2023-01-20 11:09:14.880003,189194393,0,0,4,4,6,0,0,0,0
11103,2023-01-20 11:09:14.979978,189294388,0,0,4,4,6,0,0,0,0
11136,2023-01-20 11:09:15.079970,189394376,0,0,4,4,6,0,0,0,0
11167,2023-01-20 11:09:15.179982,189494377,0,0,4,4,6,0,0,0,0
11201,2023-01-20 11:09:15.279989,189594367,0,0,4,4,6,0,0,0,0
11234,2023-01-20 11:09:15.380002,189694362,0,0,4,4,6,0,0,0,0
11269,2023-01-20 11:09:15.480018,189794412,0,0,4,4,6,0,0,0,0
11301,2023-01-20 11:09:15.579919,189894360,0,0,4,4,6,0,0,0,0
11334,2023-01-20 11:09:15.679936,189994351,0,0,4,4,6,0,0,0,0
11364,2023-01-20 11:09:15.779979,190094349,0,0,4,4,6,0,0,0,0
11399,2023-01-20 11:09:15.880055,190194416,0,0,4,4,6,0,0,0,0
11431,2023-01-20 11:09:15.979997,190294358,0,0,4,4,6,0,0,0,0
11464,2023-01-20 11:09:16.080037,190394401,0,0,4,4,6,0,0,0,0
11495,2023-01-20 11:09:16.180000,190494367,0,0,4,4,6,0,0,0,0
11529,2023-01-20 11:09:16.279992,190594359,0,0,4,4,6,0,0,0,0
11559,2023-01-20 11:09:16.379991,190694356,0,0,4,4,6,0,0,0,0
11594,2023-01-20 11:09:16.479984,190794363,0,0,4,4,6,0,0,0,0
11624,2023-01-20 11:09:16.579957,190894354,0,0,4,4,6,0,0,0,0
11657,2023-01-20 11:09:16.679971,190994359,0,0,4,4,6,0,0,0,0
11687,2023-01-20 11:09:16.780026,191094400,0,0,4,4,6,0,0,0,0
11722,2023-01-20 11:09:16.879999,191194366,0,0,4,4,6,0,0,0,0
11754,2023-01-20 11:09:16.980003,191294365,0,0,4,4,6,0,0,0,0
11787,2023-01-20 11:09:17.079984,191394348,0,0,4,4,6,0,0,0,0
11818,2023-01-20 11:09:17.179996,191494363,0,0,4,4,6,0,0,0,0
11852,2023-01-20 11:09:17.279992,191594355,0,0,4,4,6,0,0,0,0
11882,2023-01-20 11:09:17.380024,191694380,0,0,4,4,6,0,0,0,0
11917,2023-01-20 11:09:17.479976,191794358,0,0,4,4,6,0,0,0,0
11947,2023-01-20 11:09:17.579935,191894350,0,0,4,4,6,0,0,0,0
11980,2023-01-20 11:09:17.679941,191994336,0,0,4,4,6,0,0,0,0
12010,2023-01-20 11:09:17.779965,192094327,0,0,4,4,6,0,0,0,0
12045,2023-01-20 11:09:17.880040,192194398,0,0,4,4,6,0,0,0,0
12077,2023-01-20 11:09:17.980005,192294367,0,0,4,4,6,0,0,0,0
12111,2023-01-20 11:09:18.080011,192394390,0,0,4,4,6,0,0,0,0
12142,2023-01-20 11:09:18.179967,192494365,0,0,4,4,6,0,0,0,0
12176,2023-01-20 11:09:18.272771,192594343,0,0,4,4,6,0,0,0,0
12206,2023-01-20 11:09:18.363801,192694343,0,0,4,4,6,0,0,0,0
12241,2023-01-20 11:09:18.460214,192794365,0,0,4,4,6,0,0,0,0
12271,2023-01-20 11:09:18.560119,192894341,0,0,4,4,6,0,0,0,0
12305,2023-01-20 11:09:18.660131,192994381,0,0,4,4,6,0,0,0,0
