LineNo,UTC_Approx,TimeUS,Dp,Blk,Bytes,FMn,FMx,FAv
62690,2023-01-20 11:11:51.252757,345906948,33,328,13295,11374,15573,13461
63016,2023-01-20 11:11:52.254753,346909130,33,325,13233,11719,16084,13720
63341,2023-01-20 11:11:53.257279,347911662,33,324,13185,12121,16324,14301
63668,2023-01-20 11:11:54.259776,348914157,33,326,13352,11220,15619,13481
63992,2023-01-20 11:11:55.262268,349916656,33,323,13156,11454,15762,13599
64318,2023-01-20 11:11:56.265246,350919615,33,325,13194,11929,16294,13939
64644,2023-01-20 11:11:57.267264,351921653,33,325,13247,11300,16272,13756
64973,2023-01-20 11:11:58.269767,352924131,33,328,13470,11387,15612,13560
65297,2023-01-20 11:11:59.265751,353926625,33,323,13156,11536,15836,13669
65669,2023-01-20 11:12:00.254816,354929143,33,371,14572,11843,16325,14031
65997,2023-01-20 11:12:01.257810,355932156,33,327,13266,11228,16291,13672
66324,2023-01-20 11:12:02.259857,356934202,33,326,13283,11403,15653,13513
66651,2023-01-20 11:12:03.262391,357936757,33,326,13257,11781,16205,13813
66977,2023-01-20 11:12:04.264766,358939120,33,325,13214,12159,16322,14329
67303,2023-01-20 11:12:05.267264,359941626,33,325,13214,11200,15570,13445
67632,2023-01-20 11:12:06.272277,360946646,33,328,13295,11572,15741,13637
67958,2023-01-20 11:12:07.274793,361949151,33,325,13214,11917,16341,13942
68286,2023-01-20 11:12:08.277244,362951616,33,327,13305,11224,16303,14039
68612,2023-01-20 11:12:09.279800,363954151,33,325,13214,11288,15658,13533
68940,2023-01-20 11:12:10.262480,364957003,33,327,13310,11607,15823,13705
69268,2023-01-20 11:12:11.264955,365959532,33,327,13252,11985,16353,14006
69595,2023-01-20 11:12:12.267023,366961634,33,326,13257,11277,16281,13771
69924,2023-01-20 11:12:13.269544,367964137,33,328,13332,11286,15656,13543
70251,2023-01-20 11:12:14.272432,368967042,33,326,13257,11658,15908,13765
70577,2023-01-20 11:12:15.275130,369969729,33,325,13214,12041,16344,14013
70906,2023-01-20 11:12:16.277047,370971643,33,328,13295,11338,16299,13819
71282,2023-01-20 11:12:17.279593,371974192,33,375,14689,11422,15618,13646
71609,2023-01-20 11:12:18.282128,372976725,33,326,13262,11710,16134,13766
71935,2023-01-20 11:12:19.264909,373979115,33,325,13224,12088,16331,14294
72262,2023-01-20 11:12:20.267646,374981938,33,326,13267,11316,16322,13717
72591,2023-01-20 11:12:21.269869,375984135,33,328,13295,11534,15706,13557
72917,2023-01-20 11:12:22.272285,376986645,33,325,13214,11813,16332,13912
73245,2023-01-20 11:12:23.274812,377989171,33,327,13305,11219,16319,14036
73571,2023-01-20 11:12:24.277275,378991636,33,325,13214,11197,15567,13465
73901,2023-01-20 11:12:25.280180,379994538,33,329,13371,11655,15865,13706
74253,2023-01-20 11:12:26.282966,380997347,33,351,14208,11972,16284,14113
74580,2023-01-20 11:12:27.284746,381999110,33,326,13257,11249,16344,13694
74907,2023-01-20 11:12:28.267532,383001679,33,326,13262,11333,15655,13492
75234,2023-01-20 11:12:29.281599,384004105,33,326,13257,11743,15996,13733
75561,2023-01-20 11:12:30.272522,385006918,33,326,13267,12073,16324,14303
75890,2023-01-20 11:12:31.274792,386009158,33,328,13295,11284,16329,13729
76216,2023-01-20 11:12:32.277232,387011627,33,325,13214,11368,15738,13558
76544,2023-01-20 11:12:33.279824,388014187,33,327,13316,11826,16213,13807
76920,2023-01-20 11:12:34.282275,389016677,33,375,14678,11897,16319,14223
77246,2023-01-20 11:12:35.285227,390019593,33,325,13214,11108,15499,13294
77574,2023-01-20 11:12:36.287289,391021662,33,327,13262,11566,15920,13516
77900,2023-01-20 11:12:37.289727,392024126,33,325,13214,11911,16335,14182
78228,2023-01-20 11:12:38.272426,393026648,33,327,13305,11218,16312,13949
78554,2023-01-20 11:12:39.274848,394029132,33,325,13214,11196,15566,13382
78882,2023-01-20 11:12:40.277738,395032102,33,327,13310,11601,16047,13597
79210,2023-01-20 11:12:41.279795,396034177,33,327,13252,11946,16316,14205
79537,2023-01-20 11:12:42.282311,397036678,33,326,13257,11301,16323,13987
79864,2023-01-20 11:12:43.284720,398039103,33,326,13262,11279,15601,13448
80193,2023-01-20 11:12:44.287254,399041618,33,328,13327,11619,16034,13624
80519,2023-01-20 11:12:45.292216,400046598,33,325,13214,12002,16321,14246
80847,2023-01-20 11:12:46.294755,401049123,33,327,13252,11246,16350,13710
81174,2023-01-20 11:12:47.297264,402051619,33,326,13257,11330,15700,13516
81502,2023-01-20 11:12:48.279870,403054181,33,327,13316,11788,16198,13814
81829,2023-01-20 11:12:49.282621,404056961,33,326,13257,12123,16340,14305
82205,2023-01-20 11:12:50.285167,405059526,33,375,14688,11319,16291,13737
82534,2023-01-20 11:12:51.287243,406061619,33,328,13295,11442,15819,13419
82860,2023-01-20 11:12:52.289827,407064185,33,325,13214,11787,16211,14051
83188,2023-01-20 11:12:53.292281,408066648,33,327,13305,12122,16328,14221
83513,2023-01-20 11:12:54.295061,409069424,33,324,13181,11312,16318,13620
83840,2023-01-20 11:12:55.297260,410071630,33,326,13257,11530,15945,13550
84168,2023-01-20 11:12:56.299809,411074151,33,327,13252,11875,16299,14143
84495,2023-01-20 11:12:57.282224,412076697,33,326,13257,11230,16290,13925
84822,2023-01-20 11:12:58.284626,413079121,33,326,13262,11208,15632,13409
85149,2023-01-20 11:12:59.287355,414081957,33,326,13257,11651,16109,13694
85476,2023-01-20 11:13:00.289521,415084118,33,326,13267,11981,16318,14226
85804,2023-01-20 11:13:01.291984,416086629,33,327,13252,11192,16325,13663
86131,2023-01-20 11:13:02.294544,417089146,33,326,13257,11276,15646,13458
86457,2023-01-20 11:13:03.296980,418091617,33,325,13214,11734,16192,13770
86791,2023-01-20 11:13:04.300097,419094684,33,333,13527,12112,16319,14317
87141,2023-01-20 11:13:05.302740,420097363,33,349,14170,11318,16330,13694
87470,2023-01-20 11:13:06.304524,421099119,33,328,13295,11445,15734,13481
87845,2023-01-20 11:13:07.287445,422101627,33,374,14635,11996,16210,14149
88172,2023-01-20 11:13:08.289871,423104115,33,326,13257,11141,16287,13796
88499,2023-01-20 11:13:09.292566,424106934,33,326,13282,11157,15581,13236
88826,2023-01-20 11:13:10.294783,425109149,33,326,13257,11683,16013,13880
89154,2023-01-20 11:13:11.297248,426111607,33,327,13252,11892,16278,14080
89481,2023-01-20 11:13:12.299761,427114144,33,326,13257,11209,16320,13853
89807,2023-01-20 11:13:13.302299,428116656,33,325,13214,11273,15646,13335
90137,2023-01-20 11:13:14.305197,429119580,33,329,13375,11771,16144,13991
90463,2023-01-20 11:13:15.307298,430121663,33,325,13214,11910,16334,14116
90791,2023-01-20 11:13:16.299896,431124117,33,327,13252,11270,16333,13863
91118,2023-01-20 11:13:17.292366,432126638,33,326,13257,11334,15661,13361
91444,2023-01-20 11:13:18.294744,433129143,33,325,13214,11837,16207,14042
91773,2023-01-20 11:13:19.297724,434132084,33,328,13358,12089,16314,14192
92100,2023-01-20 11:13:20.299778,435134177,33,326,13268,11280,16293,13578
92429,2023-01-20 11:13:21.302303,436136680,33,328,13295,11407,15860,13475
92755,2023-01-20 11:13:22.304713,437139106,33,325,13214,11905,16275,14106
93082,2023-01-20 11:13:23.307293,438141667,33,326,13257,11231,16320,13901
93458,2023-01-20 11:13:24.312231,439146613,33,375,14683,10858,15567,13034
93785,2023-01-20 11:13:25.314745,440149114,33,326,13257,11612,15939,13801
94112,2023-01-20 11:13:26.317255,441151651,33,326,13219,11821,16207,14002
94439,2023-01-20 11:13:27.299945,442154153,33,326,13257,11181,16313,13815
94765,2023-01-20 11:13:28.302593,443156963,33,325,13214,11202,15703,13284
95094,2023-01-20 11:13:29.302658,444157030,33,328,13358,11734,16070,13926
95420,2023-01-20 11:13:30.305166,445159541,33,325,13214,11856,16280,14057
95748,2023-01-20 11:13:31.307287,446161671,33,327,13252,11216,16319,13856
96075,2023-01-20 11:13:32.309745,447164140,33,326,13257,11280,15761,13339
96400,2023-01-20 11:13:33.312269,448166645,33,324,13185,11816,16236,14025
96727,2023-01-20 11:13:34.315025,449169419,33,326,13276,12097,16318,14183
97054,2023-01-20 11:13:35.317270,450171647,33,326,13352,11266,16285,13583
97381,2023-01-20 11:13:36.299966,451174166,33,326,13248,11359,15849,13455
97705,2023-01-20 11:13:37.302469,452176750,33,323,13156,11954,16320,14143
98029,2023-01-20 11:13:38.304750,453179128,33,323,13156,11087,16306,13635
98358,2023-01-20 11:13:39.307569,454181927,33,328,13453,11363,15518,13404
98682,2023-01-20 11:13:40.309727,455184115,33,323,13156,11516,16044,13641
99010,2023-01-20 11:13:41.312295,456186671,33,327,13266,12082,16225,14222
99334,2023-01-20 11:13:42.314725,457189112,33,323,13156,11172,16264,13681
99659,2023-01-20 11:13:43.317244,458191650,33,324,13185,11419,15872,13634
99987,2023-01-20 11:13:44.320167,459194540,33,327,13328,11869,16306,13979
100342,2023-01-20 11:13:45.311782,460197366,33,354,14498,11267,16319,13807
100668,2023-01-20 11:13:46.304626,461199114,33,325,13194,11210,15638,13352
100992,2023-01-20 11:13:47.307062,462201606,33,323,13156,11520,15969,13658
101316,2023-01-20 11:13:48.309489,463204118,33,323,13156,11131,16311,13961
101647,2023-01-20 11:13:49.312557,464207211,33,330,13571,11169,16267,13645
101972,2023-01-20 11:13:50.314695,465209324,33,324,13185,11287,15686,13421
102343,2023-01-20 11:13:51.317035,466211687,33,370,14499,11597,16133,13774
102671,2023-01-20 11:13:52.319572,467214189,33,327,13311,11089,16285,13870
102997,2023-01-20 11:13:53.322058,468216692,33,325,13214,11241,16333,13660
103326,2023-01-20 11:13:54.325092,469219716,33,328,13334,11459,15907,13577
103652,2023-01-20 11:13:55.307424,470221616,33,325,13214,11943,16259,14167
103980,2023-01-20 11:13:56.309951,471224116,33,327,13252,11306,16319,13963
104307,2023-01-20 11:13:57.312285,472226653,33,326,13257,11295,15665,13432
104633,2023-01-20 11:13:58.314764,473229137,33,325,13214,11666,16130,13776
104962,2023-01-20 11:13:59.317777,474232145,33,328,13358,12241,16328,14342
105287,2023-01-20 11:14:00.319775,475234145,33,324,13181,11226,16318,13679
105616,2023-01-20 11:14:01.322322,476236693,33,328,13295,11444,15733,13533
105942,2023-01-20 11:14:02.324757,477239130,33,325,13214,11701,16159,13800
106269,2023-01-20 11:14:03.327567,478241948,33,326,13257,12213,16336,14354
106595,2023-01-20 11:14:04.332605,479246976,33,325,13214,11274,15593,13465
106923,2023-01-20 11:14:05.327854,480249369,33,327,13305,11532,15859,13654
107251,2023-01-20 11:14:06.317281,481251651,33,327,13252,11827,16247,13899
107579,2023-01-20 11:14:07.319786,482254184,33,327,13311,11191,16291,13703
107954,2023-01-20 11:14:08.322630,483257006,33,374,14635,11359,15609,13552
108281,2023-01-20 11:14:09.325155,484259552,33,326,13267,11577,15982,13688
108609,2023-01-20 11:14:10.327303,485261668,33,327,13305,12008,16345,14204
108937,2023-01-20 11:14:11.329765,486264156,33,327,13252,11285,16323,13962
109264,2023-01-20 11:14:12.332301,487266678,33,326,13257,11317,15644,13418
109590,2023-01-20 11:14:13.335100,488269476,33,325,13214,11612,16070,13731
109917,2023-01-20 11:14:14.337263,489271658,33,326,13257,12187,16341,14309
110244,2023-01-20 11:14:15.319956,490274206,33,326,13262,11137,15453,13328
110575,2023-01-20 11:14:16.322325,491276691,33,330,13365,11443,15732,13535
110901,2023-01-20 11:14:17.324760,492279123,33,325,13214,11630,16088,13748
111227,2023-01-20 11:14:18.327574,493281959,33,325,13224,12205,16305,14313
111554,2023-01-20 11:14:19.329735,494284098,33,326,13267,11203,15466,13377
111882,2023-01-20 11:14:20.332306,495286693,33,327,13305,11456,15832,13573
112210,2023-01-20 11:14:21.334756,496289119,33,327,13252,11736,16156,13828
112537,2023-01-20 11:14:22.337268,497291629,33,326,13257,11130,16336,14008
112867,2023-01-20 11:14:23.327647,498294604,33,329,13382,11271,15608,13462
113266,2023-01-20 11:14:24.323175,499297353,33,398,15591,11577,15947,13672
113594,2023-01-20 11:14:25.324851,500299140,33,327,13305,11985,16253,14060
113922,2023-01-20 11:14:26.327337,501301652,33,327,13252,11214,16334,13845
114249,2023-01-20 11:14:27.329758,502304122,33,326,13257,11246,15573,13263
114575,2023-01-20 11:14:28.332638,503307002,33,325,13214,11749,15999,13932
114903,2023-01-20 11:14:29.334753,504309117,33,327,13310,12116,16285,14162
115230,2023-01-20 11:14:30.337245,505311613,33,326,13262,11287,16315,13876
115559,2023-01-20 11:14:31.339797,506314166,33,328,13295,11319,15705,13338
115885,2023-01-20 11:14:32.342338,507316693,33,325,13214,11817,16067,13998
116212,2023-01-20 11:14:33.339230,508319666,33,326,13257,12184,16319,14234
116537,2023-01-20 11:14:34.327130,509321602,33,324,13181,11182,15519,13285
116865,2023-01-20 11:14:35.329570,510324116,33,327,13305,11488,15810,13509
117193,2023-01-20 11:14:36.332047,511326653,33,327,13252,11905,16155,14093
117520,2023-01-20 11:14:37.334499,512329134,33,326,13257,11129,16315,13921
117846,2023-01-20 11:14:38.337503,513332145,33,325,13214,11270,15586,13374
118174,2023-01-20 11:14:39.339503,514334144,33,327,13321,11576,15990,13635
118502,2023-01-20 11:14:40.342046,515336674,33,327,13305,12026,16228,14197
118879,2023-01-20 11:14:41.344479,516339119,33,376,14673,11160,16350,13919
