LineNo,UTC_Approx,TimeUS,RDes,R,ROut,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut
5599,2023-01-20 11:08:58.022447,172296837,15.2079,20.37415,-0.0009914935,-10.2083,-13.85912,0.01772621,-16.44229,-2.005983,-0.05981358,-63.96965,-17.78727,0.3341254
5629,2023-01-20 11:08:58.122492,172396879,0.5404558,22.73999,-0.02838826,-6.679875,-22.83487,0.05189891,-14.39328,-4.834301,-0.04534651,-108.1204,3.162384,0.322596
5664,2023-01-20 11:08:58.222715,172497100,-7.33862,-1.535672,0.01933104,-5.909458,-14.36692,0.009955432,-11.40904,-5.754888,-0.03224976,-160.3994,-37.39624,0.2946999
5694,2023-01-20 11:08:58.322440,172596826,-5.003731,-10.90515,0.08515675,-0.09243806,-19.00895,0.07441307,-8.029305,-6.314961,-0.02144924,-173.3986,-90.41538,0.2830095
5727,2023-01-20 11:08:58.422432,172696826,-6.0321,-4.815897,0.0350753,8.996957,-3.279422,0.04405752,-2.681964,-11.02627,0.00199553,-161.5659,-91.35094,0.2831353
5759,2023-01-20 11:08:58.522398,172796827,-7.702669,0.7513607,0.007087055,7.739236,0.3903156,0.017463,5.088952,-16.17397,0.03375705,-139.0421,-99.48854,0.2904356
5792,2023-01-20 11:08:58.622375,172896823,-10.20507,-9.029163,0.04950644,13.11207,-4.049625,0.09033735,12.58014,-10.34447,0.06082939,-71.41489,-95.9095,0.301475
5822,2023-01-20 11:08:58.722409,172996820,-10.14305,-10.61343,0.06106243,14.91001,-2.862574,0.1000171,16.2382,-3.504914,0.06543625,-23.18786,-97.31598,0.3301338
5857,2023-01-20 11:08:58.822430,173096817,-9.888174,-10.67867,0.07236996,16.43544,-1.404642,0.1105263,17.00141,0.635891,0.05967292,14.66135,22.35279,0.3356792
5887,2023-01-20 11:08:58.922433,173196836,-16.99661,-7.907651,0.03243445,18.42622,8.572013,0.03160203,14.69226,2.680569,0.04827753,-17.94042,17.87634,0.3234823
5922,2023-01-20 11:08:59.020379,173296835,-22.15765,-14.78717,0.03385757,25.61859,17.66628,0.04637821,10.60631,5.644391,0.03350352,-73.48101,-25.50125,0.304315
5954,2023-01-20 11:08:59.111350,173396916,-29.15562,-19.86413,0.02740189,14.75781,14.85141,0.04453908,0.7002627,7.876203,0.009213373,-84.23794,-77.28453,0.2988075
5989,2023-01-20 11:08:59.202678,173497122,-22.68888,-18.85157,-0.002110759,1.440868,0.4751368,0.02163102,-7.289979,7.401743,-0.02167867,-50.27902,-48.10934,0.3081193
6019,2023-01-20 11:08:59.302375,173596816,-17.98332,-15.49869,0.03280118,-21.69113,-11.44913,0.04446996,-13.45621,4.747318,-0.04196621,-14.3115,-37.70933,0.3108953
6052,2023-01-20 11:08:59.402779,173696939,-14.05272,-3.159081,-0.02564626,-19.85332,-23.57256,0.01781688,-14.84954,-3.352461,-0.04228658,-15.41517,-29.01049,0.3242368
6083,2023-01-20 11:08:59.513770,173796825,-16.98684,-8.756724,0.0167448,-16.42132,-19.03335,0.02888164,-14.37414,-7.563177,-0.03210149,-13.89785,-9.011364,0.3186393
6116,2023-01-20 11:08:59.620372,173896838,-17.38029,-18.95424,0.06762306,-2.027107,-17.72085,0.1129893,-12.44247,-8.381691,-0.02047008,-28.29697,-26.4554,0.3152622
6146,2023-01-20 11:08:59.711261,173996822,-15.2397,-16.13175,0.02909448,-0.7297421,5.443571,-0.02086681,-9.698808,-9.247689,-0.01078242,-29.07233,-15.88612,0.3179869
6182,2023-01-20 11:08:59.802396,174096837,-3.615094,-11.39114,0.04560508,12.47863,0.3383267,0.1044618,-6.840022,-6.563871,-0.004646651,-38.60754,-18.80941,0.3146521
6212,2023-01-20 11:08:59.902358,174196829,-3.807385,0.9787492,0.01028993,14.46774,15.1285,0.04118243,-5.907295,-4.60442,5.176422E-06,-46.65985,-18.02645,0.3043775
6247,2023-01-20 11:09:00.002328,174296830,0.9634929,14.53384,-0.05207147,13.93575,21.54179,-0.002506196,-6.08292,-2.981146,-0.004785151,-26.51613,-29.3292,0.3052528
6277,2023-01-20 11:09:00.102355,174396930,-3.780055,-4.53893,0.07167812,6.586095,16.08136,0.02173502,-9.171472,-0.5606596,-0.01660495,-21.1433,-17.54313,0.3121438
6312,2023-01-20 11:09:00.202474,174497120,1.670721,4.580558,0.008829594,12.06907,16.96498,-0.009942891,-11.57118,-1.568621,-0.02785559,-37.00278,-3.647232,0.3071356
6342,2023-01-20 11:09:00.302224,174596818,-2.758614,1.983928,0.03982776,4.609515,5.664868,0.06667364,-14.73791,-0.9007753,-0.03642421,-25.33749,-36.56731,0.3016702
6375,2023-01-20 11:09:00.402284,174696829,0.5619435,-2.047048,0.032361,0.748876,10.02779,-0.01469866,-16.26843,-3.389765,-0.04278243,3.515787,-27.68764,0.3195534
6409,2023-01-20 11:09:00.502218,174796818,-9.015193,-3.29412,0.01032432,8.867275,17.69823,-0.04018922,-20.92221,-4.725234,-0.04706013,45.48177,9.126091,0.3290189
6442,2023-01-20 11:09:00.602184,174896836,-2.471347,-6.178022,0.05545586,4.126925,11.72594,0.003214401,-23.7003,-4.512606,-0.05650813,62.14693,20.82539,0.3400236
6472,2023-01-20 11:09:00.702200,174996820,-5.201189,8.623536,-0.05120299,8.453107,10.44636,0.01800468,-26.4483,-3.021123,-0.06515532,70.0594,38.93538,0.3415382
6508,2023-01-20 11:09:00.802246,175096835,0.7731142,-0.1492534,0.0393223,4.308256,2.581306,0.0447139,-26.78424,-5.792171,-0.07067249,56.02472,57.83806,0.33707
6538,2023-01-20 11:09:00.902324,175196937,22.44243,17.12442,0.003115647,14.70158,8.934652,0.009139076,-27.63518,-5.223082,-0.07214535,4.152863,30.90296,0.3241525
6573,2023-01-20 11:09:01.002193,175296827,23.00757,28.26136,0.04382106,13.28463,17.6106,-0.0156595,-28.83839,-2.098392,-0.08149491,-17.41444,29.19788,0.317413
6603,2023-01-20 11:09:01.102278,175396837,16.64845,25.25312,-0.01565505,17.74753,7.690061,0.05851658,-30.81725,-1.185573,-0.08954927,-23.79204,-14.47144,0.310525
6638,2023-01-20 11:09:01.202665,175497152,3.477979,21.3272,-0.05013148,12.5273,10.16447,0.02268795,-31.29444,-4.506877,-0.09433783,-9.977251,-29.96063,0.3185906
6668,2023-01-20 11:09:01.302249,175596804,0.6135669,9.467001,-0.009513501,7.717881,2.615461,0.06508715,-30.34173,-6.653502,-0.08859452,-32.92324,-17.51699,0.3240507
6701,2023-01-20 11:09:01.402206,175696828,-2.799545,8.566198,-0.01472938,5.70569,4.840434,0.01217336,-27.62684,-8.814045,-0.0783193,-53.39147,-24.1436,0.3124177
6733,2023-01-20 11:09:01.502156,175796805,0.3007913,4.284674,-0.004219952,6.016612,7.849826,0.01249238,-24.47913,-9.653494,-0.06648444,-10.70801,-63.13524,0.3212991
6766,2023-01-20 11:09:01.602252,175896927,4.628001,9.264063,-0.0008169794,-0.4330375,2.732681,0.03079732,-20.8452,-9.353578,-0.05579754,-12.55611,-27.29301,0.341313
6797,2023-01-20 11:09:01.702207,175996876,-9.164558,2.004567,-0.02071867,4.503239,-7.49137,0.08272886,-18.15597,-6.96737,-0.04762457,23.08929,-22.52073,0.3396589
6832,2023-01-20 11:09:01.802169,176096833,-22.09103,-11.04458,-0.01784575,0.6972368,5.294533,-0.02311762,-15.37871,-7.59,-0.04285807,28.31952,6.520939,0.3470046
6862,2023-01-20 11:09:01.902173,176196833,-23.5662,-15.84671,-0.01189942,3.04437,6.688957,-0.03310243,-12.53629,-8.36452,-0.03385956,29.77577,22.16644,0.3467979
6897,2023-01-20 11:09:02.002184,176296840,-19.8328,-19.86186,0.01179045,-1.419743,-12.72171,0.1231977,-9.388551,-5.369077,-0.02542069,-11.73004,1.490593,0.3366702
