LineNo,UTC_Approx,TimeUS,C,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23
158840,2023-01-20 11:16:42.441712,637696080,0,6.978279E-11,1.984903E-08,3.482266E-08,2.798675E-09,4.002083E-06,2.928943E-06,8.445665E-05,2.697325E-06,1.712036E-06,8.144019E-05,0,0
159002,2023-01-20 11:16:42.941691,638196071,0,6.976888E-11,1.984192E-08,3.483085E-08,2.803417E-09,4.005274E-06,2.929314E-06,8.440802E-05,2.697125E-06,1.711635E-06,8.139212E-05,0,0
159167,2023-01-20 11:16:43.441702,638696071,0,6.97423E-11,1.983281E-08,3.483891E-08,2.807603E-09,4.008283E-06,2.929675E-06,8.434981E-05,2.696923E-06,1.711215E-06,8.133394E-05,0,0
159329,2023-01-20 11:16:43.941695,639196081,0,6.972599E-11,1.982645E-08,3.48471E-08,2.812694E-09,4.0115E-06,2.930093E-06,8.429804E-05,2.696748E-06,1.71085E-06,8.128271E-05,0,0
159493,2023-01-20 11:16:44.441702,639696070,0,6.969251E-11,1.981811E-08,3.485529E-08,2.817267E-09,4.013999E-06,2.930481E-06,8.426152E-05,2.696586E-06,1.710474E-06,8.12474E-05,0,0
159655,2023-01-20 11:16:44.941691,640196072,0,6.966286E-11,1.981077E-08,3.486349E-08,2.822202E-09,4.01686E-06,2.930883E-06,8.421903E-05,2.696377E-06,1.710131E-06,8.120651E-05,0,0
159820,2023-01-20 11:16:45.441749,640696120,0,6.963024E-11,1.980007E-08,3.487177E-08,2.826508E-09,4.019402E-06,2.931306E-06,8.417018E-05,2.696042E-06,1.709803E-06,8.115987E-05,0,0
159984,2023-01-20 11:16:45.941716,641196086,0,6.959671E-11,1.979104E-08,3.487996E-08,2.831281E-09,4.022451E-06,2.931702E-06,8.411176E-05,2.695694E-06,1.709495E-06,8.110372E-05,0,0
160148,2023-01-20 11:16:46.441743,641696107,0,6.95653E-11,1.977991E-08,3.488815E-08,2.835715E-09,4.024951E-06,2.932112E-06,8.406491E-05,2.695483E-06,1.709171E-06,8.105888E-05,0,0
160310,2023-01-20 11:16:46.941691,642196071,0,6.953303E-11,1.97708E-08,3.489634E-08,2.840601E-09,4.026892E-06,2.932479E-06,8.404052E-05,2.695331E-06,1.708868E-06,8.103605E-05,0,0
