LineNo,UTC_Approx,TimeUS,TPD,PD,DVD,TVD,VD,DAD,TAD,AD
21292,2023-01-20 11:09:45.902782,220297227,-41.39829,-41.69947,-0.9016787,-0.600502,-0.6307539,0,0.1626572,0.02729702
21324,2023-01-20 11:09:46.002741,220397222,-41.48848,-41.78558,-0.9016787,-0.6045743,-0.6541192,0,0.1570067,0.05505657
21355,2023-01-20 11:09:46.102864,220497311,-41.57867,-41.8692,-0.9016787,-0.6111465,-0.6232709,0,0.09877736,-0.08276463
21389,2023-01-20 11:09:46.202793,220597207,-41.66885,-41.95041,-0.9016787,-0.6201162,-0.6520618,0,0.07742045,-0.03732681
21423,2023-01-20 11:09:46.302797,220697225,-41.75904,-42.03506,-0.9016787,-0.6256632,-0.6573963,0,0.1505192,-0.3459406
21455,2023-01-20 11:09:46.402778,220797220,-41.84923,-42.12113,-0.9016787,-0.6297745,-0.6886609,0,0.2206592,0.09585857
21486,2023-01-20 11:09:46.502758,220897211,-41.93941,-42.20362,-0.9016787,-0.6374698,-0.6734702,0,0.1558164,0.133049
21519,2023-01-20 11:09:46.602755,220997218,-42.0296,-42.28547,-0.9016787,-0.6458096,-0.6683762,0,0.065975,0.0875988
21552,2023-01-20 11:09:46.702829,221097284,-42.11979,-42.36861,-0.9016787,-0.6528555,-0.6449739,0,0.01424481,-0.08386421
21586,2023-01-20 11:09:46.802898,221197346,-42.20998,-42.4514,-0.9016787,-0.6602481,-0.6377381,0,-0.03076832,-0.01533508
21618,2023-01-20 11:09:46.902769,221297238,-42.30016,-42.53139,-0.9016787,-0.6704483,-0.6470196,0,-0.09035185,-0.06587029
21650,2023-01-20 11:09:47.002781,221397271,-42.39035,-42.61163,-0.9016787,-0.6803995,-0.6520511,0,-0.1351325,-0.1460819
21681,2023-01-20 11:09:47.102779,221497275,-42.48054,-42.69296,-0.9016787,-0.6892618,-0.6667286,0,-0.1667572,0.1568995
21715,2023-01-20 11:09:47.202707,221597210,-42.57072,-42.77802,-0.9016787,-0.694379,-0.6884677,0,-0.1038531,-0.3062286
21749,2023-01-20 11:09:47.302700,221697229,-42.66091,-42.86608,-0.9016787,-0.6965079,-0.71987,0,0.0982433,-0.4486532
21781,2023-01-20 11:09:47.402771,221797326,-42.7511,-42.95831,-0.9016787,-0.6944668,-0.736441,0,0.2314098,0.05440807
21812,2023-01-20 11:09:47.502598,221897190,-42.84129,-43.05248,-0.9016787,-0.6904825,-0.7470203,0,0.2235268,0.2686367
21894,2023-01-20 11:09:47.602570,221997199,-42.93147,-43.14582,-0.9016787,-0.687333,-0.7168725,0,0.1748049,-0.08278465
21927,2023-01-20 11:09:47.702588,222097198,-43.02159,-43.24016,-0.9016787,-0.6831094,-0.7372439,0,0.2720667,-0.174242
21961,2023-01-20 11:09:47.802639,222197229,-43.11171,-43.33535,-0.9016787,-0.6780362,-0.7635252,0,0.3517478,-0.01852894
21993,2023-01-20 11:09:47.902653,222297210,-43.20183,-43.43256,-0.9016787,-0.6709512,-0.7766928,0,0.465154,-0.1470041
22025,2023-01-20 11:09:48.002683,222397208,-43.29195,-43.52719,-0.9016787,-0.6664444,-0.7763399,0,0.51388,0.0009651184
22056,2023-01-20 11:09:48.102682,222497247,-43.38207,-43.61599,-0.9016787,-0.667753,-0.7583096,0,0.5149997,-0.02564716
22090,2023-01-20 11:09:48.202596,222597200,-43.47219,-43.70613,-0.9016787,-0.6677383,-0.7612736,0,0.4954932,0.04453468
22124,2023-01-20 11:09:48.302619,222697230,-43.56231,-43.79573,-0.9016787,-0.6682559,-0.7448421,0,0.4711698,0.1480827
22156,2023-01-20 11:09:48.402605,222797224,-43.65242,-43.88034,-0.9016787,-0.673754,-0.7291185,0,0.3153262,0.4241257
22187,2023-01-20 11:09:48.502545,222897200,-43.74254,-43.95635,-0.9016787,-0.6878653,-0.7229511,0,0.1936892,-0.03738689
22220,2023-01-20 11:09:48.602522,222997211,-43.83266,-44.03023,-0.9016787,-0.7041055,-0.7238701,0,0.1051376,-0.1377821
22253,2023-01-20 11:09:48.702596,223097244,-43.92278,-44.10085,-0.9016787,-0.7236026,-0.728816,0,0.1118248,-0.4918861
22287,2023-01-20 11:09:48.802614,223197222,-44.01289,-44.1758,-0.9016787,-0.7387686,-0.738134,0,0.05551455,0.2131844
22319,2023-01-20 11:09:48.902618,223297225,-44.10302,-44.24618,-0.9016787,-0.7585196,-0.7243441,0,-0.05576754,-0.08880138
22351,2023-01-20 11:09:49.002590,223397196,-44.19313,-44.31995,-0.9016787,-0.7748672,-0.745836,0,-0.05865131,-0.2708893
22382,2023-01-20 11:09:49.102590,223497194,-44.28325,-44.3872,-0.9016787,-0.7977334,-0.764467,0,-0.1317659,-0.1107988
22415,2023-01-20 11:09:49.202607,223597209,-44.37337,-44.45672,-0.9016787,-0.8183292,-0.7417364,0,-0.2617693,0.0924921
22450,2023-01-20 11:09:49.302628,223697238,-44.46349,-44.52509,-0.9016787,-0.8400723,-0.7388569,0,-0.4125979,0.04298401
22482,2023-01-20 11:09:49.402643,223797260,-44.55361,-44.59734,-0.9016787,-0.8579434,-0.7537564,0,-0.5060059,0.2939663
22513,2023-01-20 11:09:49.502585,223897217,-44.64373,-44.66201,-0.9016787,-0.8833877,-0.7427785,0,-0.6717271,0.2438049
22546,2023-01-20 11:09:49.602574,223997221,-44.73384,-44.73311,-0.9016787,-0.9024112,-0.7673796,0,-0.7076346,-0.4580231
22580,2023-01-20 11:09:49.702568,224097200,-44.82396,-44.79979,-0.9016787,-0.9258487,-0.8245638,0,-0.6450106,-0.4512606
22614,2023-01-20 11:09:49.802625,224197242,-44.91408,-44.87727,-0.9016787,-0.9384903,-0.8352142,0,-0.53241,-0.2789087
22647,2023-01-20 11:09:49.902631,224297239,-45.0042,-44.95271,-0.9016787,-0.9531729,-0.8598426,0,-0.5201893,-0.01752853
22679,2023-01-20 11:09:50.002643,224397243,-45.09431,-45.03682,-0.9016787,-0.9591787,-0.8277591,0,-0.5329003,-0.1796341
22710,2023-01-20 11:09:50.102707,224497311,-45.18443,-45.12453,-0.9016787,-0.9615762,-0.8870507,0,-0.3795103,-0.5156641
22743,2023-01-20 11:09:50.202598,224597205,-45.27455,-45.22363,-0.9016787,-0.9526016,-0.9399227,0,-0.09966218,-0.4018488
22778,2023-01-20 11:09:50.302601,224697221,-45.36467,-45.325,-0.9016787,-0.9413467,-0.9250162,0,0.004430798,0.1649504
22810,2023-01-20 11:09:50.402581,224797214,-45.45479,-45.43005,-0.9016787,-0.92642,-0.945631,0,-0.001409586,0.09972382
22843,2023-01-20 11:09:50.502522,224897195,-45.54491,-45.53588,-0.9016787,-0.9107119,-0.922559,0,0.01452752,0.1363955
22876,2023-01-20 11:09:50.602532,224997242,-45.63503,-45.64354,-0.9016787,-0.8931729,-0.8941022,0,0.05627529,0.02353668
22909,2023-01-20 11:09:50.702559,225097224,-45.72515,-45.75418,-0.9016787,-0.8726407,-0.9400163,0,0.1991107,-0.05936432
22943,2023-01-20 11:09:50.802618,225197239,-45.81526,-45.86484,-0.9016787,-0.8520987,-0.9113386,0,0.312977,0.1288376
22975,2023-01-20 11:09:50.902609,225297224,-45.90538,-45.97407,-0.9016787,-0.8329874,-0.902491,0,0.3149549,0.2830744
23007,2023-01-20 11:09:51.002585,225397195,-45.9955,-46.08265,-0.9016787,-0.8145254,-0.8822186,0,0.3172908,0.1610661
23038,2023-01-20 11:09:51.102587,225497212,-46.08561,-46.19004,-0.9016787,-0.7972549,-0.854726,0,0.3152617,0.1354809
23071,2023-01-20 11:09:51.202562,225597202,-46.17573,-46.29678,-0.9016787,-0.7806338,-0.8495633,0,0.3181148,0.3035364
23106,2023-01-20 11:09:51.302688,225697326,-46.26586,-46.40155,-0.9016787,-0.7659854,-0.8160082,0,0.2879485,0.3242102
23138,2023-01-20 11:09:51.402605,225797242,-46.35598,-46.50304,-0.9016787,-0.7546133,-0.7656842,0,0.198969,0.3356457
23169,2023-01-20 11:09:51.502585,225897223,-46.44609,-46.60527,-0.9016787,-0.7425039,-0.7773509,0,0.1216019,0.07483387
23202,2023-01-20 11:09:51.602578,225997216,-46.53621,-46.70454,-0.9016787,-0.7333438,-0.7499489,0,0.1410991,-0.1254435
23235,2023-01-20 11:09:51.702566,226097182,-46.62633,-46.80502,-0.9016787,-0.7229825,-0.7779831,0,0.1858307,0.4269505
