LineNo,UTC_Approx,TimeUS,C,Cnt,IMUMin,IMUMax,EKFMin,EKFMax,AngMin,AngMax,VMin,VMax
91531,2023-01-20 11:13:18.561712,433396072,0,408,0.0025,0.0025,0.01248555,0.01251409,0.011036,0.01304276,0.01103598,0.01304279
93248,2023-01-20 11:13:23.661637,438496076,0,408,0.0025,0.0025,0.01248525,0.01251411,0.01103598,0.01304276,0.01103598,0.0130427
94914,2023-01-20 11:13:28.741715,443596090,0,408,0.0025,0.0025,0.01248544,0.01251411,0.01103596,0.0130427,0.01103594,0.01304267
96582,2023-01-20 11:13:33.841716,448696081,0,408,0.0025,0.0025,0.01248552,0.01251401,0.01103592,0.01304261,0.01103592,0.01304265
98243,2023-01-20 11:13:38.921715,453796082,0,408,0.0025,0.0025,0.01248552,0.01251401,0.01103587,0.0130426,0.01103584,0.01304263
99904,2023-01-20 11:13:44.021715,458896079,0,408,0.0025,0.0025,0.01248543,0.01251405,0.01103587,0.01304259,0.01103584,0.01304258
101566,2023-01-20 11:13:49.101449,463996068,0,408,0.0025,0.0025,0.01248528,0.01251405,0.0110358,0.01304251,0.01103583,0.01304253
103278,2023-01-20 11:13:54.201481,469096091,0,408,0.0025,0.0025,0.01248521,0.01251389,0.01103582,0.01304253,0.01103577,0.01304247
104946,2023-01-20 11:13:59.281741,474196102,0,408,0.0025,0.0025,0.01248538,0.01251392,0.01103579,0.01304249,0.01103577,0.01304247
106615,2023-01-20 11:14:04.381705,479296079,0,408,0.0025,0.0025,0.01248534,0.01251384,0.01103574,0.01304243,0.01103577,0.01304246
108332,2023-01-20 11:14:09.461676,484396071,0,408,0.0025,0.0025,0.01248528,0.0125138,0.01103574,0.01304243,0.01103576,0.01304246
109998,2023-01-20 11:14:14.561660,489496071,0,408,0.0025,0.0025,0.01248506,0.01251371,0.01103574,0.01304243,0.01103571,0.0130424
111668,2023-01-20 11:14:19.641654,494596072,0,408,0.0025,0.0025,0.01248492,0.01251355,0.01103576,0.01304247,0.01103577,0.01304246
113386,2023-01-20 11:14:24.721894,499696078,0,408,0.0025,0.0025,0.01248468,0.0125134,0.01103575,0.0130425,0.01103576,0.01304247
115054,2023-01-20 11:14:29.821718,504796092,0,408,0.0025,0.0025,0.01248471,0.0125134,0.01103579,0.0130425,0.01103579,0.01304247
