FrameIndex,VideoTimeSec,Status,SearchMode,Latitude,Longitude,MapCenterXPx,MapCenterYPx,Score,TileId,MatchCount,InlierCount,InlierRatio,MeanMatchConfidence,ReprojectionErrorPx
26204,436.733,localized,track_local,39.80331232,32.38173748,1063.50,909.85,81.5260,tile_512px_0015,42,34,0.8095,0.7313,1.4300
26211,436.85,localized,track_local,39.80331806,32.38173758,1063.53,908.61,82.3728,tile_512px_0015,40,34,0.8500,0.6946,1.4313
26218,436.967,localized,track_local,39.80332315,32.38174072,1064.05,907.52,74.0172,tile_512px_0015,42,31,0.7381,0.6651,1.7029
26225,437.083,localized,track_local,39.80332958,32.38173818,1063.64,906.13,81.2303,tile_512px_0015,39,33,0.8462,0.7328,1.3103
26233,437.217,localized,track_local,39.80333782,32.38174530,1064.84,904.37,87.6050,tile_512px_0015,43,37,0.8605,0.7410,1.4917
26241,437.35,localized,track_local,39.80334661,32.38175035,1065.69,902.48,80.6743,tile_512px_0015,42,34,0.8095,0.6590,1.6023
26249,437.483,localized,track_local,39.80335590,32.38175343,1066.21,900.49,75.4792,tile_512px_0015,38,31,0.8158,0.5790,1.7122
26256,437.6,localized,telemetry_prior,39.80335928,32.38175171,1065.93,899.76,72.3342,tile_512px_0015,40,30,0.7500,0.6054,1.6261
26265,437.75,localized,track_local,39.80336653,32.38175291,1066.14,898.20,75.0002,tile_512px_0015,33,29,0.8788,0.6315,1.5717
26272,437.867,localized,track_local,39.80337949,32.38175644,1066.75,895.41,77.7973,tile_512px_0015,32,30,0.9375,0.5983,1.7475
26280,438.0,localized,telemetry_prior,39.80338510,32.38176113,1067.53,894.21,84.7191,tile_512px_0015,39,35,0.8974,0.6301,1.3396
26287,438.117,localized,track_local,39.80339268,32.38176172,1067.64,892.58,78.8703,tile_512px_0015,43,34,0.7907,0.5387,1.6504
26295,438.25,localized,track_local,39.80339201,32.38177382,1069.65,892.74,84.8287,tile_512px_0015,38,35,0.9211,0.5886,1.5853
26303,438.383,localized,track_local,39.80339454,32.38178241,1071.08,892.20,78.1249,tile_512px_0015,42,33,0.7857,0.6350,1.7284
26311,438.517,localized,track_local,39.80340796,32.38179058,1072.46,889.33,71.7676,tile_512px_0015,37,29,0.7838,0.5879,1.5001
26318,438.633,localized,track_local,39.80341567,32.38179970,1073.98,887.68,67.5318,tile_512px_0015,35,26,0.7429,0.7289,1.3909
26326,438.767,localized,track_local,39.80342887,32.38180836,1075.44,884.84,69.6237,tile_512px_0015,38,28,0.7368,0.6454,1.2475
26334,438.9,localized,track_local,39.80342801,32.38181251,1076.13,885.04,67.8242,tile_512px_0015,34,26,0.7647,0.6707,1.0983
26341,439.017,localized,track_local,39.80342657,32.38181317,1076.23,885.35,63.6712,tile_512px_0015,36,25,0.6944,0.6331,1.3239
26349,439.15,localized,track_local,39.80343261,32.38182083,1077.52,884.05,71.2868,tile_512px_0015,33,27,0.8182,0.7095,1.1376
26356,439.267,localized,track_local,39.80343736,32.38182364,1077.99,883.03,54.0250,tile_512px_0015,29,19,0.6552,0.6653,1.0438
26365,439.417,localized,track_local,39.80344875,32.38183314,1079.58,880.59,64.5263,tile_512px_0015,31,24,0.7742,0.6236,1.2476
26371,439.517,localized,track_local,39.80345510,32.38183473,1079.86,879.23,70.6570,tile_512px_0015,33,27,0.8182,0.6511,1.1993
26378,439.633,localized,track_local,39.80345875,32.38183784,1080.38,878.45,54.6219,tile_512px_0015,30,20,0.6667,0.5472,1.1338
26385,439.75,localized,track_local,39.80346870,32.38184181,1081.05,876.31,81.0659,tile_512px_0015,38,33,0.8684,0.6677,1.5512
26392,439.867,localized,track_local,39.80347277,32.38184614,1081.78,875.44,64.8389,tile_512px_0016,27,23,0.8519,0.5804,1.3610
26401,440.017,localized,track_local,39.80347635,32.38185214,1082.78,874.68,60.4599,tile_512px_0015,32,23,0.7188,0.5269,1.1620
26411,440.183,localized,track_local,39.80348394,32.38186500,1084.92,873.06,82.2508,tile_512px_0015,40,34,0.8500,0.6609,1.1448
26419,440.317,localized,track_local,39.80349177,32.38187512,1086.61,871.38,76.8458,tile_512px_0015,38,31,0.8158,0.6822,1.2666
26426,440.433,localized,track_local,39.80349861,32.38187667,1086.88,869.91,81.9041,tile_512px_0015,41,34,0.8293,0.6813,1.0493
26434,440.567,localized,track_local,39.80350465,32.38188559,1088.37,868.62,87.6726,tile_512px_0015,40,36,0.9000,0.7404,0.9752
26443,440.717,localized,track_local,39.80351163,32.38189509,1089.96,867.13,93.5677,tile_512px_0015,41,39,0.9512,0.7570,1.3847
26452,440.867,localized,track_local,39.80352038,32.38190022,1090.82,865.26,83.9224,tile_512px_0015,38,34,0.8947,0.6870,1.0535
26460,441.0,localized,telemetry_prior,39.80352557,32.38190823,1092.16,864.15,85.5850,tile_512px_0015,42,36,0.8571,0.6849,1.3043
26467,441.117,localized,track_local,39.80353257,32.38191148,1092.71,862.65,90.7353,tile_512px_0015,38,37,0.9737,0.6865,1.1199
26476,441.267,localized,track_local,39.80354619,32.38192409,1094.82,859.73,73.4239,tile_512px_0015,41,31,0.7561,0.5849,2.1438
26486,441.433,localized,track_local,39.80356144,32.38191526,1093.38,856.44,80.5577,tile_512px_0015,37,32,0.8649,0.7417,1.0735
26495,441.583,localized,track_local,39.80356805,32.38193682,1096.97,855.04,60.5014,tile_512px_0016,30,23,0.7667,0.4333,1.7756
26505,441.75,localized,track_local,39.80358561,32.38192632,1095.25,851.25,69.5731,tile_512px_0015,33,27,0.8182,0.5283,1.0074
26515,441.917,localized,track_local,39.80359616,32.38192887,1095.69,848.98,69.3383,tile_512px_0015,32,27,0.8438,0.4897,1.8285
26526,442.1,localized,track_local,39.80360851,32.38192106,1094.41,846.31,69.4064,tile_512px_0016,32,27,0.8438,0.4980,1.8485
26537,442.283,localized,track_local,39.80362501,32.38193113,1096.11,842.77,75.0931,tile_512px_0016,33,29,0.8788,0.6215,1.3144
26547,442.45,localized,track_local,39.80363713,32.38194827,1098.97,840.18,78.7977,tile_512px_0016,36,31,0.8611,0.7039,0.7660
26555,442.583,localized,track_local,39.80364564,32.38195519,1100.13,838.36,65.3608,tile_512px_0016,31,25,0.8065,0.4899,1.6418
26567,442.783,localized,track_local,39.80365201,32.38196162,1101.21,837.00,60.4890,tile_512px_0016,37,24,0.6486,0.5922,1.1895
26580,443.0,localized,telemetry_prior,39.80365971,32.38197894,1104.10,835.36,91.6018,tile_512px_0016,41,38,0.9268,0.7392,0.7934
26589,443.15,localized,track_local,39.80366452,32.38198746,1105.52,834.33,82.7302,tile_512px_0015,40,35,0.8750,0.5012,1.3763
26600,443.333,localized,track_local,39.80366891,32.38198931,1105.83,833.39,85.8035,tile_512px_0016,42,36,0.8571,0.6746,0.8752
26610,443.5,localized,track_local,39.80367292,32.38199852,1107.37,832.54,88.5268,tile_512px_0016,39,36,0.9231,0.7442,0.8103
26622,443.7,localized,track_local,39.80367419,32.38200102,1107.79,832.27,88.8036,tile_512px_0015,42,37,0.8810,0.7434,0.7450
26632,443.867,localized,track_local,39.80367247,32.38202648,1112.01,832.67,70.8599,tile_512px_0015,37,29,0.7838,0.5283,1.9151
26644,444.067,localized,track_local,39.80368633,32.38201969,1110.90,829.68,78.9823,tile_512px_0016,36,31,0.8611,0.7289,0.8531
26653,444.217,localized,track_local,39.80369127,32.38202115,1111.15,828.62,87.7161,tile_512px_0016,42,37,0.8810,0.6616,1.1048
26661,444.35,localized,track_local,39.80370226,32.38202837,1112.37,826.26,90.4151,tile_512px_0016,43,38,0.8837,0.7504,0.8009
26670,444.5,localized,track_local,39.80370956,32.38203798,1113.97,824.70,88.8456,tile_512px_0016,42,37,0.8810,0.7654,0.9828
26678,444.633,localized,track_local,39.80372234,32.38203831,1114.05,821.95,84.1165,tile_512px_0015,41,35,0.8537,0.6890,1.1778
26687,444.783,localized,track_local,39.80373224,32.38204530,1115.22,819.83,94.3170,tile_512px_0016,43,40,0.9302,0.7348,1.2510
